Id,Score,Episodes,Min_Duration,Year
1,8.78,26,24.0,1998
5,8.39,1,115.0,2001
6,8.24,26,24.0,1998
7,7.27,26,25.0,2002
8,6.98,52,23.0,2004
15,7.95,145,23.0,2005
16,8.06,24,23.0,2005
17,7.59,52,23.0,2002
18,8.15,24,27.0,2004
19,8.76,74,24.0,2004
20,7.91,220,23.0,2002
21,8.52,1000,24.0,1999
22,7.9,178,22.0,2001
24,7.94,26,23.0,2004
25,7.42,24,24.0,2004
26,7.76,22,23.0,2003
27,7.32,24,24.0,2005
28,7.95,69,24.0,2004
29,7.51,26,24.0,2004
30,8.32,26,24.0,1995
31,7.45,1,104.0,1997
32,8.51,1,87.0,1997
33,8.49,25,25.0,1997
43,8.29,1,82.0,1995
44,8.73,4,30.0,1999
45,8.31,94,25.0,1996
46,7.56,1,91.0,1997
47,8.17,1,124.0,1988
48,6.98,26,24.0,2002
49,7.32,5,30.0,1993
50,7.35,24,24.0,2005
51,6.31,3,30.0,2000
52,7.26,26,24.0,2001
53,7.14,24,23.0,2002
54,7.1,1,105.0,2004
55,6.53,26,22.0,1999
56,5.91,13,24.0,2003
57,8.31,26,25.0,2004
58,7.05,26,23.0,1999
59,7.43,26,24.0,2002
60,7.66,24,23.0,2003
61,7.2,26,23.0,2003
62,6.77,26,24.0,2003
63,6.62,12,23.0,2004
64,7.44,12,24.0,2004
65,7.65,12,24.0,2005
66,7.98,26,24.0,2002
67,7.58,24,24.0,2005
68,7.38,23,24.0,2005
69,6.35,25,24.0,2005
71,7.65,24,24.0,2002
72,8.07,12,24.0,2003
73,7.96,13,24.0,2005
74,7.65,26,25.0,2004
75,7.3,25,24.0,2004
76,7.42,13,25.0,2004
77,7.99,13,25.0,2005
79,7.09,24,23.0,2005
80,7.78,43,25.0,1979
81,8.03,12,25.0,1996
82,7.9,6,27.0,1989
83,6.79,1,52.0,1998
84,7.3,13,30.0,1991
85,7.92,50,24.0,1985
86,6.66,47,24.0,1986
87,7.68,1,119.0,1988
88,6.67,1,120.0,1991
89,6.76,51,24.0,1993
90,7.72,49,24.0,1995
91,7.76,3,30.0,1997
92,7.32,39,24.0,1996
93,7.79,50,24.0,2002
94,7.22,50,24.0,2004
95,7.7,50,24.0,1999
96,7.56,49,24.0,1994
97,7.82,26,24.0,2003
98,7.46,26,23.0,2004
99,7.31,26,24.0,2005
100,7.2,13,23.0,2001
101,7.32,12,24.0,2005
102,7.48,26,25.0,2004
103,7.39,74,24.0,1994
104,7.23,24,21.0,2000
105,6.46,13,23.0,2000
106,7.7,51,25.0,1996
107,7.23,13,24.0,2002
108,7.29,3,30.0,2004
109,6.81,24,23.0,2004
110,7.63,52,23.0,1997
111,6.83,52,25.0,1999
112,4.95,8,14.0,2004
113,7.38,26,23.0,2003
115,6.83,13,25.0,1998
116,6.97,26,23.0,1995
117,7.32,7,34.0,1995
118,6.85,4,30.0,1997
119,6.56,13,14.0,2004
120,7.69,26,24.0,2001
121,8.17,51,24.0,2003
122,7.96,52,24.0,2002
123,7.64,52,23.0,1995
124,6.86,4,30.0,2001
125,6.49,13,24.0,2004
126,6.91,13,24.0,2005
127,6.96,24,25.0,2000
128,6.79,6,30.0,2002
129,7.59,50,23.0,2000
130,7.41,25,23.0,2003
131,7.42,26,24.0,2004
132,7.61,49,24.0,2002
133,6.21,12,24.0,2003
134,7.42,13,24.0,2003
135,8.11,75,23.0,2001
136,8.42,62,23.0,1999
137,8.33,8,24.0,2002
138,8.21,8,22.0,2003
139,8.29,14,24.0,2004
141,6.14,12,23.0,2005
142,7.45,44,24.0,1999
143,6.87,12,24.0,2004
144,7.11,13,24.0,2002
145,7.61,26,24.0,1998
146,6.76,12,24.0,2004
147,7.24,14,23.0,2003
148,6.62,12,24.0,2004
149,6.86,12,24.0,2005
150,7.66,50,24.0,2005
151,7.12,3,46.0,2004
152,7.28,24,23.0,2005
153,8.06,45,25.0,2002
154,7.78,64,23.0,2001
155,6.59,1,97.0,1996
156,7.43,24,24.0,2001
157,6.98,26,23.0,2005
158,7.34,13,24.0,2004
159,6.34,24,23.0,2004
160,7.66,13,25.0,1999
161,7.33,24,24.0,2003
162,6.94,26,24.0,2002
164,8.72,1,135.0,1997
165,7.42,26,23.0,2002
166,7.48,26,26.0,2004
167,7.41,24,23.0,2003
168,7.38,26,24.0,2001
169,6.91,12,24.0,2003
170,8.53,101,23.0,1993
171,6.35,13,23.0,2000
173,7.23,25,24.0,2004
174,6.93,24,23.0,2004
175,6.63,26,25.0,2002
176,6.19,4,28.0,2003
177,7.55,26,25.0,2005
178,7.18,26,24.0,2003
179,6.69,1,21.0,2002
180,7.21,13,22.0,2000
181,7.42,13,22.0,2001
183,7.39,39,24.0,2002
184,6.37,12,23.0,2005
185,8.29,26,25.0,1998
186,8.12,13,23.0,1999
187,7.89,1,105.0,2001
189,7.14,24,23.0,2000
190,7.25,3,30.0,2002
191,7.34,1,46.0,2000
192,7.21,1,46.0,2001
193,6.8,24,24.0,2003
194,7.55,5,30.0,2002
195,7.17,12,23.0,2002
196,6.88,12,25.0,2003
197,6.55,24,15.0,2002
198,7.35,24,23.0,2005
199,8.83,1,125.0,2001
200,7.48,50,24.0,2002
201,7.21,6,29.0,1992
202,7.82,26,23.0,2003
203,6.75,5,30.0,1999
204,6.11,12,24.0,2004
205,8.5,26,24.0,2004
206,7.16,27,24.0,1998
208,7.67,3,33.0,2001
209,7.55,26,25.0,2003
210,7.76,161,24.0,1989
212,6.86,1,84.0,1986
218,7.52,26,23.0,1996
219,6.77,1,79.0,1998
221,6.65,2,30.0,2000
222,6.68,13,25.0,2004
223,8.0,153,24.0,1986
225,6.48,64,23.0,1996
226,7.56,13,25.0,2004
227,8.03,6,25.0,2000
228,7.65,26,25.0,2005
229,6.92,12,24.0,2004
230,7.02,27,24.0,2003
231,6.18,26,12.0,2002
232,8.16,70,25.0,1998
233,7.65,78,25.0,2000
235,8.16,1000,25.0,1996
236,6.64,26,23.0,2003
237,8.09,50,24.0,2005
238,7.36,42,23.0,1997
239,8.17,24,24.0,2004
240,7.66,12,25.0,2004
241,6.45,11,23.0,2004
242,7.42,13,23.0,2004
243,7.02,13,22.0,2000
244,6.88,39,25.0,2004
245,8.7,43,25.0,1999
246,7.27,51,24.0,2001
247,7.05,26,24.0,2004
248,6.68,12,23.0,2005
249,7.85,167,24.0,2000
250,7.55,150,23.0,2003
251,7.7,78,25.0,2004
252,7.07,26,24.0,2004
253,7.84,26,23.0,2001
254,7.83,6,26.0,2002
255,7.65,7,26.0,2003
256,7.22,1,25.0,2002
257,6.45,13,24.0,2003
258,6.23,4,30.0,2003
259,6.64,5,30.0,2001
260,6.67,13,23.0,2002
261,6.84,13,24.0,2003
262,6.83,3,30.0,2004
263,8.75,75,23.0,2000
264,8.29,1,90.0,2003
265,8.23,1,61.0,2003
266,6.8,12,23.0,2003
267,7.87,26,25.0,2003
268,8.03,6,29.0,1995
269,7.8,366,24.0,2004
270,7.5,13,23.0,2001
271,6.7,26,25.0,2003
272,7.31,26,24.0,2001
273,6.75,12,24.0,2003
274,7.22,24,23.0,2002
275,5.91,9,15.0,2004
277,7.17,14,24.0,2002
278,6.75,51,20.0,2004
279,7.15,13,24.0,2003
281,5.74,3,27.0,2004
283,7.7,50,25.0,1979
284,7.03,12,25.0,2004
285,6.8,25,25.0,2000
286,7.05,25,22.0,1996
287,7.44,24,25.0,2001
288,6.73,51,23.0,2001
289,6.59,13,24.0,2001
290,7.69,13,26.0,1999
291,7.01,26,25.0,2005
292,6.85,26,24.0,2003
293,6.73,16,4.0,1999
294,5.93,13,24.0,2003
295,6.3,13,24.0,2004
296,6.73,38,25.0,2002
297,6.72,12,25.0,2004
298,6.6,12,23.0,2003
299,6.61,4,33.0,2002
300,6.77,4,30.0,1991
301,6.32,13,25.0,2003
302,8.09,26,29.0,1978
303,6.92,48,7.0,1998
304,7.57,1,106.0,2000
306,7.26,13,24.0,2002
309,6.16,13,24.0,2005
311,7.02,26,24.0,1973
316,6.19,3,24.0,1994
317,7.76,1,101.0,2005
318,6.73,10,23.0,2000
319,6.02,3,30.0,2002
320,6.56,2,26.0,1998
321,6.0,12,23.0,2001
322,7.83,12,24.0,2005
323,7.68,13,24.0,2004
324,7.69,47,25.0,1989
325,7.0,25,24.0,2005
326,7.27,4,22.0,1999
327,7.42,26,25.0,2002
328,6.02,10,24.0,2002
329,8.31,26,25.0,2003
330,7.28,13,24.0,2004
331,7.61,45,23.0,1994
333,7.21,51,24.0,1992
334,7.49,76,24.0,1994
335,7.29,26,24.0,2003
336,6.46,13,24.0,2004
337,6.24,24,11.0,2002
338,8.33,40,24.0,1979
339,8.03,13,23.0,1998
340,7.59,26,23.0,2004
341,7.25,25,23.0,2002
342,7.0,13,24.0,2005
343,7.0,25,24.0,2004
344,7.37,20,25.0,2003
345,7.67,12,25.0,2005
346,6.19,13,12.0,2004
347,6.66,22,24.0,1999
348,6.45,13,13.0,2003
349,6.19,13,24.0,2005
350,7.21,51,24.0,1999
351,7.34,49,24.0,2000
352,7.34,50,24.0,2001
353,7.59,51,24.0,2002
354,5.63,12,14.0,2005
355,7.51,24,24.0,2005
356,7.34,24,24.0,2006
357,6.59,4,25.0,2005
358,6.99,6,27.0,2005
359,6.3,2,30.0,2002
360,6.24,12,23.0,1999
361,5.93,3,30.0,2001
364,7.47,37,25.0,2005
365,6.54,1,55.0,1998
366,5.94,7,30.0,1997
368,6.65,6,30.0,2001
369,7.17,12,24.0,2000
370,6.55,13,25.0,1997
371,7.64,1,81.0,1999
372,8.22,1,82.0,2000
373,6.7,6,28.0,1992
374,6.37,12,24.0,1998
375,6.53,12,23.0,1998
376,7.19,1,25.0,2005
377,6.73,6,25.0,2000
378,6.64,1,62.0,2002
379,7.5,26,24.0,1999
380,7.16,3,28.0,1996
381,7.27,6,33.0,1997
382,6.37,4,28.0,2002
383,7.03,24,13.0,2001
384,7.05,13,22.0,2004
385,6.65,26,23.0,2003
386,7.27,41,24.0,1995
387,7.99,13,24.0,2002
388,7.83,52,23.0,2005
389,7.42,6,30.0,2005
390,7.22,26,23.0,2005
391,6.82,4,30.0,2004
392,8.45,112,24.0,1992
393,7.08,1,97.0,2000
394,7.16,12,23.0,2003
395,7.08,13,23.0,2004
396,7.72,13,25.0,2000
397,7.84,10,25.0,2001
398,7.7,2,37.0,2005
400,7.87,24,25.0,1998
401,8.0,2,42.0,2001
403,6.62,12,14.0,2001
404,6.75,6,26.0,1992
405,6.91,1,48.0,2000
406,6.56,13,25.0,2005
407,7.76,45,25.0,2003
408,7.33,1,25.0,2005
411,7.28,26,24.0,2005
412,6.56,12,24.0,2005
413,2.23,1,19.0,2005
415,7.19,1,104.0,1999
416,7.98,1,93.0,1992
417,6.47,26,24.0,2004
418,7.26,1,74.0,1991
419,6.92,26,24.0,2002
421,6.66,13,23.0,2003
424,7.18,24,25.0,1985
425,6.44,2,26.0,2002
426,6.12,4,30.0,1994
427,7.94,51,23.0,2003
428,7.52,1,24.0,2004
429,7.88,1,50.0,2005
430,7.57,1,105.0,2005
431,8.67,1,119.0,2004
432,7.07,6,27.0,1994
433,7.56,1,90.0,2004
434,5.55,1,42.0,1989
435,7.46,20,24.0,1994
437,8.48,1,80.0,1998
438,6.54,3,30.0,2004
439,6.14,2,45.0,1991
441,7.6,1,90.0,1999
442,7.1,1,82.0,2004
443,7.32,1,21.0,2002
444,7.68,13,24.0,2004
445,6.21,13,22.0,2001
446,6.59,13,20.0,2002
447,6.73,25,23.0,1998
448,7.06,2,24.0,2005
449,7.54,1,87.0,2004
450,7.66,1,99.0,2002
451,7.8,1,98.0,2003
452,7.56,1,99.0,2001
454,6.16,1,26.0,2003
455,7.55,26,24.0,2004
456,6.94,26,25.0,2005
457,8.69,26,25.0,2005
458,6.24,3,27.0,1997
459,7.1,1,50.0,2000
460,7.17,1,55.0,2001
461,6.99,1,55.0,2002
462,7.59,1,95.0,2003
463,7.23,1,95.0,2004
464,7.7,1,91.0,2005
465,7.28,1,94.0,2006
466,6.76,1,28.0,1998
467,8.45,26,25.0,2002
468,7.82,1,99.0,2004
469,7.17,24,23.0,2005
470,6.34,13,24.0,2005
471,6.52,13,24.0,2005
472,6.6,13,25.0,1999
473,6.66,12,23.0,2005
474,7.72,4,39.0,1994
475,6.93,1,40.0,2005
476,7.34,12,24.0,2005
477,7.69,13,24.0,2005
478,7.11,26,24.0,2005
479,7.76,51,23.0,2005
481,7.47,224,23.0,2000
482,7.16,180,23.0,2004
483,7.35,24,23.0,2004
484,7.35,1,95.0,2001
485,7.29,26,5.0,2005
486,8.34,13,24.0,2003
487,6.68,13,23.0,2005
488,7.66,12,24.0,2005
489,7.4,12,26.0,2005
490,7.45,26,24.0,2005
492,6.86,1,90.0,2002
493,7.08,1,92.0,1996
495,6.71,26,25.0,1995
496,6.63,1,132.0,1985
497,6.58,13,24.0,2003
498,6.13,3,45.0,1987
499,6.17,1,79.0,1988
501,7.36,26,25.0,1973
502,6.83,1,50.0,1986
503,5.51,2,30.0,2005
504,6.59,1,96.0,1994
505,7.27,51,24.0,2005
507,6.96,2,26.0,1999
508,6.97,296,25.0,2000
509,6.81,13,25.0,2001
510,5.89,13,24.0,2004
511,6.19,13,25.0,2005
512,8.24,1,105.0,1989
513,8.31,1,125.0,1986
514,6.85,3,36.0,2004
515,6.06,1,80.0,1995
516,7.7,358,23.0,2004
517,7.75,2,25.0,2005
518,6.74,63,23.0,1982
519,7.34,26,23.0,2005
521,7.04,52,24.0,2003
522,7.54,1,109.0,2001
523,8.31,1,86.0,1988
524,7.04,1,25.0,2004
525,6.98,26,23.0,2004
526,7.17,6,30.0,1993
527,7.34,276,24.0,1997
528,7.63,1,85.0,1998
529,7.18,13,24.0,2002
530,7.68,46,24.0,1992
531,7.7,1,61.0,1993
532,7.85,38,24.0,1994
533,6.69,13,23.0,2004
534,7.76,26,22.0,1995
535,8.04,26,24.0,1996
536,7.3,1,66.0,1995
537,5.27,2,28.0,1998
538,6.87,26,23.0,1997
539,7.66,6,29.0,1992
540,7.66,6,33.0,1994
541,7.32,6,30.0,2003
543,7.89,1,102.0,2000
544,6.78,1,103.0,1989
546,6.0,13,12.0,2004
548,7.04,1,83.0,2003
550,7.21,27,24.0,1998
551,7.45,24,24.0,2001
552,7.79,54,24.0,1999
553,7.07,13,23.0,2000
554,6.79,24,15.0,1999
555,6.3,12,15.0,2001
556,6.11,3,15.0,2001
557,6.7,4,15.0,2000
558,8.25,26,25.0,2005
559,6.35,1,15.0,2003
560,7.4,1,51.0,2005
561,6.88,25,24.0,2000
563,6.68,12,23.0,1994
564,6.56,2,30.0,2001
565,7.35,1,126.0,2004
566,7.11,4,33.0,1996
567,7.53,26,24.0,1999
568,7.1,26,24.0,1998
569,7.87,26,23.0,1993
570,7.79,1,102.0,2000
572,8.4,1,117.0,1984
573,7.35,25,25.0,1996
576,6.38,13,24.0,2006
577,6.21,13,24.0,2006
578,8.51,1,88.0,1988
579,6.94,15,12.0,2003
580,6.84,10,4.0,2001
581,6.25,2,33.0,2000
582,7.71,48,8.0,1998
584,7.62,24,25.0,2005
585,8.23,1,111.0,1995
586,7.45,11,23.0,2006
587,7.52,6,24.0,2006
588,5.96,2,28.0,2005
589,8.04,21,23.0,1986
590,6.62,12,24.0,2006
591,6.5,12,24.0,2005
593,7.48,26,23.0,1999
594,6.76,1,40.0,2003
595,6.84,1,22.0,2001
596,7.0,1,6.0,2003
597,7.8,1,75.0,2002
598,6.99,13,23.0,2000
599,6.48,4,30.0,1994
600,4.93,12,5.0,2005
601,7.33,1,32.0,2001
603,7.0,49,24.0,2004
604,7.12,26,24.0,1998
605,6.71,26,23.0,1999
606,7.12,13,24.0,2000
607,6.95,39,24.0,2006
608,6.45,1,85.0,2001
609,7.1,2,30.0,2005
610,6.29,12,24.0,2003
612,6.53,13,25.0,2005
613,7.17,52,23.0,2004
614,6.34,13,24.0,2005
615,6.62,5,24.0,2002
617,7.61,1,94.0,1993
618,6.7,13,24.0,2003
620,7.06,13,24.0,2003
621,6.94,12,25.0,1998
622,6.56,2,30.0,2004
623,6.72,25,24.0,2002
624,6.04,12,14.0,2003
626,6.68,22,24.0,1998
627,8.27,26,25.0,2004
629,7.07,6,28.0,1996
631,7.13,1,23.0,2003
632,6.93,1,24.0,2001
633,7.32,13,24.0,1998
634,7.13,13,24.0,2004
635,6.67,13,25.0,1999
636,6.87,13,25.0,2004
637,6.63,16,8.0,1999
641,6.88,1,23.0,2005
642,6.9,1,25.0,2004
644,7.7,2,22.0,2005
645,7.98,1,77.0,2004
648,6.19,13,12.0,2004
649,6.8,12,23.0,2004
650,7.27,3,29.0,1995
651,6.13,1,31.0,2004
652,7.18,9,24.0,2002
653,7.31,26,24.0,2002
655,7.22,13,24.0,2004
656,7.33,2,24.0,2005
658,7.94,26,23.0,2005
659,7.03,1,6.0,2001
664,7.29,1,55.0,2005
665,7.18,7,30.0,2000
666,7.35,6,35.0,1993
667,6.67,12,24.0,2006
668,5.81,13,25.0,2005
669,6.12,3,25.0,2004
670,6.83,12,24.0,2005
