Id,Score,Episodes,Min_Duration,Year,Hentai,Prequel
1,8.78,26,24.0,1998,0.0,0.0
5,8.39,1,115.0,2001,0.0,0.0
6,8.24,26,24.0,1998,0.0,0.0
7,7.27,26,25.0,2002,0.0,0.0
8,6.98,52,23.0,2004,0.0,0.0
15,7.95,145,23.0,2005,0.0,0.0
16,8.06,24,23.0,2005,0.0,0.0
17,7.59,52,23.0,2002,0.0,0.0
18,8.15,24,27.0,2004,0.0,1.0
19,8.76,74,24.0,2004,0.0,0.0
20,7.91,220,23.0,2002,0.0,0.0
21,8.52,1000,24.0,1999,0.0,0.0
22,7.9,178,22.0,2001,0.0,0.0
24,7.94,26,23.0,2004,0.0,0.0
25,7.42,24,24.0,2004,0.0,0.0
26,7.76,22,23.0,2003,0.0,0.0
27,7.32,24,24.0,2005,0.0,0.0
28,7.95,69,24.0,2004,0.0,0.0
29,7.51,26,24.0,2004,0.0,0.0
30,8.32,26,24.0,1995,0.0,0.0
31,7.45,1,104.0,1997,0.0,0.0
32,8.51,1,87.0,1997,0.0,1.0
33,8.49,25,25.0,1997,0.0,0.0
43,8.29,1,82.0,1995,0.0,0.0
44,8.73,4,30.0,1999,0.0,0.0
45,8.31,94,25.0,1996,0.0,1.0
46,7.56,1,91.0,1997,0.0,0.0
47,8.17,1,124.0,1988,0.0,0.0
48,6.98,26,24.0,2002,0.0,0.0
49,7.32,5,30.0,1993,0.0,0.0
50,7.35,24,24.0,2005,0.0,0.0
51,6.31,3,30.0,2000,0.0,0.0
52,7.26,26,24.0,2001,0.0,0.0
53,7.14,24,23.0,2002,0.0,0.0
54,7.1,1,105.0,2004,0.0,0.0
55,6.53,26,22.0,1999,0.0,0.0
56,5.91,13,24.0,2003,0.0,0.0
57,8.31,26,25.0,2004,0.0,0.0
58,7.05,26,23.0,1999,0.0,0.0
59,7.43,26,24.0,2002,0.0,0.0
60,7.66,24,23.0,2003,0.0,0.0
61,7.2,26,23.0,2003,0.0,0.0
62,6.77,26,24.0,2003,0.0,0.0
63,6.62,12,23.0,2004,0.0,0.0
64,7.44,12,24.0,2004,0.0,0.0
65,7.65,12,24.0,2005,0.0,1.0
66,7.98,26,24.0,2002,0.0,0.0
67,7.58,24,24.0,2005,0.0,0.0
68,7.38,23,24.0,2005,0.0,0.0
69,6.35,25,24.0,2005,0.0,0.0
71,7.65,24,24.0,2002,0.0,0.0
72,8.07,12,24.0,2003,0.0,0.0
73,7.96,13,24.0,2005,0.0,1.0
74,7.65,26,25.0,2004,0.0,0.0
75,7.3,25,24.0,2004,0.0,1.0
76,7.42,13,25.0,2004,0.0,0.0
77,7.99,13,25.0,2005,0.0,1.0
79,7.09,24,23.0,2005,0.0,0.0
80,7.78,43,25.0,1979,0.0,0.0
81,8.03,12,25.0,1996,0.0,0.0
82,7.9,6,27.0,1989,0.0,1.0
83,6.79,1,52.0,1998,0.0,0.0
84,7.3,13,30.0,1991,0.0,1.0
85,7.92,50,24.0,1985,0.0,1.0
86,6.66,47,24.0,1986,0.0,1.0
87,7.68,1,119.0,1988,0.0,1.0
88,6.67,1,120.0,1991,0.0,1.0
89,6.76,51,24.0,1993,0.0,1.0
90,7.72,49,24.0,1995,0.0,0.0
91,7.76,3,30.0,1997,0.0,1.0
92,7.32,39,24.0,1996,0.0,0.0
93,7.79,50,24.0,2002,0.0,0.0
94,7.22,50,24.0,2004,0.0,1.0
95,7.7,50,24.0,1999,0.0,0.0
96,7.56,49,24.0,1994,0.0,0.0
97,7.82,26,24.0,2003,0.0,0.0
98,7.46,26,23.0,2004,0.0,0.0
99,7.31,26,24.0,2005,0.0,1.0
100,7.2,13,23.0,2001,0.0,0.0
101,7.32,12,24.0,2005,0.0,0.0
102,7.48,26,25.0,2004,0.0,0.0
103,7.39,74,24.0,1994,0.0,0.0
104,7.23,24,21.0,2000,0.0,0.0
105,6.46,13,23.0,2000,0.0,0.0
106,7.7,51,25.0,1996,0.0,0.0
107,7.23,13,24.0,2002,0.0,0.0
108,7.29,3,30.0,2004,0.0,1.0
109,6.81,24,23.0,2004,0.0,1.0
110,7.63,52,23.0,1997,0.0,0.0
111,6.83,52,25.0,1999,0.0,0.0
112,4.95,8,14.0,2004,0.0,0.0
113,7.38,26,23.0,2003,0.0,0.0
115,6.83,13,25.0,1998,0.0,1.0
116,6.97,26,23.0,1995,0.0,0.0
117,7.32,7,34.0,1995,0.0,0.0
118,6.85,4,30.0,1997,0.0,1.0
119,6.56,13,14.0,2004,0.0,0.0
120,7.69,26,24.0,2001,0.0,0.0
121,8.17,51,24.0,2003,0.0,0.0
122,7.96,52,24.0,2002,0.0,0.0
123,7.64,52,23.0,1995,0.0,0.0
124,6.86,4,30.0,2001,0.0,0.0
124,6.86,4,30.0,2001,0.0,1.0
125,6.49,13,24.0,2004,0.0,0.0
126,6.91,13,24.0,2005,0.0,0.0
127,6.96,24,25.0,2000,0.0,0.0
128,6.79,6,30.0,2002,0.0,1.0
129,7.59,50,23.0,2000,0.0,1.0
130,7.41,25,23.0,2003,0.0,1.0
131,7.42,26,24.0,2004,0.0,1.0
132,7.61,49,24.0,2002,0.0,0.0
133,6.21,12,24.0,2003,0.0,0.0
134,7.42,13,24.0,2003,0.0,0.0
135,8.11,75,23.0,2001,0.0,0.0
136,8.42,62,23.0,1999,0.0,0.0
137,8.33,8,24.0,2002,0.0,0.0
137,8.33,8,24.0,2002,0.0,1.0
138,8.21,8,22.0,2003,0.0,1.0
139,8.29,14,24.0,2004,0.0,1.0
139,8.29,14,24.0,2004,0.0,0.0
141,6.14,12,23.0,2005,0.0,0.0
142,7.45,44,24.0,1999,0.0,0.0
143,6.87,12,24.0,2004,0.0,0.0
144,7.11,13,24.0,2002,0.0,0.0
145,7.61,26,24.0,1998,0.0,0.0
146,6.76,12,24.0,2004,0.0,0.0
147,7.24,14,23.0,2003,0.0,0.0
148,6.62,12,24.0,2004,0.0,0.0
149,6.86,12,24.0,2005,0.0,0.0
150,7.66,50,24.0,2005,0.0,0.0
151,7.12,3,46.0,2004,0.0,0.0
152,7.28,24,23.0,2005,0.0,0.0
153,8.06,45,25.0,2002,0.0,0.0
154,7.78,64,23.0,2001,0.0,0.0
155,6.59,1,97.0,1996,0.0,1.0
156,7.43,24,24.0,2001,0.0,1.0
157,6.98,26,23.0,2005,0.0,0.0
158,7.34,13,24.0,2004,0.0,0.0
159,6.34,24,23.0,2004,0.0,0.0
160,7.66,13,25.0,1999,0.0,0.0
161,7.33,24,24.0,2003,0.0,0.0
162,6.94,26,24.0,2002,0.0,0.0
164,8.72,1,135.0,1997,0.0,0.0
165,7.42,26,23.0,2002,0.0,0.0
166,7.48,26,26.0,2004,0.0,0.0
167,7.41,24,23.0,2003,0.0,0.0
168,7.38,26,24.0,2001,0.0,0.0
169,6.91,12,24.0,2003,0.0,0.0
170,8.53,101,23.0,1993,0.0,0.0
171,6.35,13,23.0,2000,0.0,0.0
173,7.23,25,24.0,2004,0.0,0.0
174,6.93,24,23.0,2004,0.0,0.0
175,6.63,26,25.0,2002,0.0,0.0
176,6.19,4,28.0,2003,0.0,1.0
177,7.55,26,25.0,2005,0.0,0.0
178,7.18,26,24.0,2003,0.0,0.0
179,6.69,1,21.0,2002,0.0,0.0
180,7.21,13,22.0,2000,0.0,0.0
181,7.42,13,22.0,2001,0.0,1.0
183,7.39,39,24.0,2002,0.0,0.0
184,6.37,12,23.0,2005,0.0,0.0
185,8.29,26,25.0,1998,0.0,0.0
186,8.12,13,23.0,1999,0.0,1.0
187,7.89,1,105.0,2001,0.0,1.0
189,7.14,24,23.0,2000,0.0,0.0
190,7.25,3,30.0,2002,0.0,0.0
