Id,Name,Score,Genres,English,Japanese,Type,Episodes,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Min_Duration,Aired_Start,Aired_End,Premiered_Year,Premiered_Season
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,Bandai Visual,Funimation,Sunrise,Original,24 min. per ep.,R-17+,28,39,1251960,61971,24.0,"Apr 3, 1998","Apr 24, 1999",1998,Spring
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,カウボーイビバップ 天国の扉,Movie,1,Sunrise,Sony Pictures Entertainment,Bones,Original,1 hr. 55 min.,R-17+,159,518,273145,1174,115.0,"Sep 1, 2001",Unknown,Unknown,Unknown
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,トライガン,TV,26,Victor Entertainment,Funimation,Madhouse,Manga,24 min. per ep.,PG-13,266,201,558913,12944,24.0,"Apr 1, 1998","Sep 30, 1998",1998,Spring
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,26,TV Tokyo,Funimation,Sunrise,Original,25 min. per ep.,PG-13,2481,1467,94683,587,25.0,"Jul 2, 2002","Dec 24, 2002",2002,Summer
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,冒険王ビィト,TV,52,TV Tokyo,Unknown,Toei Animation,Manga,23 min. per ep.,PG,3710,4369,13224,18,23.0,"Sep 30, 2004","Sep 29, 2005",2004,Fall
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",Unknown,アイシールド21,TV,145,TV Tokyo,VIZ Media,Gallop,Manga,23 min. per ep.,PG-13,604,1003,148259,2066,23.0,"Apr 6, 2005","Mar 19, 2008",2005,Spring
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,ハチミツとクローバー,TV,24,Genco,VIZ Media,J.C.Staff,Manga,23 min. per ep.,PG-13,468,687,214499,4101,23.0,"Apr 15, 2005","Sep 27, 2005",2005,Spring
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",Unknown,ハングリーハート Wild Striker,TV,52,Unknown,Unknown,Nippon Animation,Manga,23 min. per ep.,PG-13,1317,3612,20470,231,23.0,"Sep 11, 2002","Sep 10, 2003",2002,Fall
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",Unknown,頭文字〈イニシャル〉D FOURTH STAGE,TV,24,OB Planning,Funimation,A.C.G.T.,Manga,27 min. per ep.,PG-13,360,1233,117929,979,27.0,"Apr 17, 2004","Feb 18, 2006",2004,Spring
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,モンスター,TV,74,VAP,VIZ Media,Madhouse,Manga,24 min. per ep.,R+,30,169,614100,29436,24.0,"Apr 7, 2004","Sep 28, 2005",2004,Spring
