index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_10
2547,Ie Naki Ko Remy,Candy Candy,Eikoku Koi Monogatari Emma,Perrine Monogatari,Shoukoushi Cedie,Anime Himitsu no Hanazono,Oniisama e...,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Les Misérables: Shoujo Cosette,"Kurokawa, Fumio:Director","Nakanishi, Ryuuzou:Script","Kamata, Hidemi:Script","Kusuba, Kouzou:Storyboard",Princess Sara,#1270,#4749,"20,791",7,2,3,"['Kurokawa, Fumio', 'Director'], ['Nakanishi, Ryuuzou', 'Script'], ['Kamata, Hidemi', 'Script'], ['Kusuba, Kouzou', 'Storyboard']","Type, 
TV","Episodes, 
  46","Status, 
  Finished Airing","Aired, 
  Jan 6, 1985 to Dec 29, 1985","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Novel","Genre, 
DramaDrama","Theme, 
HistoricalHistorical","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
7.671 (scored by 98869,886 users)
      


1
          indicates a weighted score.","Side story:: /anime/37423/Shiawase_Pasta_Story, Summary:: /anime/53159/Princess_Sara_Specials",
1935,Bubblegum Crisis,Freedom,Venus Senki,Area 88,Zegapain,Macross Flash Back 2012,Grey: Digital Target,California Crisis: Tsuigeki no Juuka,The Animatrix,"Ishiguro, Noboru:Director","Itano, Ichirou:Director","Aramaki, Shinji:Director","Yatagai, Kenichi:Director",Megazone 23,#5267,#4635,"21,876",10,2,2,"['Ishiguro, Noboru', 'Director'], ['Itano, Ichirou', 'Director'], ['Aramaki, Shinji', 'Director'], ['Yatagai, Kenichi', 'Director']","Type, 
OVA","Episodes, 
  4","Status, 
  Finished Airing","Aired, 
  Mar 9, 1985 to Dec 22, 1989","Studios, 
Artland,       AIC,       Artmic","Source, 
  Original","Genres, 
ActionAction,         MysteryMystery,         RomanceRomance,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MusicMusic","Duration, 
  1 hr. 7 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.771 (scored by 54455,445 users)
      


1
          indicates a weighted score.","Ranked, 
  #52672

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #4635",,Sidonia no Kishi
1488,Macross Plus,The Cockpit,Megazone 23,Choujikuu Seiki Orguss 02,Flag,Vampire Hunter D,Violet Evergarden,Full Metal Panic!,Ginga Eiyuu Densetsu,"Nunokawa, Yuuji:Producer","Toriumi, Hisayuki:Director","Shiba, Shigeharu:Sound Director","Bickham, Clint:Script",Area 88,#1851,#4947,"18,954",17,2,3,"['Nunokawa, Yuuji', 'Producer'], ['Toriumi, Hisayuki', 'Director'], ['Shiba, Shigeharu', 'Sound Director'], ['Bickham, Clint', 'Script']","Episodes, 
  3","Status, 
  Finished Airing","Aired, 
  Feb 5, 1985 to Jun 15, 1986","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         RomanceRomance","Theme, 
MilitaryMilitary","Demographic, 
ShounenShounen","Duration, 
  1 hr. 5 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.491 (scored by 67666,766 users)
      


1
          indicates a weighted score.","Ranked, 
  #18512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #4947","Adaptation:: /manga/3965/Area_88, Alternative version:: /anime/284/Area_88_TV",Kidou Senshi Zeta Gundam
2196,Tobira wo Akete,Mujigen Hunter Fandora,Birth,Tenkuu no Escaflowne,Magic Knight Rayearth,Unkai no Meikyuu Zeguy,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,Dragon's Heaven,Time Slip Ichimannen: Prime Rose,"Yuyama, Kunihiko:Director","Matsuura, Noriyoshi:Sound Director","Takegami, Junki:Script","Inomata, Mutsumi:Storyboard",Genmu Senki Leda,#7718,#7088,"7,607",5,2,0,"['Yuyama, Kunihiko', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Takegami, Junki', 'Script'], ['Inomata, Mutsumi', 'Storyboard']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 1, 1985","Studios, 
Kaname Productions","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi","Themes, 
IsekaiIsekai,         MechaMecha","Duration, 
  1 hr. 10 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.331 (scored by 28542,854 users)
      


1
          indicates a weighted score.","Ranked, 
  #77182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7088",,
3649,Kodomo no Jikan (TV),Uchiyama Aki,Lolita Anime,O-parts: Oman,Choisuji,,,,,,,,,Bishoujo Comic Lolicon Angel: Mitsu no Aji,N/A,#9696,"3,230",2,1,0,,"Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jan 10, 1985","Producers, 
Japan Home Video","Source, 
  Unknown","Genre, 
HentaiHentai","Duration, 
  22 min.","Rating, 
  Rx - Hentai","Score, 
5.351 (scored by 12971,297 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9696","Members, 
    3,230","Favorites, 
  17",,
2088,Cowboy Bebop,,,,,,,,,"Yamamoto, Mataichirou:Producer","Yamakawa, Norio:Producer","Mikuriya, Satomi:Director","Nakata, Reiko:Script",Nora,#13073,#9754,"3,173",1,2,0,"['Yamamoto, Mataichirou', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Mikuriya, Satomi', 'Director'], ['Nakata, Reiko', 'Script']","Status, 
  Finished Airing","Aired, 
  Jan 21, 1985","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
AdventureAdventure,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  56 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
4.321 (scored by 13951,395 users)
      


1
          indicates a weighted score.","Ranked, 
  #130732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9754","Members, 
    3,173","Favorites, 
  3","Adaptation:: /manga/88413/Nora_no_Hakobune, Sequel:: /anime/9342/Twinkle_Nora_Rock_Me",
5544,,,,,,,,,,,,,,Suashi no Houkago,N/A,#11808,"1,607",0,1,1,,"Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 10, 1985","Producers, 
Five Ways","Source, 
  Unknown","Genres, 
Girls LoveGirls Love,         HentaiHentai","Duration, 
  26 min.","Rating, 
  Rx - Hentai","Score, 
4.751 (scored by 512512 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11808","Members, 
    1,607","Favorites, 
  3",Other:: /anime/5542/Telepathist_IQ_Psycho,
5934,,,,,,,,,,"Yamakawa, Norio:Producer","Kogawa, Tomonori:Director","Onda, Naoyuki:Key Animation","Tokoro, Tomokazu:Key Animation",Greed,#12730,#12331,"1,346",1,1,1,"['Yamakawa, Norio', 'Producer'], ['Kogawa, Tomonori', 'Director'], ['Onda, Naoyuki', 'Key Animation'], ['Tokoro, Tomokazu', 'Key Animation']","Status, 
  Finished Airing","Aired, 
  Jan 21, 1985","Producers, 
Pony Canyon","Licensors, 
    None found, add some","Genres, 
AdventureAdventure,         FantasyFantasy","Duration, 
  57 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
4.841 (scored by 538538 users)
      


1
          indicates a weighted score.","Ranked, 
  #127302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12331","Members, 
    1,346","Favorites, 
  0",Main,,
5540,A Kite,,,,,,,,,,,,,Datenshi-tachi no Kyouen,N/A,#12713,"1,193",0,0,4,,"Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 10, 1985","Producers, 
    None found, add some","Source, 
  Unknown","Genre, 
HentaiHentai","Duration, 
  21 min.","Rating, 
  Rx - Hentai","Score, 
4.851 (scored by 403403 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12713","Members, 
    1,193","Favorites, 
  0",Adaptation:: /manga/158944/Datenshi-tachi_no_Kyouen,
9389,WWW.Working!!,,,,,,,,,"Ueda, Masuo:Producer","Yatate, Hajime:Original Creator","Ookawara, Kunio:Mechanical Design","Hoshiyama, Hiroyuki:Original Creator",Ginga Hyouryuu Vifam: Kieta 12-nin,#8165,#14093,812,0,0,0,"['Ueda, Masuo', 'Producer'], ['Yatate, Hajime', 'Original Creator'], ['Ookawara, Kunio', 'Mechanical Design'], ['Hoshiyama, Hiroyuki', 'Original Creator']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Feb 25, 1985","Producers, 
    None found, add some","Source, 
  Original","Genres, 
AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi","Themes, 
MechaMecha,         SpaceSpace","Duration, 
  57 min.","Rating, 
  G - All Ages","Score, 
6.261 (scored by 261261 users)
      


1
          indicates a weighted score.","Ranked, 
  #81652

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14093","Members, 
    812",Parent story:: /anime/2987/Ginga_Hyouryuu_Vifam,
32218,,,,,,,,,,"Mikimoto, Haruhiko:Animation Director",,,,Choujikuu Seiki Orguss Memorial,#11080,#15052,613,0,0,0,"['Mikimoto, Haruhiko', 'Animation Director']","Episodes, 
  2","Status, 
  Finished Airing","Aired, 
  Mar 28, 1985 to May 28, 1985","Producers, 
Tokyo Movie Shinsha,       Victor Entertainment","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         RomanceRomance,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  52 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.621 (scored by 121121 users)
      


1
          indicates a weighted score.","Ranked, 
  #110802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #15052","Members, 
    613",Full story:: /anime/2089/Choujikuu_Seiki_Orguss,
1922,,,,,,,,,,"Hasegawa, Hiroshi:Producer","Yamazaki, Kazuo:Director","Nishijima, Katsuhiko:Episode Director","Anno, Hideaki:Key Animation",Urusei Yatsura Movie 3: Remember My Love,#4513,#6665,"8,849",2,1,0,"['Hasegawa, Hiroshi', 'Producer'], ['Yamazaki, Kazuo', 'Director'], ['Nishijima, Katsuhiko', 'Episode Director'], ['Anno, Hideaki', 'Key Animation']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jan 26, 1985","Studios, 
Studio Deen","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         DramaDrama,         RomanceRomance,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  1 hr. 35 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.931 (scored by 36923,692 users)
      


1
          indicates a weighted score.","Ranked, 
  #45132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6665",Parent story:: /anime/1293/Urusei_Yatsura,
496,Sengoku Kitan Youtouden Movie,Stranger: Mukou Hadan,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai Deeper Kyou,Juubee Ninpuuchou,Golden Kamuy,,,,"Maruyama, Masao:Producer",Rintarou:Director,"Hagita, Mitsuo:Theme Song Arrangement","Aki, Youko:Theme Song Lyrics",Kamui no Ken,#6072,#7142,"7,481",4,0,0,"['Maruyama, Masao', 'Producer'], ['Rintarou', 'Director'], ['Hagita, Mitsuo', 'Theme Song Arrangement'], ['Aki, Youko', 'Theme Song Lyrics']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 9, 1985","Studios, 
Madhouse","Source, 
  Novel","Genres, 
AdventureAdventure,         DramaDrama,         FantasyFantasy","Theme, 
HistoricalHistorical","Duration, 
  2 hr. 12 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.621 (scored by 22732,273 users)
      


1
          indicates a weighted score.","Ranked, 
  #60722

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7142",,
2669,,,,,,,,,,"Shibayama, Tsutomu:Director","Urakami, Yasuo:Sound Director","Takeda, Tetsuya:Theme Song Performance","Fujiko, Fujio F.:Original Creator",Doraemon Movie 06: Nobita no Little Star Wars,#3828,#7414,"6,814",1,1,0,"['Shibayama, Tsutomu', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Takeda, Tetsuya', 'Theme Song Performance'], ['Fujiko, Fujio F.', 'Original Creator']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Studios, 
Shin-Ei Animation","Source, 
  Unknown","Genres, 
FantasyFantasy,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  1 hr. 38 min.","Rating, 
  PG - Children","Score, 
7.081 (scored by 41944,194 users)
      


1
          indicates a weighted score.","Ranked, 
  #38282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7414","Adaptation:: /manga/12471/Daichouhen_Doraemon, Parent story:: /anime/2471/Doraemon_1979, Alternative version:: /anime/44025/Doraemon_Movie_41__Nobita_no_Little_Star_Wars",
3120,Bari Bari Densetsu (1987),Golden Boy,TO-Y,Cipher,Nineteen 19,,,,,"Maruyama, Masao:Producer","Hirata, Toshio:Director","Aketagawa, Susumu:Sound Director","Shimizu, Mayumi:Theme Song Performance",Bobby ni Kubittake,#9682,#8809,"4,377",2,4,1,"['Maruyama, Masao', 'Producer'], ['Hirata, Toshio', 'Director'], ['Aketagawa, Susumu', 'Sound Director'], ['Shimizu, Mayumi', 'Theme Song Performance']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 9, 1985","Producers, 
Kadokawa Shoten","Source, 
  Novel","Genres, 
DramaDrama,         RomanceRomance,         Slice of LifeSlice of Life","Duration, 
  44 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.951 (scored by 16341,634 users)
      


1
          indicates a weighted score.","Ranked, 
  #96822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8809","Members, 
    4,377","Favorites, 
  10",,
7156,Hoshi no Koe,,,,,,,,,"Morishita, Kouzou:Director","Shimonari, Satoko:Theme Song Performance","Matsumoto, Leiji:Original Creator","Komatsubara, Kazuo:Animation Director",Arei no Kagami: Way to the Virgin Space,#11698,#11306,"1,929",0,1,2,"['Morishita, Kouzou', 'Director'], ['Shimonari, Satoko', 'Theme Song Performance'], ['Matsumoto, Leiji', 'Original Creator'], ['Komatsubara, Kazuo', 'Animation Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Producers, 
    None found, add some","Source, 
  Unknown","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  26 min.","Rating, 
  G - All Ages","Score, 
5.421 (scored by 782782 users)
      


1
          indicates a weighted score.","Ranked, 
  #116982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11306","Members, 
    1,929",,
9535,,,,,,,,,,,,,,Gongitsune,#8235,#12519,"1,270",0,0,0,,"Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Producers, 
Aikikaku Center","Source, 
  Picture book","Genres, 
DramaDrama,         Slice of LifeSlice of Life","Demographic, 
KidsKids","Duration, 
  1 hr. 10 min.","Rating, 
  PG - Children","Score, 
6.251 (scored by 325325 users)
      


1
          indicates a weighted score.","Ranked, 
  #82352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12519","Members, 
    1,270",Alternative version:: /anime/42074/Gon_Movie__Gon_the_Little_Fox,
3275,,,,,,,,,,"Tamiya, Takeshi:Producer","Yamayoshi, Yasuo:Director",Yudetamago:Original Creator,"Mori, Toshio:Animation Director",Kinnikuman: Seigi Choujin vs. Kodai Choujin,#7516,#13260,"1,019",0,0,0,"['Tamiya, Takeshi', 'Producer'], ['Yamayoshi, Yasuo', 'Director'], ['Yudetamago', 'Original Creator'], ['Mori, Toshio', 'Animation Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
ComedyComedy,         SportsSports","Demographic, 
ShounenShounen","Duration, 
  45 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.371 (scored by 277277 users)
      


1
          indicates a weighted score.","Ranked, 
  #75162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #13260","Members, 
    1,019","Parent story:: /anime/3272/Kinnikuman, Prequel:: /anime/3274/Kinnikuman__Ooabare_Seigi_Choujin, Sequel:: /anime/3276/Kinnikuman__Gyakushuu_Uchuu_Kakure_Choujin",
29233,,,,,,,,,,"Fujiwara, Ryouji:Storyboard","Okayasu, Hajime:Editing",,,Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,#9624,#14505,716,0,0,0,"['Fujiwara, Ryouji', 'Storyboard'], ['Okayasu, Hajime', 'Editing']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Producers, 
    None found, add some","Source, 
  Unknown","Genres, 
AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi","Themes, 
Martial ArtsMartial Arts,         Super PowerSuper Power","Duration, 
  50 min.","Rating, 
  G - All Ages","Score, 
5.961 (scored by 241241 users)
      


1
          indicates a weighted score.","Ranked, 
  #96242

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14505","Members, 
    716",Parent story:: /anime/4936/Ninja_Hattori-kun,
16798,,,,,,,,,,,,,,Ttori wa Zeta Robot,#10044,#14583,698,0,0,0,,"Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jan 17, 1985","Producers, 
    None found, add some","Source, 
  Unknown","Genres, 
ActionAction,         AdventureAdventure","Theme, 
MechaMecha","Demographic, 
KidsKids","Duration, 
  1 hr. 2 min.","Rating, 
  None","Score, 
5.871 (scored by 151151 users)
      


1
          indicates a weighted score.","Ranked, 
  #100442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14583",,
19751,,,,,,,,,,"Nagaoka, Akinori:Director","Tsuchiya, Tokio:Script","Matsubara, Miki:Theme Song Performance","Inoue, Toshiyuki:Animation Director",Gu-Gu Ganmo (Movie),#9137,#16896,412,0,0,0,"['Nagaoka, Akinori', 'Director'], ['Tsuchiya, Tokio', 'Script'], ['Matsubara, Miki', 'Theme Song Performance'], ['Inoue, Toshiyuki', 'Animation Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 16, 1985","Producers, 
    None found, add some","Source, 
  Manga","Genre, 
ComedyComedy","Duration, 
  45 min.","Rating, 
  PG - Children","Score, 
6.071 (scored by 106106 users)
      


1
          indicates a weighted score.","Ranked, 
  #91372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #16896","Members, 
    412","Favorites, 
  0",Alternative version:: /anime/3020/Gu-Gu_Ganmo,
