index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_1
2806,,,,,,,,,,"Kawando, Kenjirou:Producer","Satou, Takuya:Episode Director","Daichi, Akitarou:Episode Director","Nanba, Hitoshi:Episode Director",Yadamon,#2984,#11377,"1,869",0,0,0,"['Kawando, Kenjirou', 'Producer'], ['Satou, Takuya', 'Episode Director'], ['Daichi, Akitarou', 'Episode Director'], ['Nanba, Hitoshi', 'Episode Director']","Type, 
TV","Episodes, 
  170","Status, 
  Finished Airing","Aired, 
  Aug 24, 1992 to Jul 16, 1993","Producers, 
Avaco Creative Studios","Licensors, 
    None found, add some","Studios, 
Group TAC","Source, 
  Unknown","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Duration, 
  10 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.241 (scored by 554554 users)
      


1
          indicates a weighted score.","Ranked, 
  #29842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Alternative version:: /anime/8501/Chibikko_Kaijuu_Yadamon,
7625,,,,,,,,,,,,,,Yousei Dick,#10803,#14273,770,0,0,0,,"Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Jun 7, 1992 to Dec 6, 1992","Producers, 
Marubeni,       Grouper Productions,       Zuiyo","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Unknown","Genre, 
FantasyFantasy","Demographic, 
KidsKids","Duration, 
  20 min. per ep.","Rating, 
  PG - Children","Score, 
5.681 (scored by 187187 users)
      


1
          indicates a weighted score.",,
539,Aa! Megami-sama! (TV),Love Hina,To LOVE-Ru,Asu no Yoichi!,Ai Yori Aoshi,Fushigi Yuugi,Kidou Senkan Nadesico,Rosario to Vampire,Haiyore! Nyaruko-san,"Cook, Justin:Producer","Inoue, Hiroaki:Producer","Hasegawa, Yasuo:Producer","Hayashi, Hiroki:Director",Tenchi Muyou! Ryououki,#1450,#2994,"53,187",12,0,2,"['Cook, Justin', 'Producer'], ['Inoue, Hiroaki', 'Producer'], ['Hasegawa, Yasuo', 'Producer'], ['Hayashi, Hiroki', 'Director']","Type, 
OVA","Episodes, 
  6","Status, 
  Finished Airing","Aired, 
  Sep 25, 1992 to Mar 25, 1993","Studios, 
AIC","Source, 
  Original","Genres, 
ActionAction,         ComedyComedy,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  29 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.611 (scored by 2430824,308 users)
      


1
          indicates a weighted score.","Ranked, 
  #14502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #2994","Adaptation:: /manga/855/Tenchi_Muyou_Ryououki, Alternative version:: /anime/538/Shin_Tenchi_Muyou, Alternative setting:: /anime/1101/Tenchi_Muyou_Manatsu_no_Eve, Spin-off:: /anime/1133/Tenchi_Muyou_GXP, Sequel:: /anime/1146/Tenchi_Muyou_Ryououki__Omatsuri_Zenjitsu_no_Yoru, Side story:: /anime/2725/Tenchi_Muyou__Galaxy_Police_Mihoshi_Space_Adventure",Shinpi no Sekai El-Hazard
84,Top wo Nerae! Gunbuster,Shin Kidou Senki Gundam Wing,Kidou Senshi Gundam SEED,Kidou Senshi Gundam SEED Destiny,Kidou Butouden G Gundam,Kidou Senshi Gundam SEED C.E. 73: Stargazer,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Ginga Eiyuu Densetsu,Shingeki no Kyojin,"Maseba, Yutaka:Producer","Yatate, Hajime:Producer","Ueda, Masuo:Producer","Minami, Masahiko:Assistant Producer",Kidou Senshi Gundam 0083: Stardust Memory,#3054,#3263,"45,058",18,15,3,"['Maseba, Yutaka', 'Producer'], ['Yatate, Hajime', 'Producer'], ['Ueda, Masuo', 'Producer'], ['Minami, Masahiko', 'Assistant Producer']","Type, 
OVA","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  May 23, 1991 to Sep 24, 1992","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         RomanceRomance,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  28 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.231 (scored by 2530825,308 users)
      


1
          indicates a weighted score.","Ranked, 
  #30542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3263","Adaptation:: /manga/13420/Kidou_Senshi_Gundam_0083__Hoshikuzu_no_Eiyuu_-_Operation_Stardust, Prequel:: /anime/82/Kidou_Senshi_Gundam_0080__Pocket_no_Naka_no_Sensou, Sequel:: /anime/85/Kidou_Senshi_Zeta_Gundam, Alternative setting:: /anime/2695/Kidou_Senshi_Gundam_0083__Zeon_no_Zankou, Side story:: /anime/10581/Kidou_Senshi_Gundam_0083__Stardust_Memory_-_Uchuu_no_Kagerou, Summary:: /anime/40464/Kidou_Senshi_Gundam__Hikaru_Inochi_Chronicle_UC",Macross Plus
404,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,Hagure Yuusha no Aesthetica,JoJo no Kimyou na Bouken (TV),Detroit Metal City,Hellsing Ultimate,Lodoss-tou Senki,Berserk: Ougon Jidai-hen III - Kourin,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Berserk: Ougon Jidai-hen I - Haou no Tamago,"Akiyama, Katsuhito:Director","Iwanami, Yoshikazu:Sound Director","Oobari, Masami:Episode Director","Ochi, Hiroyuki:Episode Director",Bastard!! Ankoku no Hakaishin,#5775,#3321,"43,608",6,3,2,"['Akiyama, Katsuhito', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Oobari, Masami', 'Episode Director'], ['Ochi, Hiroyuki', 'Episode Director']","Type, 
OVA","Episodes, 
  6","Status, 
  Finished Airing","Aired, 
  Aug 25, 1992 to Jun 25, 1993","Studios, 
AIC","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy,         EcchiEcchi","Theme, 
GoreGore","Demographic, 
SeinenSeinen","Duration, 
  28 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.681 (scored by 1847518,475 users)
      


1
          indicates a weighted score.","Ranked, 
  #57752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/611/Bastard_Ankoku_no_Hakaishin, Alternative version:: /anime/50953/Bastard_Ankoku_no_Hakaishin_ONA",Kenpuu Denki Berserk
719,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,Zetsuai 1989,Honoo no Mirage,Boku no Sexual Harassment,Armitage III: Dual-Matrix,Finder Series,Love Stage!!,Kaze to Ki no Uta Sanctus: Sei Naru Kana,No.6,"Akiyama, Katsuhito:Director","Nishimori, Akira:Director","Iwanami, Yoshikazu:Sound Director","Hasegawa, Nahoko:Script",Ai no Kusabi,N/A,#3580,"38,285",9,2,1,"['Akiyama, Katsuhito', 'Director'], ['Nishimori, Akira', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hasegawa, Nahoko', 'Script']","Type, 
OVA","Episodes, 
  2","Status, 
  Finished Airing","Aired, 
  Aug 1, 1992 to May 1, 1994","Studios, 
AIC","Source, 
  Light novel","Genres, 
Boys LoveBoys Love,         DramaDrama,         Sci-FiSci-Fi,         EroticaErotica","Duration, 
  54 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.061 (scored by 1963219,632 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3580","Members, 
    38,285","Adaptation:: /manga/1401/Ai_no_Kusabi, Alternative version:: /anime/5784/Ai_no_Kusabi_2012",Fuyu no Semi
201,Toradora!,I''s Pure,NHK ni Youkoso!,Nazo no Kanojo X,Ano Natsu de Matteru,Cossette no Shouzou,Shinseiki Evangelion,Kobato.,Aa! Megami-sama!,"Ishikawa, Mitsuhisa:Producer","Nishikubo, Mizuho:Director","Akahori, Satoru:Script","Mochizuki, Tomomi:Storyboard",Video Girl Ai,#3294,#4011,"30,315",12,1,0,"['Ishikawa, Mitsuhisa', 'Producer'], ['Nishikubo, Mizuho', 'Director'], ['Akahori, Satoru', 'Script'], ['Mochizuki, Tomomi', 'Storyboard']","Type, 
OVA","Episodes, 
  6","Status, 
  Finished Airing","Aired, 
  Mar 27, 1992 to Aug 28, 1992","Studios, 
Production I.G","Source, 
  Manga","Genres, 
ComedyComedy,         DramaDrama,         RomanceRomance,         EcchiEcchi","Theme, 
Love PolygonLove Polygon","Demographic, 
ShounenShounen","Duration, 
  29 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.191 (scored by 1310113,101 users)
      


1
          indicates a weighted score.","Ranked, 
  #32942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/755/Denei_Shoujo,Chobits
2321,Tengen Toppa Gurren Lagann,Shin Mazinger Shougeki! Z-hen,The Big O,Kidou Butouden G Gundam,Heroman,Fantastic Children,Fushigi no Umi no Nadia,Dimension W,Kishin Heidan,"Shizuno, Koubun:Co-Director","Maseba, Yutaka:Producer","Imagawa, Yasuhiro:Director","Date, Kensei:Sound Director",Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,#1013,#4242,"26,878",9,6,0,"['Shizuno, Koubun', 'Co-Director'], ['Maseba, Yutaka', 'Producer'], ['Imagawa, Yasuhiro', 'Director'], ['Date, Kensei', 'Sound Director']","Episodes, 
  7","Status, 
  Finished Airing","Aired, 
  Jul 23, 1992 to Jan 25, 1998","Producers, 
Bandai Visual","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  49 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.781 (scored by 76297,629 users)
      


1
          indicates a weighted score.","Ranked, 
  #10132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #4242","Adaptation:: /manga/40437/Giant_Robo, Spin-off:: /anime/2322/Giant_Robo_Gaiden_Ginrei, Alternative setting:: /anime/3146/GR__Giant_Robo",Tetsujin 28-gou (2004)
842,Kishin Douji Zenki,Yuu☆Yuu☆Hakusho,3x3 Eyes,Tactics,,,,,,"Yuyama, Kunihiko:Director","Mima, Masafumi:Sound Director","Kato, Takao:Episode Director","Ikehata, Takashi:Episode Director",Ushio to Tora,#3475,#5493,"14,263",3,1,0,"['Yuyama, Kunihiko', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Kato, Takao', 'Episode Director'], ['Ikehata, Takashi', 'Episode Director']","Type, 
OVA","Episodes, 
  10","Status, 
  Finished Airing","Aired, 
  Sep 11, 1992 to Aug 1, 1993","Studios, 
Pastel","Source, 
  Manga","Genres, 
ActionAction,         HorrorHorror","Theme, 
MythologyMythology","Demographic, 
ShounenShounen","Duration, 
  30 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.151 (scored by 46904,690 users)
      


1
          indicates a weighted score.","Ranked, 
  #34752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/7747/Ushio_to_Tora, Side story:: /anime/5308/Ushio_to_Tora__Comical_Deformer_Gekijou, Alternative version:: /anime/29854/Ushio_to_Tora_TV",InuYasha
1041,Gravitation,Fake,Be-Boy Kidnapp'n Idol,Suki na Mono wa Suki Dakara Shou ga Nai!!,Fuyu no Semi,,,,,"Maruyama, Masao:Producer","Endou, Takuji:Director","Honda, Yasunori:Sound Director","Urahata, Tatsuhiko:Script",Zetsuai 1989,N/A,#5691,"13,132",2,0,2,"['Maruyama, Masao', 'Producer'], ['Endou, Takuji', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Urahata, Tatsuhiko', 'Script']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 29, 1992","Producers, 
Shueisha","Source, 
  Manga","Genres, 
Boys LoveBoys Love,         DramaDrama,         SportsSports,         EroticaErotica","Theme, 
MusicMusic","Duration, 
  45 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.301 (scored by 64736,473 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5691","Members, 
    13,132","Adaptation:: /manga/1536/Zetsuai_1989, Sequel:: /anime/1042/Bronze__Zetsuai_Since_1989, Spin-off:: /anime/3007/Bronze__Kouji_Nanjo_Cathexis",Ai no Kusabi
