index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
8074,High School DxD,Gakkougurashi!,Shingeki no Kyojin,Gantz,Btooom!,Koutetsujou no Kabaneri,Deadman Wonderland,Hellsing Ultimate,Kore wa Zombie desu ka?,Higurashi no Naku Koro ni,"Ogura, Mitsutoshi:Producer","Hashimoto, Kentarou:Producer","Araki, Tetsurou:Director","Tanaka, Kazuya:Sound Director",Highschool of the Dead,#3888,#75,"1,502,287",300,76,69,"['Ogura, Mitsutoshi', 'Producer'], ['Hashimoto, Kentarou', 'Producer'], ['Araki, Tetsurou', 'Director'], ['Tanaka, Kazuya', 'Sound Director']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 5, 2010 to Sep 20, 2010","Producers, 
Geneon Universal Entertainment,       AT-X,       Showgate","Licensors, 
Sentai Filmworks","Studios, 
Madhouse","Source, 
  Manga","Genres, 
ActionAction,         HorrorHorror,         SupernaturalSupernatural,         SuspenseSuspense,         EcchiEcchi","Themes, 
GoreGore,         SurvivalSurvival","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  R+ - Mild Nudity","Adaptation:: /manga/669/Highschool_of_the_Dead, Side story:: /anime/9515/Highschool_of_the_Dead__Drifters_of_the_Dead"
7724,Higurashi no Naku Koro ni,Another,Tokyo Ghoul,Shinsekai yori,Kiseijuu: Sei no Kakuritsu,Elfen Lied,Devilman: Crybaby,Shinreigari,Summertime Render,Mirai Nikki (TV),"Cook, Justin:Producer","Amino, Tetsurou:Director","Hata, Yoshito:Episode Director","Saga, Satoshi:Episode Director",Shiki,#1148,#360,"598,973",267,42,31,"['Cook, Justin', 'Producer'], ['Amino, Tetsurou', 'Director'], ['Hata, Yoshito', 'Episode Director'], ['Saga, Satoshi', 'Episode Director']","Type, 
TV","Episodes, 
  22","Status, 
  Finished Airing","Aired, 
  Jul 9, 2010 to Dec 31, 2010","Producers, 
Aniplex,       Dentsu,       Fuji TV,       DAX Production,       Shueisha","Licensors, 
Funimation","Studios, 
Daume","Source, 
  Manga","Genres, 
HorrorHorror,         MysteryMystery,         SupernaturalSupernatural,         SuspenseSuspense","Themes, 
GoreGore,         PsychologicalPsychological,         VampireVampire","Demographic, 
ShounenShounen","Duration, 
  22 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/3486/Shiki, Side story:: /anime/10083/Shiki_Specials"
6707,Vampire Knight,Trinity Blood,Pandora Hearts,Blood+,Gosick,D.Gray-man,Eikoku Koi Monogatari Emma,Phantom: Requiem for the Phantom,Rozen Maiden: Träumend,Gugure! Kokkuri-san,"Cook, Justin:Producer","Saitou, Shunsuke:Producer","Maruyama, Hiroo:Producer","Ogura, Hirofumi:Director",Kuroshitsuji II,#3544,#383,"564,797",54,26,20,"['Cook, Justin', 'Producer'], ['Saitou, Shunsuke', 'Producer'], ['Maruyama, Hiroo', 'Producer'], ['Ogura, Hirofumi', 'Director']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 2, 2010 to Sep 17, 2010","Producers, 
Aniplex,       Square Enix,       Mainichi Broadcasting System","Licensors, 
Funimation","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         FantasyFantasy","Themes, 
HistoricalHistorical,         MythologyMythology","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Prequel:: /anime/4898/Kuroshitsuji, Side story:: /anime/9136/Kuroshitsuji_II_Specials"
8675,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,Seitokai no Ichizon,GJ-bu,D-Frag!,Kaichou wa Maid-sama!,Boku wa Tomodachi ga Sukunai,Joshikousei: Girl's High,Mitsudomoe,Mangaka-san to Assistant-san to The Animation,Aho Girl,"Nakanishi, Go:Producer","Hariu, Masayuki:Producer","Kishimoto, Reigo:Producer","Kanazawa, Hiromitsu:Director",Seitokai Yakuindomo,#1669,#451,"491,835",77,11,8,"['Nakanishi, Go', 'Producer'], ['Hariu, Masayuki', 'Producer'], ['Kishimoto, Reigo', 'Producer'], ['Kanazawa, Hiromitsu', 'Director']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jul 4, 2010 to Sep 26, 2010","Producers, 
Starchild Records,       Dream Force","Licensors, 
Sentai Filmworks","Studios, 
GoHands","Source, 
  4-koma manga","Genre, 
ComedyComedy","Themes, 
Gag HumorGag Humor,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/14110/Seitokai_Yakuindomo, Sequel:: /anime/10119/Seitokai_Yakuindomo_OVA"
8676,Photokano,Kami nomi zo Shiru Sekai,KimiKiss Pure Rouge,Seiren,Clannad,Hatsukoi Limited.,Kanon (2006),Koi to Senkyo to Chocolate,Kami nomi zo Shiru Sekai II,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,"Nakamura, Shinichi:Producer","Ougi, Jiyuu:Producer","Hiraike, Yoshimasa:Director","Iida, Satoki:Sound Director",Amagami SS,#2770,#609,"379,688",82,14,6,"['Nakamura, Shinichi', 'Producer'], ['Ougi, Jiyuu', 'Producer'], ['Hiraike, Yoshimasa', 'Director'], ['Iida, Satoki', 'Sound Director']","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Jul 2, 2010 to Dec 24, 2010","Premiered, 
Summer 2010","Licensors, 
Sentai Filmworks","Studios, 
AIC","Source, 
  Visual novel","Genre, 
RomanceRomance","Themes, 
HaremHarem,         SchoolSchool","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.281 (scored by 159755159,755 users)
      


1
          indicates a weighted score.","Ranked, 
  #27702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/17607/Amagami__Precious_Diary, Side story:: /anime/9117/Amagami_SS_OVA, Sequel:: /anime/11235/Amagami_SS__Plus, Other:: /anime/33836/Seiren"
8086,Koukaku no Regios,Kenpuu Denki Berserk,Kaze no Stigma,Code Geass: Hangyaku no Lelouch,Ichiban Ushiro no Daimaou,Magi: The Labyrinth of Magic,Naruto,Fairy Tail,Brave 10,Hagure Yuusha no Aesthetica,"Cook, Justin:Producer","Kawasaki, Itsurou:Director","Iwanami, Yoshikazu:Sound Director","Fujiwara, Yoshiyuki:Episode Director",Densetsu no Yuusha no Densetsu,#1800,#791,"300,871",57,13,11,"['Cook, Justin', 'Producer'], ['Kawasaki, Itsurou', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Fujiwara, Yoshiyuki', 'Episode Director']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Jul 2, 2010 to Dec 17, 2010","Producers, 
Lantis,       Media Factory,       Kadokawa Contents Gate,       Fujimi Shobo","Licensors, 
Funimation","Studios, 
Zexcs","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Theme, 
MilitaryMilitary","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
7.511 (scored by 137066137,066 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/21658/Densetsu_no_Yuusha_no_Densetsu, Summary:: /anime/9690/Densetsu_no_Yuusha_no_Densetsu__Iris_Report, Character:: /anime/10934/Itsuka_Tenma_no_Kuro_Usagi__Kokoro_Utsuri_no_Toukoubi_-_School_Attendance_Day"
7769,Toradora!,MM!,SKET Dance,Toaru Kagaku no Railgun,Suzumiya Haruhi no Yuuutsu,Zero no Tsukaima,Otome Youkai Zakuro,Angel Beats!,Princess Tutu,Shakugan no Shana,"Cook, Justin:Producer","Oosawa, Nobuhiro:Producer","Iwasaki, Yoshiaki:Director","Aketagawa, Jin:Sound Director",Ookami-san to Shichinin no Nakama-tachi,#3460,#865,"277,350",38,19,8,"['Cook, Justin', 'Producer'], ['Oosawa, Nobuhiro', 'Producer'], ['Iwasaki, Yoshiaki', 'Director'], ['Aketagawa, Jin', 'Sound Director']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 1, 2010 to Sep 16, 2010","Producers, 
Genco,       Marvelous Entertainment,       Media Factory,       AT-X,       Magic Capsule,       flying DOG","Licensors, 
Funimation","Studios, 
J.C.Staff","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
ParodyParody","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.161 (scored by 129845129,845 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/19348/Ookami-san_Series
7592,Katekyou Hitman Reborn!,Kekkaishi,Ao no Exorcist,Natsume Yuujinchou,InuYasha,D.N.Angel,Ushio to Tora (TV),Shounen Onmyouji,Bleach,Samurai Deeper Kyou,"Oowada, Tomoyuki:Producer","Takatori, Masashi:Producer","Nishimura, Junji:Director","Gouda, Hozumi:Sound Director",Nurarihyon no Mago,#1452,#881,"272,401",29,10,3,"['Oowada, Tomoyuki', 'Producer'], ['Takatori, Masashi', 'Producer'], ['Nishimura, Junji', 'Director'], ['Gouda, Hozumi', 'Sound Director']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Jul 6, 2010 to Dec 21, 2010","Producers, 
Yomiuri Telecasting,       Yomiko Advertising,       Pony Canyon,       TOHO,       Shueisha,       BS11,       Hakuhodo DY Media Partners,       Imagine","Licensors, 
VIZ Media","Studios, 
Studio Deen","Source, 
  Manga","Genres, 
ActionAction,         SupernaturalSupernatural","Theme, 
MythologyMythology","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/5664/Nurarihyon_no_Mago, Summary:: /anime/9731/Nurarihyon_no_Mago_Recaps, Sequel:: /anime/10049/Nurarihyon_no_Mago__Sennen_Makyou, Side story:: /anime/10886/Nurarihyon_no_Mago__Gekitou_Dai_Futsal_Taikai_Nuragumi_W_Cup"
5277,Hyakka Ryouran: Samurai Girls,Akikan!,Date A Live II,Rozen Maiden,Kämpfer,Mirai Nikki (TV),Btooom!,Medaka Box Abnormal,Kurokami The Animation,Asura Cryin',"Cook, Justin:Producer","Kusakawa, Keizou:Director","Aketagawa, Jin:Sound Director","Nobuta, Yuu:Episode Director",Sekirei: Pure Engagement,#2844,#995,"241,833",16,3,2,"['Cook, Justin', 'Producer'], ['Kusakawa, Keizou', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Nobuta, Yuu', 'Episode Director']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jul 4, 2010 to Sep 26, 2010","Producers, 
Aniplex","Licensors, 
Funimation","Studios, 
Seven Arcs","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         EcchiEcchi","Themes, 
HaremHarem,         Super PowerSuper Power","Demographic, 
SeinenSeinen","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Adaptation:: /manga/873/Sekirei, Prequel:: /anime/4063/Sekirei, Side story:: /anime/9355/Sekirei__Pure_Engagement_Episode_0"
6166,To LOVE-Ru,Omamori Himari,Ano Natsu de Matteru,Dog Days,Nyan Koi!,Motto To LOVE-Ru,Onegai☆Teacher,IS: Infinite Stratos,Nekopara,Strike Witches,"Cook, Justin:Producer","Kurita, Akihiro:Producer","Ougi, Jiyuu:Producer","Takahata, Yuuichirou:Producer",Asobi ni Iku yo!,#6359,#1177,"201,296",26,16,10,"['Cook, Justin', 'Producer'], ['Kurita, Akihiro', 'Producer'], ['Ougi, Jiyuu', 'Producer'], ['Takahata, Yuuichirou', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 11, 2010 to Sep 26, 2010","Producers, 
AIC,       Lantis,       Media Factory,       Pony Canyon,       Rakuonsha,       AT-X,       KlockWorx,       Ryukyu Asahi Broadcasting","Licensors, 
Funimation","Studios, 
AIC PLUS+","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance,         Sci-FiSci-Fi,         EcchiEcchi","Theme, 
HaremHarem","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.571 (scored by 9198391,983 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/13068/Asobi_ni_Iku_yo, Side story:: /anime/9618/Asobi_ni_Iku_yo__Asobi_ni_Oide"
