index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
23273,Kimi no Suizou wo Tabetai,3-gatsu no Lion,Nodame Cantabile,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Clannad: After Story,Sakamichi no Apollon,Plastic Memories,Angel Beats!,Violet Evergarden,Sakura-sou no Pet na Kanojo,"Saitou, Shunsuke:Producer","Fukushima, Yuuichi:Producer","Kimura, Makoto:Producer","Tateishi, Kensuke:Producer",Shigatsu wa Kimi no Uso,#75,#23,"2,197,373",908,96,71,"['Saitou, Shunsuke', 'Producer'], ['Fukushima, Yuuichi', 'Producer'], ['Kimura, Makoto', 'Producer'], ['Tateishi, Kensuke', 'Producer']","Type, 
TV","Episodes, 
  22","Status, 
  Finished Airing","Aired, 
  Oct 10, 2014 to Mar 20, 2015","Producers, 
Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Lawson HMV Entertainment,       Kyoraku Industrial Holdings,       Kansai Telecasting","Licensors, 
Aniplex of America","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
DramaDrama,         RomanceRomance","Themes, 
Love PolygonLove Polygon,         MusicMusic,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  22 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/37707/Shigatsu_wa_Kimi_no_Uso, Prequel:: /anime/28069/Shigatsu_wa_Kimi_no_Uso__Moments"
23755,Akame ga Kill!,Fairy Tail,Akatsuki no Yona,Magi: The Labyrinth of Magic,Fullmetal Alchemist: Brotherhood,Plunderer,Black Clover,One Punch Man,One Piece,Rokka no Yuusha,"Kananiwa, Kozue:Producer","Uryuu, Kyouko:Producer","Tateishi, Kensuke:Producer","Endou, Tetsuya:Producer",Nanatsu no Taizai,#1356,#32,"2,045,814",143,43,50,"['Kananiwa, Kozue', 'Producer'], ['Uryuu, Kyouko', 'Producer'], ['Tateishi, Kensuke', 'Producer'], ['Endou, Tetsuya', 'Producer']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 5, 2014 to Mar 29, 2015","Producers, 
Aniplex,       Dentsu,       Mainichi Broadcasting System,       Kodansha,       Movic","Licensors, 
Funimation","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.641 (scored by 13358371,335,837 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/44485/Nanatsu_no_Taizai, Side story:: /anime/30347/Nanatsu_no_Taizai_OVA, Sequel:: /anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi, Summary:: /anime/36923/Nanatsu_no_Taizai__Imashime_no_Fukkatsu_Joshou"
22535,Tokyo Ghoul,Devilman: Crybaby,Inuyashiki,Shiki,Ajin,Death Note,Midori no Hibi,Shingeki no Kyojin,Deadman Wonderland,Jujutsu Kaisen,"Nakatani, Toshio:Producer","Shioiri, Souta:Producer","Shimizu, Kenichi:Director","Yamada, Chiaki:Sound Director",Kiseijuu: Sei no Kakuritsu,#223,#42,"1,859,053",332,53,21,"['Nakatani, Toshio', 'Producer'], ['Shioiri, Souta', 'Producer'], ['Shimizu, Kenichi', 'Director'], ['Yamada, Chiaki', 'Sound Director']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 9, 2014 to Mar 26, 2015","Producers, 
VAP,       Nippon Television Network,       Forecast Communications","Licensors, 
Sentai Filmworks","Studios, 
Madhouse","Source, 
  Manga","Genres, 
ActionAction,         HorrorHorror,         Sci-FiSci-Fi,         SuspenseSuspense","Themes, 
GoreGore,         PsychologicalPsychological","Demographic, 
SeinenSeinen","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)",Adaptation:: /manga/401/Kiseijuu
22297,Kara no Kyoukai Movie 1: Fukan Fuukei,Kimetsu no Yaiba,Toaru Majutsu no Index,Soul Buster,Fate/Apocrypha,Rozen Maiden,Shakugan no Shana,Fullmetal Alchemist: Brotherhood,Machine-Doll wa Kizutsukanai,Drifters,"Iwakami, Atsuhiro:Producer","Kondou, Hikaru:Producer","Miura, Takahiro:Director","Iwanami, Yoshikazu:Sound Director",Fate/stay night: Unlimited Blade Works,#387,#138,"1,065,422",113,26,14,"['Iwakami, Atsuhiro', 'Producer'], ['Kondou, Hikaru', 'Producer'], ['Miura, Takahiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 12, 2014 to Dec 28, 2014","Producers, 
Aniplex,       Notes","Licensors, 
Aniplex of America","Studios, 
ufotable","Source, 
  Visual novel","Genres, 
ActionAction,         FantasyFantasy,         SupernaturalSupernatural","Duration, 
  28 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.181 (scored by 674399674,399 users)
      


1
          indicates a weighted score.","Ranked, 
  #3872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/135178/Fate_stay_night__Unlimited_Blade_Works, Alternative version:: /anime/356/Fate_stay_night, Character:: /anime/10012/Carnival_Phantasm, Prequel:: /anime/27821/Fate_stay_night__Unlimited_Blade_Works_Prologue, Sequel:: /anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season"
25013,Akagami no Shirayuki-hime,Arslan Senki (TV),Fushigi Yuugi,Nanatsu no Taizai,Saiunkoku Monogatari,Juuni Kokuki,Seirei no Moribito,Hanasakeru Seishounen,Kamisama Hajimemashita,InuYasha,"Cook, Justin:Producer","Tominaga, Yoshihiko:Producer","Yamazaki, Asuka:Producer","Danno, Yoshito:Producer",Akatsuki no Yona,#576,#208,"850,205",258,36,20,"['Cook, Justin', 'Producer'], ['Tominaga, Yoshihiko', 'Producer'], ['Yamazaki, Asuka', 'Producer'], ['Danno, Yoshito', 'Producer']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 7, 2014 to Mar 24, 2015","Producers, 
VAP,       Hakusensha,       AT-X,       Delfi Sound,       Marvelous AQL,       Tokyo MX,       Age Global Networks,       Docomo Anime Store,       Top-Insight International","Licensors, 
Funimation","Studios, 
Pierrot","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy,         RomanceRomance","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.031 (scored by 415319415,319 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/21525/Akatsuki_no_Yona, Sequel:: /anime/30370/Akatsuki_no_Yona_OVA"
25157,High School DxD,Absolute Duo,Date A Live,Seireitsukai no Blade Dance,Yamada-kun to 7-nin no Majo,Ichiban Ushiro no Daimaou,Busou Shoujo Machiavellianism,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",Hagure Yuusha no Aesthetica,Nanatsu no Taizai,"Naya, Ryousuke:Producer","Beniya, Yoshikazu:Producer","Takashino, Shuuichi:Producer","Awaji, Tooru:Producer",Trinity Seven,#4012,#212,"837,715",69,23,14,"['Naya, Ryousuke', 'Producer'], ['Beniya, Yoshikazu', 'Producer'], ['Takashino, Shuuichi', 'Producer'], ['Awaji, Tooru', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 8, 2014 to Dec 24, 2014","Premiered, 
Fall 2014","Licensors, 
Sentai Filmworks","Studios, 
Seven Arcs Pictures","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         FantasyFantasy,         RomanceRomance,         EcchiEcchi","Themes, 
HaremHarem,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.051 (scored by 460492460,492 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/24822/Trinity_Seven__7-nin_no_Mashotsukai, Sequel:: /anime/28285/Trinity_Seven__Nanatsu_no_Taizai_to_Nana_Madoushi, Other:: /anime/33581/Trinity_Seven_Movie_1__Eternity_Library_to_Alchemic_Girl"
22147,Charlotte,No Game No Life,Arakawa Under the Bridge,Full Metal Panic? Fumoffu,Hataraku Maou-sama!,Rail Wars!,Kono Subarashii Sekai ni Shukufuku wo!,Kore wa Zombie desu ka?,Outbreak Company,Genjitsu Shugi Yuusha no Oukoku Saikenki,"Chiba, Makoto:Producer","Takanashi, Mai:Assistant Producer","Takemoto, Yasuhiro:Director","Tsuruoka, Youta:Sound Director",Amagi Brilliant Park,#1960,#313,"654,904",117,16,6,"['Chiba, Makoto', 'Producer'], ['Takanashi, Mai', 'Assistant Producer'], ['Takemoto, Yasuhiro', 'Director'], ['Tsuruoka, Youta', 'Sound Director']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Oct 7, 2014 to Dec 26, 2014","Producers, 
Avex Entertainment,       TBS,       DAX Production,       flying DOG,       Mobcast","Licensors, 
Sentai Filmworks","Studios, 
Kyoto Animation","Source, 
  Light novel","Genres, 
ComedyComedy,         FantasyFantasy","Theme, 
WorkplaceWorkplace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.461 (scored by 351672351,672 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/57979/Amagi_Brilliant_Park, Side story:: /anime/30056/Amagi_Brilliant_Park__Wakuwaku_Mini_Theater_-_Rakugaki_Backstage, Sequel:: /anime/30206/Amagi_Brilliant_Park__Nonbirishiteiru_Hima_ga_Nai"
23281,Monster,Ranpo Kitan: Game of Laplace,Zankyou no Terror,Death Note,No.6,Babylon,,,,,"Cook, Justin:Producer","Wada, Jouji:Producer","Morihiro, Fumi:Producer","Mori, Akitoshi:Producer",Psycho-Pass 2,#2247,#315,"653,059",76,20,28,"['Cook, Justin', 'Producer'], ['Wada, Jouji', 'Producer'], ['Morihiro, Fumi', 'Producer'], ['Mori, Akitoshi', 'Producer']","Type, 
TV","Episodes, 
  11","Status, 
  Finished Airing","Aired, 
  Oct 10, 2014 to Dec 19, 2014","Producers, 
Production I.G,       Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       TOHO animation,       Kyoraku Industrial Holdings","Licensors, 
Funimation","Studios, 
Tatsunoko Production","Source, 
  Original","Genres, 
ActionAction,         MysteryMystery,         Sci-FiSci-Fi,         SuspenseSuspense","Themes, 
Adult CastAdult Cast,         DetectiveDetective,         PsychologicalPsychological","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
7.401 (scored by 350706350,706 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/81151/Psycho-Pass_2, Prequel:: /anime/13601/Psycho-Pass, Sequel:: /anime/21339/Psycho-Pass_Movie"
17729,Mahouka Koukou no Rettousei,Bakemonogatari,Angel Beats!,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Little Busters!,Clannad,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Kami nomi zo Shiru Sekai,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Aldnoah.Zero,"Ogura, Mitsutoshi:Producer","Yamazaki, Asuka:Producer","Kosuge, Hidenori:Producer","Ueki, Tatsuya:Producer",Grisaia no Kajitsu,#1927,#349,"612,591",65,28,14,"['Ogura, Mitsutoshi', 'Producer'], ['Yamazaki, Asuka', 'Producer'], ['Kosuge, Hidenori', 'Producer'], ['Ueki, Tatsuya', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Oct 5, 2014 to Dec 28, 2014","Producers, 
Frontier Works,       AT-X,       Bushiroad,       NBCUniversal Entertainment Japan,       Front Wing","Licensors, 
Sentai Filmworks","Studios, 
8bit","Source, 
  Visual novel","Genres, 
DramaDrama,         RomanceRomance,         SuspenseSuspense","Themes, 
HaremHarem,         PsychologicalPsychological,         SchoolSchool","Duration, 
  23 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.471 (scored by 314013314,013 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/49051/Grisaia_no_Kajitsu__Sanctuary_Fellows, Sequel:: /anime/29093/Grisaia_no_Meikyuu__Caprice_no_Mayu_0, Side story:: /anime/29101/Grisaia_no_Kajitsu_Specials"
23321,Sword Art Online II,Overlord II,Overlord,No Game No Life,Ookami to Koushinryou,Death March kara Hajimaru Isekai Kyousoukyoku,Utawarerumono: Itsuwari no Kamen,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",Fate/stay night: Unlimited Blade Works,Hai to Gensou no Grimgar,"Wada, Kaoru:Producer","Ishihira, Shinji:Director","Hata, Shouji:Sound Director","Watanabe, Toshinori:Episode Director",Log Horizon 2nd Season,#1605,#351,"611,712",23,20,6,"['Wada, Kaoru', 'Producer'], ['Ishihira, Shinji', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Watanabe, Toshinori', 'Episode Director']","Type, 
TV","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Oct 4, 2014 to Mar 28, 2015","Producers, 
NHK","Licensors, 
Funimation,       Sentai Filmworks","Studios, 
Studio Deen","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
Adult CastAdult Cast,         Video GameVideo Game","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.561 (scored by 341074341,074 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/46024/Log_Horizon, Prequel:: /anime/17265/Log_Horizon, Sequel:: /anime/41109/Log_Horizon__Entaku_Houkai"
