index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_10
45576,3-gatsu no Lion,Dungeon Meshi,Sabikui Bisco,ReLIFE,Somali to Mori no Kamisama,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Tensei shitara Slime Datta Ken,Sousou no Frieren,Overlord II,"Cook, Justin:Producer","Oowada, Tomoyuki:Producer","Yamanaka, Takahiro:Producer","Oosuga, Shouji:Producer",Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,#64,#186,"904,142",162,32,32,"['Cook, Justin', 'Producer'], ['Oowada, Tomoyuki', 'Producer'], ['Yamanaka, Takahiro', 'Producer'], ['Oosuga, Shouji', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 4, 2021 to Dec 20, 2021","Premiered, 
Fall 2021","Licensors, 
Funimation","Studios, 
Studio Bind","Source, 
  Light novel","Genres, 
AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.671 (scored by 564319564,319 users)
      


1
          indicates a weighted score.","Ranked, 
  #642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu, Prequel:: /anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu, Side story:: /anime/50360/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_-_Eris_no_Goblin_Toubatsu, Sequel:: /anime/55818/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_-_Shugo_Jutsushi_Fitz",
48926,Kimi ni Todoke,Hitoribocchi no Marumaru Seikatsu,Aharen-san wa Hakarenai,Saiki Kusuo no Ψ-nan,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Handa-kun,Horimiya,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,Bocchi the Rock!,"Kondou, Shuuhou:Producer","Beniya, Yoshikazu:Producer","Kojima, Hiroaki:Producer","Taniguchi, Hiroyasu:Producer","Komi-san wa, Comyushou desu.",#822,#196,"877,171",124,56,46,"['Kondou, Shuuhou', 'Producer'], ['Beniya, Yoshikazu', 'Producer'], ['Kojima, Hiroaki', 'Producer'], ['Taniguchi, Hiroyasu', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 7, 2021 to Dec 23, 2021","Producers, 
TV Tokyo,       Dentsu,       Shogakukan-Shueisha Productions,       Half H.P Studio,       Nippon Columbia","Licensors, 
    None found, add some","Studios, 
OLM","Source, 
  Manga","Genre, 
ComedyComedy","Themes, 
Romantic SubtextRomantic Subtext,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/99007/Komi-san_wa_Comyushou_desu, Other:: /anime/50288/Cinderella, Sequel:: /anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season",Senryuu Shoujo
49926,,,,,,,,,,"Miyake, Masanori:Producer","Fujio, Akifumi:Producer","Takahashi, Yuuma:Producer","Sotozaki, Haruo:Director",Kimetsu no Yaiba: Mugen Ressha-hen,#194,#262,"740,904",37,14,8,"['Miyake, Masanori', 'Producer'], ['Fujio, Akifumi', 'Producer'], ['Takahashi, Yuuma', 'Producer'], ['Sotozaki, Haruo', 'Director']","Type, 
TV","Episodes, 
  7","Status, 
  Finished Airing","Aired, 
  Oct 10, 2021 to Nov 28, 2021","Producers, 
Aniplex,       Shueisha","Licensors, 
    None found, add some","Studios, 
ufotable","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Theme, 
HistoricalHistorical","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/96792/Kimetsu_no_Yaiba, Prequel:: /anime/38000/Kimetsu_no_Yaiba, Alternative version:: /anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen, Sequel:: /anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen",
40834,Mob Psycho 100,Kaiba,Made in Abyss,Dororo,Maoujou de Oyasumi,Kemono no Souja Erin,Kotarou wa Hitorigurashi,Kaze no Tani no Nausicaä,Vinland Saga,"Cook, Justin:Producer","Okada, Maiko:Producer","Herek, Samantha:Assistant Producer","Hatta, Yousuke:Director",Ousama Ranking,#127,#330,"636,391",179,34,25,"['Cook, Justin', 'Producer'], ['Okada, Maiko', 'Producer'], ['Herek, Samantha', 'Assistant Producer'], ['Hatta, Yousuke', 'Director']","Type, 
TV","Episodes, 
  23","Status, 
  Finished Airing","Aired, 
  Oct 15, 2021 to Mar 25, 2022","Producers, 
Aniplex,       Dentsu,       Fuji TV,       Kadokawa,       Bandai Spirits","Licensors, 
Funimation","Studios, 
Wit Studio","Source, 
  Web manga","Genres, 
AdventureAdventure,         FantasyFantasy","Duration, 
  22 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.511 (scored by 335696335,696 users)
      


1
          indicates a weighted score.","Ranked, 
  #1272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/121544/Ousama_Ranking, Other:: /anime/50324/Oz, Side story:: /anime/52657/Ousama_Ranking__Yuuki_no_Takarabako",Ookami Kodomo no Ame to Yuki
47790,Mushoku Tensei: Isekai Ittara Honki Dasu,Seirei Gensouki,Kage no Jitsuryokusha ni Naritakute!,Isekai Yakkyoku,Yuukoku no Moriarty,Arifureta Shokugyou de Sekai Saikyou,Shikkakumon no Saikyou Kenja,Fate/Zero,Douluo Dalu,"Motonaga, Satoshi:Producer","Sotokawa, Akihiro:Producer","Umeda, Masakatsu:Producer","Kurosu, Nobuhiko:Producer","Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",#2461,#418,"528,175",67,43,56,"['Motonaga, Satoshi', 'Producer'], ['Sotokawa, Akihiro', 'Producer'], ['Umeda, Masakatsu', 'Producer'], ['Kurosu, Nobuhiko', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 6, 2021 to Dec 22, 2021","Producers, 
Lantis,       Movic,       AT-X,       Glovision,       TV Aichi,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Arts","Licensors, 
    None found, add some","Studios, 
SILVER LINK.,       Studio Palette","Source, 
  Light novel","Genres, 
ActionAction,         DramaDrama,         FantasyFantasy,         MysteryMystery,         RomanceRomance","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.351 (scored by 291907291,907 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/120548/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru, Sequel:: /anime/56732/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru_2nd_Season",Phantom: Requiem for the Phantom
48556,Vivy: Fluorite Eye's Song,Guilty Crown,Listeners,Engage Kiss,Senki Zesshou Symphogear,"Tantei wa Mou, Shindeiru.",God Eater,Black Bullet,Shinkyoku Soukai Polyphonica,"Fukushi, Yuuichirou:Producer","Kimura, Makoto:Producer","Matsuda, Hiroshi:Producer","Kawagoe, Wataru:Producer",Takt Op. Destiny,#3503,#434,"506,646",69,61,45,"['Fukushi, Yuuichirou', 'Producer'], ['Kimura, Makoto', 'Producer'], ['Matsuda, Hiroshi', 'Producer'], ['Kawagoe, Wataru', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 6, 2021 to Dec 22, 2021","Premiered, 
Fall 2021","Licensors, 
    None found, add some","Studios, 
Madhouse,       MAPPA","Source, 
  Mixed media","Genres, 
ActionAction,         FantasyFantasy,         Sci-FiSci-Fi","Theme, 
MusicMusic","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.151 (scored by 210543210,543 users)
      


1
          indicates a weighted score.","Ranked, 
  #35032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,Jujutsu Kaisen
48569,Shingeki no Kyojin: The Final Season Part 2,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Kidou Senshi Gundam SEED,Aldnoah.Zero Part 2,Charlotte,Classroom☆Crisis,Shingeki no Kyojin: The Final Season,Full Metal Panic!,Aldnoah.Zero,"Nakayama, Nobuhiro:Producer","Fujii, Shouta:Producer","Ishii, Toshimasa:Director","Aketagawa, Jin:Sound Director",86 Part 2,#55,#453,"491,104",149,21,20,"['Nakayama, Nobuhiro', 'Producer'], ['Fujii, Shouta', 'Producer'], ['Ishii, Toshimasa', 'Director'], ['Aketagawa, Jin', 'Sound Director']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 3, 2021 to Mar 19, 2022","Premiered, 
Fall 2021","Licensors, 
    None found, add some","Studios, 
A-1 Pictures","Source, 
  Light novel","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.701 (scored by 277377277,377 users)
      


1
          indicates a weighted score.","Ranked, 
  #552

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/104039/86, Prequel:: /anime/41457/86, Other:: /anime/50098/Kyoukaisen, Summary:: /anime/50475/86_Part_2_Recaps",Shingeki no Kyojin
48483,Jujutsu Kaisen,Dark Gathering,Natsume Yuujinchou,Pupipo!,Mob Psycho 100,Re-Kan!,Jigoku Shoujo,Mononoke Hime,Mayoiga,"Cook, Justin:Producer","Ogata, Mitsuhiro:Producer","Maruyama, Hajime:Producer","Isogai, Noritomo:Producer",Mieruko-chan,#2197,#455,"489,985",87,36,26,"['Cook, Justin', 'Producer'], ['Ogata, Mitsuhiro', 'Producer'], ['Maruyama, Hajime', 'Producer'], ['Isogai, Noritomo', 'Producer']","Status, 
  Finished Airing","Aired, 
  Oct 3, 2021 to Dec 19, 2021","Premiered, 
Fall 2021","Broadcast, 
    Sundays at 22, 00 (JST)","Studios, 
Passione","Source, 
  Web manga","Genres, 
ComedyComedy,         HorrorHorror,         SupernaturalSupernatural","Theme, 
SchoolSchool","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.411 (scored by 223270223,270 users)
      


1
          indicates a weighted score.","Ranked, 
  #21972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #455",Adaptation:: /manga/116790/Mieruko-chan,Kyoukai no Rinne
46352,IDOLiSH7,3-gatsu no Lion,Arte,Bakuman.,Gin no Saji,Kono Oto Tomare!,Dance Dance Danseur,Ballroom e Youkoso,Nodame Cantabile,"Kamei, Hiroshi:Producer","Matsumoto, Takuya:Producer","Yonezawa, Akira:Producer","Fukui, Norio:Producer",Blue Period,#960,#483,"460,832",115,22,10,"['Kamei, Hiroshi', 'Producer'], ['Matsumoto, Takuya', 'Producer'], ['Yonezawa, Akira', 'Producer'], ['Fukui, Norio', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 2, 2021 to Dec 18, 2021","Producers, 
Mainichi Broadcasting System,       Kodansha,       DMM pictures,       Bit grooove promotion,       DMM Music","Licensors, 
    None found, add some","Studios, 
Seven Arcs","Source, 
  Manga","Genre, 
DramaDrama","Themes, 
SchoolSchool,         Visual ArtsVisual Arts","Demographic, 
SeinenSeinen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older",Adaptation:: /manga/107931/Blue_Period,Sono Bisque Doll wa Koi wo Suru
44961,Mirai Nikki (TV),Death Note,Btooom!,Inuyashiki,Darwin's Game,Dead Mount Death Play,Zetsuen no Tempest,Chainsaw Man,Tomodachi Game,"Oowada, Tomoyuki:Producer","Chino, Takatoshi:Producer","Ueda, Tomoki:Producer","Kise, Kazuchika:Director",Platinum End,#9317,#602,"383,776",33,31,73,"['Oowada, Tomoyuki', 'Producer'], ['Chino, Takatoshi', 'Producer'], ['Ueda, Tomoki', 'Producer'], ['Kise, Kazuchika', 'Director']","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 8, 2021 to Mar 25, 2022","Premiered, 
Fall 2021","Licensors, 
    None found, add some","Studios, 
Signal.MD","Source, 
  Manga","Genres, 
DramaDrama,         SupernaturalSupernatural,         SuspenseSuspense","Themes, 
MythologyMythology,         PsychologicalPsychological,         SurvivalSurvival","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
6.041 (scored by 133582133,582 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/93180/Platinum_End, Other:: /anime/50964/Koufukuron",Fate/Zero
42351,Wotaku ni Koi wa Muzukashii,Uchi no Kaisha no Chiisai Senpai no Hanashi,New Game!,Ore Monogatari!!,Gekkan Shoujo Nozaki-kun,Working!!,Servant x Service,Aharen-san wa Hakarenai,Toradora!,"Kobayashi, Ryou:Producer","Kamata, Hajime:Producer","Miura, Fumi:Producer","Ozawa, Fumihiro:Producer",Senpai ga Uzai Kouhai no Hanashi,#1544,#720,"329,064",36,21,1,"['Kobayashi, Ryou', 'Producer'], ['Kamata, Hajime', 'Producer'], ['Miura, Fumi', 'Producer'], ['Ozawa, Fumihiro', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 10, 2021 to Dec 26, 2021","Premiered, 
Fall 2021","Licensors, 
Funimation","Studios, 
Doga Kobo","Source, 
  Web manga","Genre, 
ComedyComedy","Themes, 
Adult CastAdult Cast,         Romantic SubtextRomantic Subtext,         WorkplaceWorkplace","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.581 (scored by 153408153,408 users)
      


1
          indicates a weighted score.","Ranked, 
  #15442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/113560/Senpai_ga_Uzai_Kouhai_no_Hanashi,Mikakunin de Shinkoukei
