index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
54857,,,,,,,,,,"Katou, Shinichirou:Producer","Shinohara, Masahiro:Director","Aketagawa, Jin:Sound Director","Nagatsuki, Tappei:Original Creator",Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,N/A,#1632,"137,614",0,0,0,"['Katou, Shinichirou', 'Producer'], ['Shinohara, Masahiro', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Nagatsuki, Tappei', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
Magic Capsule,       Kadokawa","Licensors, 
    None found, add some","Studios, 
White Fox","Source, 
  Light novel","Genres, 
DramaDrama,         FantasyFantasy,         SuspenseSuspense","Themes, 
IsekaiIsekai,         PsychologicalPsychological,         Time TravelTime Travel","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu, Prequel:: /anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2"
52995,,,,,,,,,,"Iwanaga, Akira:Director","Satou, Shouichi:Script",TakayaKi:Original Character Design,"Takahashi, Ryou:Music",Arifureta Shokugyou de Sekai Saikyou Season 3,N/A,#2504,"73,123",0,0,0,"['Iwanaga, Akira', 'Director'], ['Satou, Shouichi', 'Script'], ['TakayaKi', 'Original Character Design'], ['Takahashi, Ryou', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
Overlap","Licensors, 
    None found, add some","Studios, 
asread.","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
HaremHarem,         IsekaiIsekai","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/88923/Arifureta_Shokugyou_de_Sekai_Saikyou, Prequel:: /anime/40507/Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season"
57066,,,,,,,,,,"Tachibana, Hideki:Director","Aketagawa, Jin:Sound Director","Yasuda, Suzuhito:Original Character Design","Omori, Fujino:Series Composition",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,N/A,#3476,"40,506",0,0,0,"['Tachibana, Hideki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Yasuda, Suzuhito', 'Original Character Design'], ['Omori, Fujino', 'Series Composition']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/56743/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka, Prequel:: /anime/53111/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Fuka_Shou_-_Yakusai-hen"
55994,,,,,,,,,,"Sakoi, Masayuki:Director","Kuroda, Yousuke:Script","Sigsawa, Keiichi:Original Creator","Kuroboshi, Kouhaku:Original Character Design",Sword Art Online Alternative: Gun Gale Online II,N/A,#3511,"39,684",0,0,0,"['Sakoi, Masayuki', 'Director'], ['Kuroda, Yousuke', 'Script'], ['Sigsawa, Keiichi', 'Original Creator'], ['Kuroboshi, Kouhaku', 'Original Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Studio 3Hz","Source, 
  Light novel","Genre, 
ActionAction","Themes, 
MilitaryMilitary,         Video GameVideo Game","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/82795/Sword_Art_Online_Alternative__Gun_Gale_Online, Alternative setting:: /anime/21881/Sword_Art_Online_II, Prequel:: /anime/36475/Sword_Art_Online_Alternative__Gun_Gale_Online"
57334,,,,,,,,,,"Yamashiro, Fuuga:Director","Kimura, Eriko:Sound Director","Seko, Hiroshi:Script","Ushio, Kensuke:Music",Dandadan,N/A,#3514,"39,664",0,0,0,"['Yamashiro, Fuuga', 'Director'], ['Kimura, Eriko', 'Sound Director'], ['Seko, Hiroshi', 'Script'], ['Ushio, Kensuke', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Science SARU","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         SupernaturalSupernatural","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/135496/Dandadan
57181,,,,,,,,,,"Yano, Yuuichirou:Director","Miura, Kouji:Original Creator","Kakihara, Yuuko:Series Composition","Tanino, Miho:Character Design",Ao no Hako,N/A,#4799,"20,450",0,0,0,"['Yano, Yuuichirou', 'Director'], ['Miura, Kouji', 'Original Creator'], ['Kakihara, Yuuko', 'Series Composition'], ['Tanino, Miho', 'Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Telecom Animation Film","Source, 
  Manga","Genres, 
RomanceRomance,         SportsSports","Themes, 
SchoolSchool,         Team SportsTeam Sports","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/135545/Ao_no_Hako
56894,,,,,,,,,,"Yashima, Yoshitaka:Director","Komaki, Aya:Director","Kakihara, Yuuko:Script","Toriyama, Akira:Original Creator",Dragon Ball Daima,N/A,#4843,"20,014",0,0,0,"['Yashima, Yoshitaka', 'Director'], ['Komaki, Aya', 'Director'], ['Kakihara, Yuuko', 'Script'], ['Toriyama, Akira', 'Original Creator']","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Broadcast, 
    Unknown","Studios, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","Themes, 
Martial ArtsMartial Arts,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Other:: /anime/223/Dragon_Ball
58572,,,,,,,,,,"Fujita, Akiko:Sound Director","Fudeyasu, Kazuyuki:Script","Takada, Ryuuichi:Music",Katarina:Original Creator,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",N/A,#5219,"16,391",0,0,0,"['Fujita, Akiko', 'Sound Director'], ['Fudeyasu, Kazuyuki', 'Script'], ['Takada, Ryuuichi', 'Music'], ['Katarina', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
C2C","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Theme, 
Video GameVideo Game","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/130331/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su, Prequel:: /anime/52347/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su"
57635,,,,,,,,,,"Amano, Akira:Original Creator",,,,Kamonohashi Ron no Kindan Suiri 2nd Season,N/A,#5452,"14,586",0,0,0,"['Amano, Akira', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Manga","Genres, 
ComedyComedy,         MysteryMystery","Themes, 
Adult CastAdult Cast,         DetectiveDetective","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/130392/Kamonohashi_Ron_no_Kindan_Suiri, Prequel:: /anime/53879/Kamonohashi_Ron_no_Kindan_Suiri"
55823,,,,,,,,,,"Oomori, Takahiro:Director","Itou, Hideki:Director","Midorikawa, Yuki:Original Creator","Yoshimori, Makoto:Music",Natsume Yuujinchou Shichi,N/A,#5677,"13,256",0,0,0,"['Oomori, Takahiro', 'Director'], ['Itou, Hideki', 'Director'], ['Midorikawa, Yuki', 'Original Creator'], ['Yoshimori, Makoto', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
Nihon Ad Systems","Licensors, 
    None found, add some","Studios, 
Shuka","Source, 
  Manga","Genres, 
Slice of LifeSlice of Life,         SupernaturalSupernatural","Themes, 
IyashikeiIyashikei,         MythologyMythology","Demographic, 
ShoujoShoujo","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/1859/Natsume_Yuujinchou, Prequel:: /anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu"
