index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_1
49458,,,,,,,,,,"Kanasaki, Takaomi:Director","Abe, Yuujirou:Director","Iwanami, Yoshikazu:Sound Director","Takahashi, Rie:Theme Song Performance",Kono Subarashii Sekai ni Shukufuku wo! 3,N/A,#879,"273,427",0,0,0,"['Kanasaki, Takaomi', 'Director'], ['Abe, Yuujirou', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Takahashi, Rie', 'Theme Song Performance']","Episodes, 
  11","Status, 
  Not yet aired","Aired, 
  Apr 10, 2024 to ?","Premiered, 
Spring 2024","Producers, 
Half H.P Studio,       Nippon Columbia,       Kadokawa","Licensors, 
    None found, add some","Studios, 
Drive","Source, 
  Light novel","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Themes, 
IsekaiIsekai,         ParodyParody","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo, Prequel:: /anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu",
55701,,,,,,,,,,"Sotozaki, Haruo:Director",Hyde:Theme Song Performance,MY FIRST STORY:Theme Song Performance,"Kajiura, Yuki:Music",Kimetsu no Yaiba: Hashira Geiko-hen,N/A,#1051,"229,626",0,0,0,"['Sotozaki, Haruo', 'Director'], ['Hyde', 'Theme Song Performance'], ['MY FIRST STORY', 'Theme Song Performance'], ['Kajiura, Yuki', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  May 12, 2024 to ?","Premiered, 
Spring 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
ufotable","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Theme, 
HistoricalHistorical","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/96792/Kimetsu_no_Yaiba, Prequel:: /anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen",
53580,,,,,,,,,,"Nakayama, Atsushi:Director","Aketagawa, Jin:Sound Director",STEREO DIVE FOUNDATION:Theme Song Performance,"Kurusu, Rin:Theme Song Performance",Tensei shitara Slime Datta Ken 3rd Season,N/A,#1211,"196,599",0,0,0,"['Nakayama, Atsushi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['STEREO DIVE FOUNDATION', 'Theme Song Performance'], ['Kurusu, Rin', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 5, 2024 to ?","Producers, 
Kodansha","Licensors, 
    None found, add some","Studios, 
8bit","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/87609/Tensei_shitara_Slime_Datta_Ken, Prequel:: /anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2",
55888,,,,,,,,,,"Shibuya, Ryousuke:Director","Aketagawa, Jin:Sound Director","Ohara, Yuiko:Theme Song Performance",hitorie:Theme Song Performance,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,N/A,#1332,"177,941",0,0,0,"['Shibuya, Ryousuke', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Ohara, Yuiko', 'Theme Song Performance'], ['hitorie', 'Theme Song Performance']","Type, 
TV","Episodes, 
  12","Status, 
  Not yet aired","Aired, 
  Apr 8, 2024 to ?","Previewed, 
    Mar 30, 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Studio Bind","Source, 
  Light novel","Genres, 
AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu, Prequel:: /anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu",
54789,,,,,,,,,,"Nagasaki, Kenji:Director","Nakayama, Naomi:Director","Mima, Masafumi:Sound Director","Kuroda, Yousuke:Script",Boku no Hero Academia 7th Season,N/A,#1410,"165,529",0,0,0,"['Nagasaki, Kenji', 'Director'], ['Nakayama, Naomi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Kuroda, Yousuke', 'Script']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  May 4, 2024 to ?","Producers, 
Shueisha","Licensors, 
    None found, add some","Studios, 
Bones","Source, 
  Manga","Genre, 
ActionAction","Themes, 
SchoolSchool,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/75989/Boku_no_Hero_Academia, Prequel:: /anime/49918/Boku_no_Hero_Academia_6th_Season",
48418,,,,,,,,,,"Oonuma, Shin:Director","Tamura, Masafumi:Director","Naya, Ryousuke:Sound Director","Touyama, Nao:Theme Song Performance","Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",N/A,#1926,"110,441",0,0,0,"['Oonuma, Shin', 'Director'], ['Tamura, Masafumi', 'Director'], ['Naya, Ryousuke', 'Sound Director'], ['Touyama, Nao', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 12, 2024 to ?","Producers, 
Aniplex,       Kadokawa","Licensors, 
    None found, add some","Studios, 
SILVER LINK.","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy","Themes, 
MythologyMythology,         ReincarnationReincarnation,         SchoolSchool","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/115437/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou, Prequel:: /anime/48417/Maou_Gakuin_no_Futekigousha_II__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou",
52588,,,,,,,,,,"Miya, Shigeyuki:Director","Kamiya, Tomomi:Director","Gou, Fumiyuki:Sound Director","Ookouchi, Ichirou:Script",Kaijuu 8-gou,N/A,#1950,"108,763",0,0,0,"['Miya, Shigeyuki', 'Director'], ['Kamiya, Tomomi', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Ookouchi, Ichirou', 'Script']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 13, 2024 to ?","Producers, 
Khara,       TOHO animation,       Shueisha","Licensors, 
    None found, add some","Studios, 
Production I.G","Source, 
  Manga","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
MilitaryMilitary","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/127907/Kaijuu_8-gou,
51122,,,,,,,,,,"Takahashi, Takeo:Director","Sanpei, Hijiri:Director","Yoshida, Tomohiro:Sound Director",ClariS:Theme Song Performance,Ookami to Koushinryou: Merchant Meets the Wise Wolf,#272,#2505,"72,762",0,0,0,"['Takahashi, Takeo', 'Director'], ['Sanpei, Hijiri', 'Director'], ['Yoshida, Tomohiro', 'Sound Director'], ['ClariS', 'Theme Song Performance']","Type, 
TV","Episodes, 
  25","Status, 
  Currently Airing","Aired, 
  Apr 2, 2024 to ?","Producers, 
Enishiya,       Toho Music","Licensors, 
    None found, add some","Studios, 
Passione","Source, 
  Light novel","Genres, 
AdventureAdventure,         DramaDrama,         FantasyFantasy,         RomanceRomance","Theme, 
Adult CastAdult Cast","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.281 (scored by 13161,316 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/9115/Ookami_to_Koushinryou, Alternative version:: /anime/2966/Ookami_to_Koushinryou",
52196,,,,,,,,,,"Nakagawa, Jun:Director","Tomita, Miyu:Theme Song Performance",sweet ARMS:Theme Song Performance,"Sakabe, Gou:Theme Song Composition",Date A Live V,N/A,#2599,"68,703",0,0,0,"['Nakagawa, Jun', 'Director'], ['Tomita, Miyu', 'Theme Song Performance'], ['sweet ARMS', 'Theme Song Performance'], ['Sakabe, Gou', 'Theme Song Composition']","Type, 
TV","Episodes, 
  12","Status, 
  Not yet aired","Aired, 
  Apr 10, 2024 to ?","Producers, 
Nippon Columbia,       Kadokawa","Licensors, 
    None found, add some","Studios, 
Geek Toys","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi","Themes, 
HaremHarem,         SchoolSchool","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/37523/Date_A_Live, Prequel:: /anime/41461/Date_A_Live_IV",
50713,,,,,,,,,,"Stone, Jimmy:Director","Motoyama, Satoshi:Sound Director","Nakamoto, Muneo:Script",LiSA:Theme Song Performance,Mahouka Koukou no Rettousei 3rd Season,N/A,#2784,"61,058",0,0,0,"['Stone, Jimmy', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Nakamoto, Muneo', 'Script'], ['LiSA', 'Theme Song Performance']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 5, 2024 to ?","Premiered, 
Spring 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
8bit","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/34127/Mahouka_Koukou_no_Rettousei, Prequel:: /anime/40497/Mahouka_Koukou_no_Rettousei__Raihousha-hen",
53410,,,,,,,,,,"Tosaka, Shin:Director","Takadera, Takeshi:Sound Director",Asaka:Theme Song Performance,Kiminone:Theme Song Performance,Yuru Camp△ Season 3,N/A,#3133,"48,609",0,0,0,"['Tosaka, Shin', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Asaka', 'Theme Song Performance'], ['Kiminone', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 4, 2024 to ?","Producers, 
Half H.P Studio,       MAGES.","Licensors, 
    None found, add some","Studios, 
8bit","Source, 
  Manga","Genre, 
Slice of LifeSlice of Life","Themes, 
CGDCTCGDCT,         IyashikeiIyashikei","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/94376/Yuru_Camp△, Prequel:: /anime/38474/Yuru_Camp△_Season_2",
54233,,,,,,,,,,"Mano, Akira:Director","Gou, Fumiyuki:Sound Director","Nakatani, Nozomi:Sound Director","Shimano, Hana:Theme Song Performance",Sasayaku You ni Koi wo Utau,N/A,#3309,"43,995",0,0,0,"['Mano, Akira', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Nakatani, Nozomi', 'Sound Director'], ['Shimano, Hana', 'Theme Song Performance']","Type, 
TV","Episodes, 
  12","Status, 
  Not yet aired","Aired, 
  Apr 14, 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Yokohama Animation Lab,       Cloud Hearts","Source, 
  Manga","Genre, 
Girls LoveGirls Love","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/118625/Sasayaku_You_ni_Koi_wo_Utau,
53770,,,,,,,,,,"Satou, Keiichi:Director","Nanawo, Akari:Theme Song Performance","Kitani, Tatsuya:Theme Song Performance","Haruba, Negi:Original Creator",Sentai Daishikkaku,N/A,#3343,"43,266",0,0,0,"['Satou, Keiichi', 'Director'], ['Nanawo, Akari', 'Theme Song Performance'], ['Kitani, Tatsuya', 'Theme Song Performance'], ['Haruba, Negi', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 7, 2024 to ?","Previewed, 
    Mar 3, 2024","Producers, 
Shochiku","Licensors, 
    None found, add some","Studios, 
Yostar Pictures","Source, 
  Manga","Genres, 
ActionAction,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/132129/Sentai_Daishikkaku,
55597,,,,,,,,,,"Makino, Tomoe:Director","Ootera, Fumihiko:Sound Director","Amemiya, Hitomi:Script",Sexy Zone:Theme Song Performance,Hananoi-kun to Koi no Yamai,N/A,#3450,"40,924",0,0,0,"['Makino, Tomoe', 'Director'], ['Ootera, Fumihiko', 'Sound Director'], ['Amemiya, Hitomi', 'Script'], ['Sexy Zone', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 4, 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
East Fish Studio","Source, 
  Manga","Genre, 
RomanceRomance","Theme, 
SchoolSchool","Demographic, 
ShoujoShoujo","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/111953/Hananoi-kun_to_Koi_no_Yamai,
54900,,,,,,,,,,"Fukushima, Yuuichi:Producer","Akai, Toshifumi:Director","Aketagawa, Jin:Sound Director",Natori:Theme Song Performance,Wind Breaker,N/A,#3479,"40,388",0,0,0,"['Fukushima, Yuuichi', 'Producer'], ['Akai, Toshifumi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Natori', 'Theme Song Performance']","Status, 
  Not yet aired","Aired, 
  Apr 5, 2024 to ?","Premiered, 
Spring 2024","Broadcast, 
    Fridays at 00, 26 (JST)","Studios, 
CloverWorks","Source, 
  Web manga","Genre, 
ActionAction","Themes, 
DelinquentsDelinquents,         SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3479",Adaptation:: /manga/133081/Wind_Breaker,
39894,,,,,,,,,,"Ishihara, Tatsuya:Director","Tsuruoka, Youta:Sound Director","Hanada, Jukki:Script","Kurosawa, Tomoyo:Theme Song Performance",Hibike! Euphonium 3,N/A,#3506,"39,783",0,0,0,"['Ishihara, Tatsuya', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Hanada, Jukki', 'Script'], ['Kurosawa, Tomoyo', 'Theme Song Performance']","Type, 
TV","Episodes, 
  13","Status, 
  Not yet aired","Aired, 
  Apr 7, 2024 to ?","Producers, 
Lantis,       Heart Company","Licensors, 
    None found, add some","Studios, 
Kyoto Animation","Source, 
  Novel","Genre, 
DramaDrama","Themes, 
MusicMusic,         Performing ArtsPerforming Arts,         SchoolSchool","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/113830/Hibike_Euphonium, Prequel:: /anime/51995/Hibike_Euphonium__Ensemble_Contest-hen",
55855,,,,,,,,,,"Okada, Kenjirou:Director","Aketagawa, Jin:Sound Director",SID:Theme Song Performance,otoha:Theme Song Performance,Kuroshitsuji: Kishuku Gakkou-hen,N/A,#3509,"39,689",0,0,0,"['Okada, Kenjirou', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['SID', 'Theme Song Performance'], ['otoha', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 13, 2024 to ?","Previewed, 
    Mar 24, 2024","Producers, 
Aniplex","Licensors, 
    None found, add some","Studios, 
CloverWorks","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy,         MysteryMystery","Themes, 
HistoricalHistorical,         MythologyMythology","Demographic, 
ShounenShounen","Duration, 
  Unknown","Adaptation:: /manga/3866/Kuroshitsuji, Prequel:: /anime/31812/Kuroshitsuji_Movie__Book_of_the_Atlantic",
53835,,,,,,,,,,"Miura, Kazuya:Director","Imaizumi, Yuuichi:Sound Director",Tei:Theme Song Performance,Arika:Theme Song Performance,Unnamed Memory,N/A,#3665,"36,684",0,0,0,"['Miura, Kazuya', 'Director'], ['Imaizumi, Yuuichi', 'Sound Director'], ['Tei', 'Theme Song Performance'], ['Arika', 'Theme Song Performance']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 9, 2024 to ?","Premiered, 
Spring 2024","Licensors, 
    None found, add some","Studios, 
ENGI","Source, 
  Light novel","Genres, 
AdventureAdventure,         FantasyFantasy,         RomanceRomance","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3665",Adaptation:: /manga/133757/Unnamed_Memory,
53516,,,,,,,,,,"Tamamura, Jin:Director","Tanaka, Ryou:Sound Director","Tozuka, Naoki:Script","Kumada, Akane:Theme Song Performance","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",#4928,#3708,"35,613",0,0,0,"['Tamamura, Jin', 'Director'], ['Tanaka, Ryou', 'Sound Director'], ['Tozuka, Naoki', 'Script'], ['Kumada, Akane', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Currently Airing","Aired, 
  Apr 2, 2024 to ?","Previewed, 
    Mar 30, 2024","Producers, 
TV Tokyo,       Lantis,       Kodansha,       Ai Addiction Inc.,       Crunchyroll,       ADK Marketing Solutions,       Bandai Namco Filmworks,       Bandai Namco Music Live","Licensors, 
    None found, add some","Studios, 
Tsumugi Akita Animation Lab","Source, 
  Light novel","Genres, 
AdventureAdventure,         FantasyFantasy","Theme, 
ReincarnationReincarnation","Duration, 
  23 min.","Rating, 
  None",Adaptation:: /manga/139108/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu,
56230,,,,,,,,,,"Hirata, Minoru:Producer","Nishita, Masayoshi:Director","Abe, Nobuyuki:Sound Director","Noto, Mamiko:Theme Song Performance",Jiisan Baasan Wakagaeru,N/A,#3732,"35,144",0,0,0,"['Hirata, Minoru', 'Producer'], ['Nishita, Masayoshi', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Noto, Mamiko', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 7, 2024 to ?","Producers, 
On-Lead","Licensors, 
    None found, add some","Studios, 
Gekkou","Source, 
  Web manga","Genres, 
ComedyComedy,         RomanceRomance,         SupernaturalSupernatural","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/127860/Jiisan_Baasan_Wakagaeru,
53865,,,,,,,,,,"Minato, Mirai:Director","Kanegae, Tooru:Sound Director",CHiCO:Theme Song Performance,Ikimonogakari:Theme Song Performance,Yozakura-san Chi no Daisakusen,N/A,#3849,"33,009",0,0,0,"['Minato, Mirai', 'Director'], ['Kanegae, Tooru', 'Sound Director'], ['CHiCO', 'Theme Song Performance'], ['Ikimonogakari', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 7, 2024 to ?","Producers, 
NBCUniversal Entertainment Japan,       Shueisha","Licensors, 
    None found, add some","Studios, 
SILVER LINK.","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/121426/Yozakura-san_Chi_no_Daisakusen,
50869,,,,,,,,,,"Shiraishi, Tatsuya:Director","Haraguchi, Noboru:Sound Director",NTL:Script,"Tachibana, Hina:Theme Song Performance",Kami wa Game ni Ueteiru.,#7618,#3870,"32,593",0,0,0,"['Shiraishi, Tatsuya', 'Director'], ['Haraguchi, Noboru', 'Sound Director'], ['NTL', 'Script'], ['Tachibana, Hina', 'Theme Song Performance']","Type, 
TV","Episodes, 
  13","Status, 
  Currently Airing","Aired, 
  Apr 1, 2024 to ?","Producers, 
Pony Canyon,       AT-X,       Ultra Super Pictures,       Sammy,       bilibili,       Crunchyroll,       Kadokawa,       Bit grooove promotion","Licensors, 
    None found, add some","Studios, 
LIDENFILMS","Source, 
  Light novel","Genres, 
FantasyFantasy,         SuspenseSuspense,         EcchiEcchi","Themes, 
High Stakes GameHigh Stakes Game,         Strategy GameStrategy Game","Duration, 
  23 min. per ep.","Rating, 
  None","Score, 
6.361 (scored by 10031,003 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/133298/Kami_wa_Game_ni_Ueteiru,
53407,,,,,,,,,,"Kuraya, Ryouichi:Director","Aketagawa, Jin:Sound Director","Kamishiraishi, Mone:Theme Song Performance","Kawasaki, Takaya:Theme Song Performance",Bartender: Kami no Glass,N/A,#3913,"32,160",0,0,0,"['Kuraya, Ryouichi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kamishiraishi, Mone', 'Theme Song Performance'], ['Kawasaki, Takaya', 'Theme Song Performance']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Apr 4, 2024 to ?","Premiered, 
Spring 2024","Producers, 
TOHO animation,       Shueisha","Licensors, 
    None found, add some","Studios, 
Liber","Source, 
  Manga","Genres, 
DramaDrama,         GourmetGourmet","Themes, 
Adult CastAdult Cast,         WorkplaceWorkplace","Demographic, 
SeinenSeinen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/3713/Bartender, Other:: /anime/1589/Bartender",
