index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_8
2921,Hajime no Ippo,Cowboy Bebop,Ping Pong the Animation,Nomad: Megalo Box 2,Vinland Saga Season 2,Texhnolyze,Honoo no Tenkousei,,,"Dezaki, Osamu:Director","Nishikubo, Mizuho:Episode Director","Takayashiki, Hideo:Script","Césari, Jean-Paul:Theme Song Performance",Ashita no Joe 2,#50,#3039,"51,592",29,1,1,"['Dezaki, Osamu', 'Director'], ['Nishikubo, Mizuho', 'Episode Director'], ['Takayashiki, Hideo', 'Script'], ['Césari, Jean-Paul', 'Theme Song Performance']","Type, 
TV","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Oct 13, 1980 to Aug 31, 1981","Producers, 
Annapuru","Licensors, 
    None found, add some","Studios, 
Tokyo Movie Shinsha","Source, 
  Manga","Genres, 
DramaDrama,         SportsSports","Theme, 
Combat SportsCombat Sports","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/1303/Ashita_no_Joe, Prequel:: /anime/2402/Ashita_no_Joe, Alternative version:: /anime/2922/Ashita_no_Joe_2_Movie",
3044,Demashita! Powerpuff Girls Z,Unico: Mahou no Shima e,Chargeman Ken!,,,,,,,"Yamamoto, Satoshi:Producer","Yamakawa, Norio:Producer","Ishiguro, Noboru:Director","Tezuka, Osamu:Episode Director",Tetsuwan Atom (1980),#3211,#5459,"14,510",3,0,0,"['Yamamoto, Satoshi', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Ishiguro, Noboru', 'Director'], ['Tezuka, Osamu', 'Episode Director']","Type, 
TV","Episodes, 
  52","Status, 
  Finished Airing","Aired, 
  Oct 1, 1980 to Dec 23, 1981","Producers, 
Nippon Television Network","Licensors, 
Discotek Media,       Manga Entertainment","Studios, 
Tezuka Productions","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.201 (scored by 61086,108 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/728/Tetsuwan_Atom, Alternative version:: /anime/971/Astro_Boy__Tetsuwan_Atom, Prequel:: /anime/33371/Atom__The_Beginning, Spin-off:: /anime/35737/Pluto, Side story:: /anime/54081/Uchuu_Senchi_Kyuugou_SOS__Tetsuwan_Atom_to_Kangaeru_Minna_no_Mirai",
1652,,,,,,,,,,"Nishizaki, Yoshinobu:Producer","Matsumoto, Leiji:Director","Yamamoto, Eiichi:Director","Sasagawa, Hiroshi:Episode Director",Uchuu Senkan Yamato III,#4067,#7654,"6,288",0,2,0,"['Nishizaki, Yoshinobu', 'Producer'], ['Matsumoto, Leiji', 'Director'], ['Yamamoto, Eiichi', 'Director'], ['Sasagawa, Hiroshi', 'Episode Director']","Type, 
TV","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Oct 11, 1980 to Apr 4, 1981","Producers, 
Yomiuri Telecasting","Licensors, 
    None found, add some","Studios, 
Academy Productions","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.031 (scored by 19181,918 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/33373/Yamato_III, Prequel:: /anime/3069/Yamato_yo_Towa_ni, Sequel:: /anime/3072/Uchuu_Senkan_Yamato__Kanketsu-hen, Summary:: /anime/53604/Uchuu_Senkan_Yamato_III__Taiyoukei_no_Hakai",
4208,,,,,,,,,,"Koshi, Shigeo:Episode Director","Sekita, Osamu:Episode Director","Aoki, Yuuzou:Episode Director","Nagaoka, Akinori:Episode Director",Tetsujin 28-gou (1980),#4793,#10679,"2,362",0,0,0,"['Koshi, Shigeo', 'Episode Director'], ['Sekita, Osamu', 'Episode Director'], ['Aoki, Yuuzou', 'Episode Director'], ['Nagaoka, Akinori', 'Episode Director']","Type, 
TV","Episodes, 
  51","Status, 
  Finished Airing","Aired, 
  Oct 3, 1980 to Sep 25, 1981","Producers, 
Studio Jack","Licensors, 
Discotek Media","Studios, 
Tokyo Movie Shinsha","Source, 
  Unknown","Genre, 
ActionAction","Theme, 
MechaMecha","Duration, 
  23 min. per ep.","Rating, 
  G - All Ages","Score, 
6.871 (scored by 820820 users)
      


1
          indicates a weighted score.",Prequel:: /anime/2686/Tetsujin_28-gou,
3130,,,,,,,,,,"Miyata, Kiyoshi:Script","Nozawa, Masako:Theme Song Performance","Kimotsuki, Kaneta:Theme Song Performance","Fujiko, Fujio F.:Original Creator",Kaibutsu-kun (1980),#4333,#11851,"1,586",0,0,0,"['Miyata, Kiyoshi', 'Script'], ['Nozawa, Masako', 'Theme Song Performance'], ['Kimotsuki, Kaneta', 'Theme Song Performance'], ['Fujiko, Fujio F.', 'Original Creator']","Episodes, 
  94","Status, 
  Finished Airing","Aired, 
  Sep 2, 1980 to Sep 28, 1982","Premiered, 
Fall 1980","Licensors, 
    None found, add some","Studios, 
Shin-Ei Animation","Source, 
  Unknown","Genres, 
ComedyComedy,         HorrorHorror","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.971 (scored by 795795 users)
      


1
          indicates a weighted score.","Ranked, 
  #43332

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Alternative version:: /anime/3129/Kaibutsu-kun, Side story:: /anime/22975/Kaibutsu-kun__Demon_no_Ken",
5833,,,,,,,,,,,,,,Tondemo Senshi Muteking,#7731,#12833,"1,151",0,0,0,,"Episodes, 
  56","Status, 
  Finished Airing","Aired, 
  Sep 7, 1980 to Sep 27, 1981","Premiered, 
Fall 1980","Licensors, 
    None found, add some","Studios, 
Tatsunoko Production","Source, 
  Original","Genres, 
ActionAction,         ComedyComedy,         Sci-FiSci-Fi","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.331 (scored by 311311 users)
      


1
          indicates a weighted score.","Ranked, 
  #77312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12833",Alternative version:: /anime/39893/Muteking_the_Dancing_Hero,
4511,,,,,,,,,,"D'Avena, Cristina:Theme Song Performance","Okamura, Tensai:Key Animation","Ikeda, Yuuji:Background Art","Murano, Moribi:Original Creator",Hoero! Bun Bun,#6275,#13012,"1,093",0,0,0,"[""D'Avena, Cristina"", 'Theme Song Performance'], ['Okamura, Tensai', 'Key Animation'], ['Ikeda, Yuuji', 'Background Art'], ['Murano, Moribi', 'Original Creator']","Episodes, 
  39","Status, 
  Finished Airing","Aired, 
  Oct 9, 1980 to Jul 9, 1981","Premiered, 
Fall 1980","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Unknown","Genres, 
AdventureAdventure,         Slice of LifeSlice of Life","Duration, 
  23 min. per ep.","Rating, 
  G - All Ages","Score, 
6.591 (scored by 316316 users)
      


1
          indicates a weighted score.","Ranked, 
  #62752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #13012",Side story:: /anime/10509/Hoero_Bun_Bun_Movie,
16530,,,,,,,,,,"Mitsunobu, Hiroyoshi:Director","Kaneko, Yutaka:Script",Koorogi '73:Theme Song Performance,"Takada, Hiroshi:Theme Song Arrangement",Ojamanga Yamada-kun,#8140,#14001,836,0,0,0,"['Mitsunobu, Hiroyoshi', 'Director'], ['Kaneko, Yutaka', 'Script'], [""Koorogi '73"", 'Theme Song Performance'], ['Takada, Hiroshi', 'Theme Song Arrangement']","Status, 
  Finished Airing","Aired, 
  Sep 28, 1980 to Oct 10, 1982","Premiered, 
Fall 1980","Broadcast, 
    Sundays at 19, 00 (JST)","Studios, 
    None found, add some","Source, 
  Unknown","Genres, 
ComedyComedy,         Slice of LifeSlice of Life","Duration, 
  25 min. per ep.","Rating, 
  None","Score, 
6.261 (scored by 179179 users)
      


1
          indicates a weighted score.","Ranked, 
  #81402

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14001","Members, 
    836",Alternative version:: /anime/16730/Ojamanga_Yamada-kun_Movie,
33300,,,,,,,,,,"Kondou, Eisuke:Director","Sugiyama, Koichi:Theme Song Composition","Shimon, Masato:Theme Song Performance","Takada, Hiroshi:Theme Song Arrangement",Manga Kotowaja Jiten,#16106,#17039,401,0,0,0,"['Kondou, Eisuke', 'Director'], ['Sugiyama, Koichi', 'Theme Song Composition'], ['Shimon, Masato', 'Theme Song Performance'], ['Takada, Hiroshi', 'Theme Song Arrangement']","Status, 
  Finished Airing","Aired, 
  Oct 11, 1980 to Jun 13, 1982","Premiered, 
Fall 1980","Broadcast, 
    Unknown","Studios, 
Tsuchida Productions","Source, 
  Unknown","Genre, 
ComedyComedy","Theme, 
HistoricalHistorical","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  #161062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #17039",,
7336,,,,,,,,,,"Akehi, Masayuki:Director","Machida, Yoshito:Theme Song Performance","Ishinomori, Shoutarou:Original Creator","Kanada, Yoshinori:Key Animation",Cyborg 009: Chou Ginga Densetsu,#7625,#9983,"2,926",1,0,0,"['Akehi, Masayuki', 'Director'], ['Machida, Yoshito', 'Theme Song Performance'], ['Ishinomori, Shoutarou', 'Original Creator'], ['Kanada, Yoshinori', 'Key Animation']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Dec 20, 1980","Studios, 
Toei Animation","Source, 
  Unknown","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  2 hr. 9 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.351 (scored by 836836 users)
      


1
          indicates a weighted score.","Ranked, 
  #76252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9983","Adaptation:: /manga/1639/Cyborg_009, Parent story:: /anime/4690/Cyborg_009_1979",
