index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_9
929,Kidou Senshi Zeta Gundam,Tenkuu no Escaflowne,Kikou Kai Galient,Byston Well Monogatari: Garzey no Tsubasa,Zero no Tsukaima,Gundam: G no Reconguista,Knight's & Magic,Kaze no Tani no Nausicaä,,"Tomino, Yoshiyuki:Director","Imagawa, Yasuhiro:Episode Director","Iuchi, Shuji:Episode Director","Macek, Carl:Script",Seisenshi Dunbine,#4010,#5652,"13,350",5,3,0,"['Tomino, Yoshiyuki', 'Director'], ['Imagawa, Yasuhiro', 'Episode Director'], ['Iuchi, Shuji', 'Episode Director'], ['Macek, Carl', 'Script']","Type, 
TV","Episodes, 
  49","Status, 
  Finished Airing","Aired, 
  Feb 5, 1983 to Jan 21, 1984","Producers, 
Bandai Visual,       Sotsu,       Nagoya Broadcasting Network","Licensors, 
ADV Films,       Sentai Filmworks","Studios, 
Sunrise","Source, 
  Novel","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         Sci-FiSci-Fi","Themes, 
IsekaiIsekai,         MechaMecha","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.051 (scored by 26262,626 users)
      


1
          indicates a weighted score.","Alternative setting:: /anime/574/Rean_no_Tsubasa, Sequel:: /anime/5372/Seisenshi_Dunbine_OVA, Summary:: /anime/20975/Seisenshi_Dunbine_Memorial",
2546,Alps no Shoujo Heidi,,,,,,,,,"Kusuba, Kouzou:Director","Yokota, Kazuyoshi:Storyboard","Okabe, Eiji:Storyboard","Han, Keiko:Theme Song Performance",Alps Monogatari: Watashi no Annette,#5338,#8820,"4,368",4,0,0,"['Kusuba, Kouzou', 'Director'], ['Yokota, Kazuyoshi', 'Storyboard'], ['Okabe, Eiji', 'Storyboard'], ['Han, Keiko', 'Theme Song Performance']","Type, 
TV","Episodes, 
  48","Status, 
  Finished Airing","Aired, 
  Jan 9, 1983 to Dec 25, 1983","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Book","Genres, 
DramaDrama,         Slice of LifeSlice of Life","Theme, 
HistoricalHistorical","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.761 (scored by 16821,682 users)
      


1
          indicates a weighted score.",Summary:: /anime/24647/Alps_Monogatari__Watashi_no_Annette_Specials,
2933,Lupin III: Part II,Musekinin Kanchou Tylor,Sei Juushi Bismarck,Dirty Pair,,,,,,"Mashimo, Kouichi:Director","Ishiyama, Takaaki:Episode Director","Kogawa, Yoriyasu:Episode Director","Hayashi, Masayuki:Episode Director",Mirai Keisatsu Urashiman,#3082,#10118,"2,788",1,1,0,"['Mashimo, Kouichi', 'Director'], ['Ishiyama, Takaaki', 'Episode Director'], ['Kogawa, Yoriyasu', 'Episode Director'], ['Hayashi, Masayuki', 'Episode Director']","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Jan 9, 1983 to Dec 24, 1983","Premiered, 
Winter 1983","Licensors, 
Sentai Filmworks,       Saban Entertainment","Studios, 
Tatsunoko Production","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         Sci-FiSci-Fi","Theme, 
DetectiveDetective","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.221 (scored by 721721 users)
      


1
          indicates a weighted score.","Ranked, 
  #30822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,
6452,,,,,,,,,,"Kuriyama, Yoshihide:Episode Director","Aikawa, Shou:Script","Nitta, Ichirou:Theme Song Composition","Amano, Yoshitaka:Character Design",Akuu Daisakusen Srungle,#8364,#11621,"1,724",0,0,0,"['Kuriyama, Yoshihide', 'Episode Director'], ['Aikawa, Shou', 'Script'], ['Nitta, Ichirou', 'Theme Song Composition'], ['Amano, Yoshitaka', 'Character Design']","Type, 
TV","Episodes, 
  53","Status, 
  Finished Airing","Aired, 
  Jan 21, 1983 to Jan 27, 1984","Producers, 
Kokusai Eigasha","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.221 (scored by 316316 users)
      


1
          indicates a weighted score.",,
9905,Major S1,,,,,,,,,"Dezaki, Tetsu:Director","Hashimoto, Naoto:Episode Director","Tsunoda, Toshitaka:Episode Director","Chiba, Akio:Original Creator",Captain (TV),#6175,#13506,952,0,0,0,"['Dezaki, Tetsu', 'Director'], ['Hashimoto, Naoto', 'Episode Director'], ['Tsunoda, Toshitaka', 'Episode Director'], ['Chiba, Akio', 'Original Creator']","Status, 
  Finished Airing","Aired, 
  Jan 10, 1983 to Jul 4, 1983","Premiered, 
Winter 1983","Broadcast, 
    Unknown","Studios, 
Eiken","Source, 
  Manga","Genre, 
SportsSports","Theme, 
Team SportsTeam Sports","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.611 (scored by 262262 users)
      


1
          indicates a weighted score.","Ranked, 
  #61752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/72269/Captain, Sequel:: /anime/3768/Play_Ball, Parent story:: /anime/18759/Captain_Movie, Alternative version:: /anime/27915/Captain",
1920,Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,,,,,,,,,"Oshii, Mamoru:Director","Nanke, Kouji:Episode Director","Annou, Takashi:Episode Director","Ito, Kazunori:Script",Urusei Yatsura Movie 1: Only You,#3991,#5815,"12,369",4,2,0,"['Oshii, Mamoru', 'Director'], ['Nanke, Kouji', 'Episode Director'], ['Annou, Takashi', 'Episode Director'], ['Ito, Kazunori', 'Script']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Feb 13, 1983","Studios, 
Pierrot","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         DramaDrama,         RomanceRomance,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  1 hr. 42 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.051 (scored by 56305,630 users)
      


1
          indicates a weighted score.","Ranked, 
  #39912

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5815",Parent story:: /anime/1293/Urusei_Yatsura,
2722,Cowboy Bebop,Seihou Bukyou Outlaw Star,Dirty Pair no Ooshoubu: Nolandia no Nazo,Kidou Senshi Gundam I,Dirty Pair: Bouryaku no 005-bin,Arion,Dirty Pair: The Movie,Venus Senki,Riding Bean,"Yasuhiko, Yoshikazu:Director","Chiba, Kouichi:Sound Director","Hamatsu, Mamoru:Storyboard","Toriyama, Akira:Character Design",Crusher Joe,#4912,#6597,"9,101",2,2,0,"['Yasuhiko, Yoshikazu', 'Director'], ['Chiba, Kouichi', 'Sound Director'], ['Hamatsu, Mamoru', 'Storyboard'], ['Toriyama, Akira', 'Character Design']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 12, 1983","Producers, 
Studio Nue","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  2 hr. 11 min.","Rating, 
  R+ - Mild Nudity","Score, 
6.851 (scored by 26872,687 users)
      


1
          indicates a weighted score.","Ranked, 
  #49122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6597","Members, 
    9,101","Adaptation:: /manga/41997/Crusher_Joe, Character:: /anime/424/Dirty_Pair, Sequel:: /anime/2696/Crusher_Joe_OVA",Dirty Pair
1626,Akira,Angel Cop,Cyborg 009: The Cyborg Soldier,,,,,,,"Ishinomori, Shoutarou:Producer",Rintarou:Director,"Emerson, Keith:Theme Song Arrangement","Otomo, Katsuhiro:Character Design",Genma Taisen,#12309,#7642,"6,316",6,3,2,"['Ishinomori, Shoutarou', 'Producer'], ['Rintarou', 'Director'], ['Emerson, Keith', 'Theme Song Arrangement'], ['Otomo, Katsuhiro', 'Character Design']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 12, 1983","Studios, 
Madhouse","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         Sci-FiSci-Fi,         SupernaturalSupernatural","Theme, 
MechaMecha","Demographic, 
ShounenShounen","Duration, 
  2 hr. 11 min.","Rating, 
  R - 17+ (violence & profanity)","Score, 
5.171 (scored by 20852,085 users)
      


1
          indicates a weighted score.","Ranked, 
  #123092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/117398/Genma_Taisen, Alternative version:: /anime/1705/Genma_Taisen__Shinwa_Zenya_no_Shou",
2667,,,,,,,,,,"Shibayama, Tsutomu:Director","Urakami, Yasuo:Sound Director","Takeda, Tetsuya:Theme Song Lyrics","Fujiko, Fujio F.:Original Creator",Doraemon Movie 04: Nobita no Kaitei Kiganjou,#4194,#7938,"5,759",0,1,1,"['Shibayama, Tsutomu', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Takeda, Tetsuya', 'Theme Song Lyrics'], ['Fujiko, Fujio F.', 'Original Creator']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 12, 1983","Studios, 
Shin-Ei Animation","Source, 
  Unknown","Genre, 
FantasyFantasy","Duration, 
  1 hr. 35 min.","Rating, 
  PG - Children","Score, 
7.011 (scored by 31363,136 users)
      


1
          indicates a weighted score.","Ranked, 
  #41942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7938","Members, 
    5,759","Adaptation:: /manga/12471/Daichouhen_Doraemon, Parent story:: /anime/2471/Doraemon_1979, Other:: /anime/23647/Ninja_Hattori-kun__Nin_Nin_Furusato_Daisakusen_no_Maki",
3072,,,,,,,,,,"Matsumoto, Leiji:Director","Nishizaki, Yoshinobu:Director","Katsumata, Tomoharu:Director","Kanada, Yoshinori:Animation Director",Uchuu Senkan Yamato: Kanketsu-hen,#4796,#8852,"4,326",1,0,0,"['Matsumoto, Leiji', 'Director'], ['Nishizaki, Yoshinobu', 'Director'], ['Katsumata, Tomoharu', 'Director'], ['Kanada, Yoshinori', 'Animation Director']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 19, 1983","Studios, 
Toei Animation","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace","Duration, 
  2 hr. 43 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.871 (scored by 12651,265 users)
      


1
          indicates a weighted score.","Ranked, 
  #47962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8852","Adaptation:: /manga/33375/Uchuu_Senkan_Yamato__Kanketsu-hen, Prequel:: /anime/1652/Uchuu_Senkan_Yamato_III, Sequel:: /anime/7144/Uchuu_Senkan_Yamato__Fukkatsu-hen",
