index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_1
30057,,,,,,,,,,,,,,Mabeobsa-ui Adeul Cory,#16024,#19369,245,0,0,0,,"Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jun 25, 1993 to Sep 17, 1993","Premiered, 
Summer 1993","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Duration, 
  25 min. per ep.","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  #160242

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #19369",,
49,Bokura ga Ita,Tenchi Muyou! in Love 2: Harukanaru Omoi,Bokusatsu Tenshi Dokuro-chan,Tenchi Muyou! Ryououki,Video Girl Ai,Kono Subarashii Sekai ni Shukufuku wo!,Violet Evergarden,,,"Gouda, Hiroaki:Director","Masunari, Koji:Episode Director","Hasegawa, Nahoko:Script","Inoue, Kikuko:Theme Song Performance",Aa! Megami-sama!,#2705,#2972,"54,078",17,3,2,"['Gouda, Hiroaki', 'Director'], ['Masunari, Koji', 'Episode Director'], ['Hasegawa, Nahoko', 'Script'], ['Inoue, Kikuko', 'Theme Song Performance']","Type, 
OVA","Episodes, 
  5","Status, 
  Finished Airing","Aired, 
  Feb 21, 1993 to May 17, 1994","Studios, 
AIC","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance,         SupernaturalSupernatural","Demographic, 
SeinenSeinen","Duration, 
  30 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.291 (scored by 2688526,885 users)
      


1
          indicates a weighted score.","Ranked, 
  #27052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #2972","Adaptation:: /manga/446/Aa_Megami-sama, Alternative version:: /anime/50/Aa_Megami-sama_TV, Sequel:: /anime/304/Aa_Megami-sama_Movie, Other:: /anime/9611/Aa_Megami-sama_2011",Ai Yori Aoshi
984,,,,,,,,,,"Yamauchi, Shigeyasu:Director","Koyama, Takao:Script","Toriyama, Akira:Original Creator","Tate, Naoki:Key Animation",Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,#5544,#3076,"50,195",1,0,1,"['Yamauchi, Shigeyasu', 'Director'], ['Koyama, Takao', 'Script'], ['Toriyama, Akira', 'Original Creator'], ['Tate, Naoki', 'Key Animation']","Type, 
OVA","Episodes, 
  2","Status, 
  Finished Airing","Aired, 
  Jul 23, 1993","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  30 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.721 (scored by 2700327,003 users)
      


1
          indicates a weighted score.","Ranked, 
  #55442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3076","Parent story:: /anime/813/Dragon_Ball_Z, Alternative version:: /anime/10017/Dragon_Ball__Super_Saiya-jin_Zetsumetsu_Keikaku",
2321,Tengen Toppa Gurren Lagann,Shin Mazinger Shougeki! Z-hen,The Big O,Kidou Butouden G Gundam,Heroman,Fantastic Children,Fushigi no Umi no Nadia,Dimension W,Kishin Heidan,"Shizuno, Koubun:Co-Director","Maseba, Yutaka:Producer","Imagawa, Yasuhiro:Director","Date, Kensei:Sound Director",Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,#1013,#4242,"26,878",9,6,0,"['Shizuno, Koubun', 'Co-Director'], ['Maseba, Yutaka', 'Producer'], ['Imagawa, Yasuhiro', 'Director'], ['Date, Kensei', 'Sound Director']","Episodes, 
  7","Status, 
  Finished Airing","Aired, 
  Jul 23, 1992 to Jan 25, 1998","Producers, 
Bandai Visual","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  49 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.781 (scored by 76297,629 users)
      


1
          indicates a weighted score.","Ranked, 
  #10132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #4242","Adaptation:: /manga/40437/Giant_Robo, Spin-off:: /anime/2322/Giant_Robo_Gaiden_Ginrei, Alternative setting:: /anime/3146/GR__Giant_Robo",Tetsujin 28-gou (2004)
1146,,,,,,,,,,"Cook, Justin:Producer","Inoue, Hiroaki:Producer","Morijiri, Kazuaki:Producer","Yatagai, Kenichi:Director",Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,#2646,#5250,"16,012",1,0,0,"['Cook, Justin', 'Producer'], ['Inoue, Hiroaki', 'Producer'], ['Morijiri, Kazuaki', 'Producer'], ['Yatagai, Kenichi', 'Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 25, 1993","Producers, 
Pioneer LDC","Source, 
  Original","Genres, 
ComedyComedy,         RomanceRomance,         Sci-FiSci-Fi","Theme, 
HaremHarem","Duration, 
  43 min.","Rating, 
  R+ - Mild Nudity","Score, 
7.311 (scored by 81228,122 users)
      


1
          indicates a weighted score.","Ranked, 
  #26462

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5250","Members, 
    16,012","Prequel:: /anime/539/Tenchi_Muyou_Ryououki, Sequel:: /anime/540/Tenchi_Muyou_Ryououki_2nd_Season",
842,Kishin Douji Zenki,Yuu☆Yuu☆Hakusho,3x3 Eyes,Tactics,,,,,,"Yuyama, Kunihiko:Director","Mima, Masafumi:Sound Director","Kato, Takao:Episode Director","Ikehata, Takashi:Episode Director",Ushio to Tora,#3475,#5493,"14,263",3,1,0,"['Yuyama, Kunihiko', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Kato, Takao', 'Episode Director'], ['Ikehata, Takashi', 'Episode Director']","Type, 
OVA","Episodes, 
  10","Status, 
  Finished Airing","Aired, 
  Sep 11, 1992 to Aug 1, 1993","Studios, 
Pastel","Source, 
  Manga","Genres, 
ActionAction,         HorrorHorror","Theme, 
MythologyMythology","Demographic, 
ShounenShounen","Duration, 
  30 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.151 (scored by 46904,690 users)
      


1
          indicates a weighted score.","Ranked, 
  #34752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/7747/Ushio_to_Tora, Side story:: /anime/5308/Ushio_to_Tora__Comical_Deformer_Gekijou, Alternative version:: /anime/29854/Ushio_to_Tora_TV",InuYasha
1598,Uchuu no Kishi Tekkaman Blade,RahXephon,Gunnm,,,,,,,"Macek, Carl:Producer","Kimura, Hiroshi:Producer","Watanabe, Takashi:Director","Abe, Masashi:Director",Casshern: Robot Hunter,#7875,#6633,"8,972",3,1,0,"['Macek, Carl', 'Producer'], ['Kimura, Hiroshi', 'Producer'], ['Watanabe, Takashi', 'Director'], ['Abe, Masashi', 'Director']","Type, 
OVA","Episodes, 
  4","Status, 
  Finished Airing","Aired, 
  Aug 21, 1993 to Feb 21, 1994","Studios, 
Tatsunoko Production","Source, 
  Unknown","Genres, 
AdventureAdventure,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  27 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.311 (scored by 34243,424 users)
      


1
          indicates a weighted score.","Ranked, 
  #78752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6633","Alternative version:: /anime/4810/Shinzou_Ningen_Casshern, Character:: /anime/33027/Infini-T_Force",Gatchaman
2017,,,,,,,,,,"Asaka, Morio:Director","Mochida, Maki:Theme Song Performance","Saitou, Miwako:Theme Song Lyrics","Takahashi, Rumiko:Original Creator",Ningyo no Kizu,#5509,#6784,"8,482",0,3,0,"['Asaka, Morio', 'Director'], ['Mochida, Maki', 'Theme Song Performance'], ['Saitou, Miwako', 'Theme Song Lyrics'], ['Takahashi, Rumiko', 'Original Creator']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 24, 1993","Studios, 
Madhouse","Source, 
  Manga","Genres, 
DramaDrama,         FantasyFantasy,         HorrorHorror,         MysteryMystery","Demographic, 
ShounenShounen","Duration, 
  45 min.","Rating, 
  R - 17+ (violence & profanity)","Score, 
6.731 (scored by 31893,189 users)
      


1
          indicates a weighted score.","Ranked, 
  #55092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6784","Adaptation:: /manga/199/Ningyo_Series, Alternative version:: /anime/620/Takahashi_Rumiko_Gekijou_Ningyo_no_Mori, Prequel:: /anime/2016/Ningyo_no_Mori",Kurozuka
1344,Koukaku Kidoutai,Jinzou Ningen Kikaider The Animation,AD Police,Inuyashiki,,,,,,"Macek, Carl:Producer","Kogawa, Yoriyasu:Director","Ozawa, Kazuhiro:Episode Director","Hirano, Yasushi:Script",Eightman After,#8375,#8552,"4,780",5,2,2,"['Macek, Carl', 'Producer'], ['Kogawa, Yoriyasu', 'Director'], ['Ozawa, Kazuhiro', 'Episode Director'], ['Hirano, Yasushi', 'Script']","Type, 
OVA","Episodes, 
  4","Status, 
  Finished Airing","Aired, 
  Aug 21, 1993 to Nov 22, 1993","Studios, 
J.C.Staff","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Duration, 
  28 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
6.221 (scored by 19561,956 users)
      


1
          indicates a weighted score.","Ranked, 
  #83752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8552","Members, 
    4,780","Adaptation:: /manga/87958/8_Man, Prequel:: /anime/5052/Eightman",Skull Man
5447,Cipher,X Densha de Ikou,My Life,,,,,,,"Maruyama, Masao:Producer","Kousaka, Kitarou:Director","Satou, Yuuzou:Key Animation","Okada, Tooru:Music",A-Girl,#11239,#9120,"3,905",7,1,1,"['Maruyama, Masao', 'Producer'], ['Kousaka, Kitarou', 'Director'], ['Satou, Yuuzou', 'Key Animation'], ['Okada, Tooru', 'Music']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 24, 1993","Producers, 
Shueisha","Source, 
  Manga","Genre, 
RomanceRomance","Themes, 
MusicMusic,         SchoolSchool","Demographic, 
ShoujoShoujo","Duration, 
  31 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.571 (scored by 16241,624 users)
      


1
          indicates a weighted score.","Ranked, 
  #112392

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9120",,Nineteen 19
