index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
182,Juuni Kokuki,InuYasha,Fushigi Yuugi,Magic Knight Rayearth,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,Break Blade Movie 1: Kakusei no Toki,Tengen Toppa Gurren Lagann,Ayashi no Ceres,Heroic Age,Sousei no Aquarion,"Cook, Justin:Producer","Kawamori, Shouji:Producer","Maseba, Yutaka:Producer","Minami, Masahiko:Producer",Tenkuu no Escaflowne,#1291,#1465,"157,475",46,6,8,"['Cook, Justin', 'Producer'], ['Kawamori, Shouji', 'Producer'], ['Maseba, Yutaka', 'Producer'], ['Minami, Masahiko', 'Producer']","Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 2, 1996 to Sep 24, 1996","Producers, 
TV Tokyo,       Bandai Visual","Licensors, 
Funimation,       Bandai Entertainment","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy,         RomanceRomance,         SuspenseSuspense","Themes, 
IsekaiIsekai,         Love PolygonLove Polygon,         MechaMecha,         PsychologicalPsychological","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.661 (scored by 6591865,918 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/565/Tenkuu_no_Escaflowne, Alternative version:: /anime/393/Escaflowne, Summary:: /anime/39329/Tenkuu_no_Escaflowne_Recaps"
996,Dokidoki! Precure,Cardcaptor Sakura,Mai-Otome,Full Moon wo Sagashite,Fushigi Yuugi,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Ore, Twintail ni Narimasu.",Shoujo Kakumei Utena,Kamikaze Kaitou Jeanne,,"Takahashi, Akira:Producer","Simone, Jamie:Producer","Arisako, Toshihiko:Producer","Igarashi, Takuya:Director",Bishoujo Senshi Sailor Moon: Sailor Stars,#682,#1891,"113,087",11,4,0,"['Takahashi, Akira', 'Producer'], ['Simone, Jamie', 'Producer'], ['Arisako, Toshihiko', 'Producer'], ['Igarashi, Takuya', 'Director']","Type, 
TV","Episodes, 
  34","Status, 
  Finished Airing","Aired, 
  Mar 9, 1996 to Feb 8, 1997","Producers, 
TV Asahi,       Toei Advertising","Licensors, 
VIZ Media","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         DramaDrama,         FantasyFantasy,         RomanceRomance","Theme, 
Mahou ShoujoMahou Shoujo","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/92/Bishoujo_Senshi_Sailor_Moon, Prequel:: /anime/1239/Bishoujo_Senshi_Sailor_Moon_SuperS, Summary:: /anime/8756/Bishoujo_Senshi_Sailor_Moon_Memorial"
535,Lost Universe,Full Metal Panic!,Fullmetal Alchemist,Shakugan no Shana,Trigun,Mahoutsukai Tai! (TV),Dirty Pair OVA,Magic Knight Rayearth,Hikyou Tanken Fam & Ihrlie,Soul Eater,"Kobayashi, Noriko:Producer","Watanabe, Takashi:Director","Yoshida, Shunji:Director","Yamaguchi, Takeshi:Director",Slayers Next,#589,#2562,"70,536",13,1,0,"['Kobayashi, Noriko', 'Producer'], ['Watanabe, Takashi', 'Director'], ['Yoshida, Shunji', 'Director'], ['Yamaguchi, Takeshi', 'Director']","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 5, 1996 to Sep 27, 1996","Premiered, 
Spring 1996","Licensors, 
Funimation,       Central Park Media,       Enoki Films","Studios, 
E&G Films","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.021 (scored by 3766437,664 users)
      


1
          indicates a weighted score.","Ranked, 
  #5892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #2562","Adaptation:: /manga/8876/Slayers, Prequel:: /anime/534/Slayers, Sequel:: /anime/866/Slayers_Premium, Other:: /anime/40112/Otome_no_Inori"
1486,Gakuen Alice,Marmalade Boy,Daa! Daa! Daa!,Kirarin☆Revolution,Super GALS! Kotobuki Ran,Akazukin Chacha,Animation Seisaku Shinkou Kuromi-chan,12-sai.: Chicchana Mune no Tokimeki,Shugo Chara!,Full Moon wo Sagashite,"Cook, Justin:Producer","Kobayashi, Noriko:Producer","Watson, Barry:Producer","Daichi, Akitarou:Director",Kodomo no Omocha (TV),#528,#2594,"68,762",46,1,0,"['Cook, Justin', 'Producer'], ['Kobayashi, Noriko', 'Producer'], ['Watson, Barry', 'Producer'], ['Daichi, Akitarou', 'Director']","Type, 
TV","Episodes, 
  102","Status, 
  Finished Airing","Aired, 
  Apr 5, 1996 to Mar 27, 1998","Producers, 
TV Tokyo,       Nihon Ad Systems,       Pony Canyon","Licensors, 
Funimation,       Discotek Media","Studios, 
Gallop","Source, 
  Manga","Genres, 
ComedyComedy,         DramaDrama,         RomanceRomance","Themes, 
Love PolygonLove Polygon,         ShowbizShowbiz","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/18/Kodomo_no_Omocha, Alternative version:: /anime/3421/Kodomo_no_Omocha"
92,Koukyoushihen Eureka Seven,Kidou Senshi Gundam: Tekketsu no Orphans,Kidou Butouden G Gundam,Sentou Mecha Xabungle,Overman King Gainer,Deca-Dence,Kidou Senshi Zeta Gundam,Guilty Crown,Kidou Senshi Gundam 00 Second Season,Kidou Senshi Gundam 00,"Yatate, Hajime:Producer","Takamatsu, Shinji:Director","Urakami, Yasuo:Sound Director","Taniguchi, Gorou:Episode Director",Kidou Shinseiki Gundam X,#2450,#3677,"36,277",24,5,4,"['Yatate, Hajime', 'Producer'], ['Takamatsu, Shinji', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Taniguchi, Gorou', 'Episode Director']","Type, 
TV","Episodes, 
  39","Status, 
  Finished Airing","Aired, 
  Apr 5, 1996 to Dec 28, 1996","Producers, 
TV Asahi,       Sotsu","Licensors, 
Nozomi Entertainment","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.351 (scored by 1593715,937 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/20221/After_War_Gundam_X, Parent story:: /anime/80/Kidou_Senshi_Gundam"
2012,Great Teacher Onizuka,Hataraku Maou-sama!,One Punch Man,Nurarihyon no Mago,Ghost Hunt,Devilman,GS Mikami,Ansatsu Kyoushitsu,Kiseijuu: Sei no Kakuritsu,Gakkou no Kaidan,"Nishizawa, Nobutaka:Producer","Kaizawa, Yukio:Director","Yamauchi, Shigeyasu:Episode Director","Kakudou, Hiroyuki:Episode Director",Jigoku Sensei Nube,#1582,#4721,"21,023",4,1,0,"['Nishizawa, Nobutaka', 'Producer'], ['Kaizawa, Yukio', 'Director'], ['Yamauchi, Shigeyasu', 'Episode Director'], ['Kakudou, Hiroyuki', 'Episode Director']","Episodes, 
  49","Status, 
  Finished Airing","Aired, 
  Apr 13, 1996 to Jun 21, 1997","Premiered, 
Spring 1996","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         HorrorHorror,         RomanceRomance,         SupernaturalSupernatural","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.571 (scored by 64226,422 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/1044/Jigoku_Sensei_Nube, Sequel:: /anime/2745/Jigoku_Sensei_Nube_OVA, Side story:: /anime/5296/Jigoku_Sensei_Nube__Kyoufu_no_Natsuyasumi_Ayashi_no_Umi_no_Densetsu"
3010,Robin Hood no Daibouken,Anime Sanjuushi,,,,,,,,,"Minoguchi, Katsumi:Director","Tanaka, Hideyuki:Sound Director","Murata, Kazuya:Episode Director","Satou, Ikurou:Episode Director",Kaiketsu Zorro,#3052,#5822,"12,343",6,1,0,"['Minoguchi, Katsumi', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Murata, Kazuya', 'Episode Director'], ['Satou, Ikurou', 'Episode Director']","Type, 
TV","Episodes, 
  52","Status, 
  Finished Airing","Aired, 
  Apr 5, 1996 to Apr 14, 1997","Producers, 
TOHO","Licensors, 
    None found, add some","Studios, 
Ashi Productions","Source, 
  Other","Genre, 
AdventureAdventure","Theme, 
HistoricalHistorical","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.231 (scored by 59305,930 users)
      


1
          indicates a weighted score.",
286,Saint Seiya,Zoids Fuzors,Gad Guard,,,,,,,,"Hamatsu, Mamoru:Director","Takahashi, Yukio:Episode Director","Isako, Kiyotaka:Episode Director","Vale, Eric:Script",B'T X,#4100,#5860,"12,119",4,0,1,"['Hamatsu, Mamoru', 'Director'], ['Takahashi, Yukio', 'Episode Director'], ['Isako, Kiyotaka', 'Episode Director'], ['Vale, Eric', 'Script']","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Apr 6, 1996 to Sep 21, 1996","Premiered, 
Spring 1996","Licensors, 
Anime Midstream","Studios, 
TMS Entertainment","Source, 
  Manga","Genres, 
AdventureAdventure,         Sci-FiSci-Fi","Theme, 
MechaMecha","Demographic, 
ShounenShounen","Duration, 
  22 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.031 (scored by 53145,314 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/132/BT_X, Sequel:: /anime/1736/BT_X_Neo"
2817,Shirayuki Hime no Densetsu,Ningyohime Marina no Bouken,Anime Himitsu no Hanazono,Eikoku Koi Monogatari Emma,,,,,,,"Sasagawa, Hiroshi:Director","Matsukawa, Riku:Sound Director","Asada, Yuuji:Episode Director","Ishiyama, Takaaki:Episode Director",Cinderella Monogatari,#2566,#6896,"8,229",11,1,1,"['Sasagawa, Hiroshi', 'Director'], ['Matsukawa, Riku', 'Sound Director'], ['Asada, Yuuji', 'Episode Director'], ['Ishiyama, Takaaki', 'Episode Director']","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 4, 1996 to Oct 3, 1996","Premiered, 
Spring 1996","Licensors, 
    None found, add some","Studios, 
Tatsunoko Production","Source, 
  Other","Genres, 
AdventureAdventure,         FantasyFantasy,         RomanceRomance","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.321 (scored by 35773,577 users)
      


1
          indicates a weighted score.","Ranked, 
  #25662

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6896",
1040,Marmalade Boy,12-sai.: Chicchana Mune no Tokimeki,Kimi ni Todoke,Tsuki ga Kirei,,,,,,,"Tokita, Hiroko:Director","Kuwabara, Satoshi:Episode Director","Kuzuya, Naoyuki:Episode Director","Ishiodori, Hiroshi:Episode Director",Mizuiro Jidai,#2933,#8297,"5,187",3,0,0,"['Tokita, Hiroko', 'Director'], ['Kuwabara, Satoshi', 'Episode Director'], ['Kuzuya, Naoyuki', 'Episode Director'], ['Ishiodori, Hiroshi', 'Episode Director']","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Apr 4, 1996 to Feb 27, 1997","Premiered, 
Spring 1996","Licensors, 
    None found, add some","Studios, 
Studio Comet","Source, 
  Manga","Genres, 
DramaDrama,         RomanceRomance","Theme, 
SchoolSchool","Demographic, 
ShoujoShoujo","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.251 (scored by 12931,293 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/3886/Mizuiro_Jidai
