index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
18679,Tengen Toppa Gurren Lagann,FLCL,Panty & Stocking with Garterbelt,Shoujo Kakumei Utena,Uchuu Patrol Luluco,Needless,Akame ga Kill!,Promare,Dead Leaves,One Punch Man,"Amemiya, Akira:Co-Director","Ootsuka, Masahiko:Producer","Kamagata, Eiichi:Producer","Toba, Yousuke:Producer",Kill la Kill,#582,#54,"1,715,656",351,45,39,"['Amemiya, Akira', 'Co-Director'], ['Ootsuka, Masahiko', 'Producer'], ['Kamagata, Eiichi', 'Producer'], ['Toba, Yousuke', 'Producer']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 4, 2013 to Mar 28, 2014","Producers, 
Aniplex,       Dentsu,       Kadokawa Shoten,       Mainichi Broadcasting System,       Movic,       Ultra Super Pictures,       Lucent Pictures Entertainment","Licensors, 
Aniplex of America","Studios, 
Trigger","Source, 
  Original","Genres, 
ActionAction,         ComedyComedy,         FantasyFantasy,         EcchiEcchi","Themes, 
SchoolSchool,         Super PowerSuper Power","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.031 (scored by 948326948,326 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/58391/Kill_la_Kill, Side story:: /anime/21659/Kill_la_Kill_Specials, Character:: /anime/32681/Uchuu_Patrol_Luluco"
18153,Noragami,Mahou Shoujo Madoka★Magica,Chuunibyou demo Koi ga Shitai!,Deadman Wonderland,Kyokou Suiri,Hyouka,Jujutsu Kaisen,Bakemonogatari,Angel Beats!,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Nakamura, Shinichi:Producer","Saitou, Shigeru:Producer","Senami, Riri:Producer","Takanashi, Mai:Assistant Producer",Kyoukai no Kanata,#1150,#123,"1,162,227",143,43,19,"['Nakamura, Shinichi', 'Producer'], ['Saitou, Shigeru', 'Producer'], ['Senami, Riri', 'Producer'], ['Takanashi, Mai', 'Assistant Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 3, 2013 to Dec 19, 2013","Producers, 
Lantis,       Pony Canyon,       TBS","Licensors, 
Sentai Filmworks","Studios, 
Kyoto Animation","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy","Theme, 
SchoolSchool","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.721 (scored by 550108550,108 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/50117/Kyoukai_no_Kanata, Other:: /anime/17813/Kyoto_Animation__Megane-hen, Side story:: /anime/20909/Kyoukai_no_Kanata__Mini_Gekijou, Prequel:: /anime/23385/Kyoukai_no_Kanata__Shinonome, Summary:: /anime/25015/Kyoukai_no_Kanata_Movie_1__Ill_Be_Here_-_Kako-hen, Sequel:: /anime/28675/Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen"
17265,Sword Art Online,Overlord,No Game No Life,Hai to Gensou no Grimgar,Ookami to Koushinryou,Code Geass: Hangyaku no Lelouch,Accel World,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Quanzhi Gaoshou,Maoyuu Maou Yuusha,"Miyamoto, Hideaki:Producer","Ishihira, Shinji:Director","Hata, Shouji:Sound Director","Fuseki, Kazunobu:Episode Director",Log Horizon,#751,#131,"1,112,999",159,31,20,"['Miyamoto, Hideaki', 'Producer'], ['Ishihira, Shinji', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Fuseki, Kazunobu', 'Episode Director']","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Oct 5, 2013 to Mar 22, 2014","Premiered, 
Fall 2013","Licensors, 
Funimation,       Sentai Filmworks","Studios, 
Satelight","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
Adult CastAdult Cast,         Video GameVideo Game","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.911 (scored by 578729578,729 users)
      


1
          indicates a weighted score.","Ranked, 
  #7512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/46024/Log_Horizon, Summary:: /anime/21235/Imanara_Maniau_Log_Horizon, Sequel:: /anime/23321/Log_Horizon_2nd_Season"
17895,Toradora!,Sakura-sou no Pet na Kanojo,Shigatsu wa Kimi no Uso,Nagi no Asu kara,Isshuukan Friends.,ReLIFE,Kimi no Iru Machi,Nisekoi,Hachimitsu to Clover,Clannad: After Story,"Sudou, Koutarou:Producer","Fujishiro, Atsushi:Producer","Yuasa, Takaaki:Producer","Kon, Chiaki:Director",Golden Time,#1106,#147,"1,034,654",240,62,37,"['Sudou, Koutarou', 'Producer'], ['Fujishiro, Atsushi', 'Producer'], ['Yuasa, Takaaki', 'Producer'], ['Kon, Chiaki', 'Director']","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 4, 2013 to Mar 28, 2014","Premiered, 
Fall 2013","Licensors, 
Sentai Filmworks","Studios, 
J.C.Staff","Source, 
  Light novel","Genres, 
DramaDrama,         RomanceRomance","Themes, 
Adult CastAdult Cast,         Love PolygonLove Polygon","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.741 (scored by 546508546,508 users)
      


1
          indicates a weighted score.","Ranked, 
  #11062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/21485/Golden_Time
16894,Free!,Haikyuu!!,Slam Dunk,Diamond no Ace,Eyeshield 21,Free! Eternal Summer,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Days (TV),Diamond no Ace: Second Season,Haikyuu!! Second Season,"Oowada, Tomoyuki:Producer","Morihiro, Fumi:Producer","Maruyama, Hiroo:Producer","Kuroki, Rui:Producer",Kuroko no Basket 2nd Season,#348,#206,"852,080",31,9,2,"['Oowada, Tomoyuki', 'Producer'], ['Morihiro, Fumi', 'Producer'], ['Maruyama, Hiroo', 'Producer'], ['Kuroki, Rui', 'Producer']","Type, 
TV","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Oct 6, 2013 to Mar 30, 2014","Producers, 
Bandai Visual,       Lantis,       Nihon Ad Systems,       Banpresto,       Shueisha,       BS11","Licensors, 
    None found, add some","Studios, 
Production I.G","Source, 
  Manga","Genre, 
SportsSports","Themes, 
SchoolSchool,         Team SportsTeam Sports","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/11652/Kuroko_no_Basket, Prequel:: /anime/11771/Kuroko_no_Basket, Side story:: /anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka, Other:: /anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu, Sequel:: /anime/24415/Kuroko_no_Basket_3rd_Season, Summary:: /anime/32870/Kuroko_no_Basket_Movie_2__Winter_Cup_-_Namida_no_Saki_e"
18115,Fairy Tail,Fullmetal Alchemist: Brotherhood,Hunter x Hunter (2011),Akame ga Kill!,Juuni Kokuki,Ao no Exorcist,One Piece,Kami no Tou,Naruto: Shippuuden,Shingeki no Kyojin,"Ochikoshi, Tomonori:Producer","Maeda, Toshihiro:Producer","Maruyama, Hiroo:Producer","Masunari, Koji:Director",Magi: The Kingdom of Magic,#349,#211,"839,409",38,4,3,"['Ochikoshi, Tomonori', 'Producer'], ['Maeda, Toshihiro', 'Producer'], ['Maruyama, Hiroo', 'Producer'], ['Masunari, Koji', 'Director']","Type, 
TV","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Oct 6, 2013 to Mar 30, 2014","Producers, 
Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Movic,       GYAO!","Licensors, 
Aniplex of America","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.211 (scored by 456912456,912 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/14790/Magi, Prequel:: /anime/14513/Magi__The_Labyrinth_of_Magic"
18277,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,Toaru Majutsu no Index,Tokyo Ravens,Blood Lad,High School DxD,Ichiban Ushiro no Daimaou,Mahouka Koukou no Rettousei,Toaru Kagaku no Railgun,Date A Live,Hataraku Maou-sama!,"Nakayama, Nobuhiro:Producer","Kananiwa, Kozue:Producer","Fukuda, Jun:Producer","Yamazaki, Fumiki:Producer",Strike the Blood,#4092,#327,"637,646",32,19,12,"['Nakayama, Nobuhiro', 'Producer'], ['Kananiwa, Kozue', 'Producer'], ['Fukuda, Jun', 'Producer'], ['Yamazaki, Fumiki', 'Producer']","Type, 
TV","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 4, 2013 to Mar 28, 2014","Producers, 
Movic,       AT-X,       Warner Bros. Japan,       KlockWorx,       ASCII Media Works,       Showgate","Licensors, 
Discotek Media,       Crunchyroll","Studios, 
SILVER LINK.,       Connect","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         SupernaturalSupernatural,         EcchiEcchi","Themes, 
HaremHarem,         SchoolSchool,         VampireVampire","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.031 (scored by 311798311,798 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/41021/Strike_the_Blood, Side story:: /anime/30321/Strike_the_Blood__Valkyria_no_Oukoku-hen, Sequel:: /anime/33286/Strike_the_Blood_II"
16067,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Shinsekai yori,Glasslip,Kokoro Connect,Ano Natsu de Matteru,Shigatsu wa Kimi no Uso,Golden Time,Clannad: After Story,Irozuku Sekai no Ashita kara,Tsuritama,"Horikawa, Kenji:Producer","Nagatani, Takayuki:Producer","Shinohara, Toshiya:Director","Aketagawa, Jin:Sound Director",Nagi no Asu kara,#672,#359,"600,651",194,34,27,"['Horikawa, Kenji', 'Producer'], ['Nagatani, Takayuki', 'Producer'], ['Shinohara, Toshiya', 'Director'], ['Aketagawa, Jin', 'Sound Director']","Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Oct 3, 2013 to Apr 3, 2014","Producers, 
Geneon Universal Entertainment,       Sotsu,       Animax,       Rondo Robe,       Showgate,       Infinite","Licensors, 
NIS America, Inc.","Studios, 
P.A. Works","Source, 
  Original","Genres, 
DramaDrama,         FantasyFantasy,         RomanceRomance","Theme, 
Love PolygonLove Polygon","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.961 (scored by 255985255,985 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/55063/Nagi_no_Asu_kara
16011,Strike the Blood,Sousei no Onmyouji,Ao no Exorcist,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,Shounen Onmyouji,K,Zetsuen no Tempest,Kamisama Hajimemashita,Kaze no Stigma,Noragami,"Cook, Justin:Producer","Ogura, Mitsutoshi:Producer","Ueda, Shinya:Producer","Kanemitsu, Kazuhiro:Producer",Tokyo Ravens,#2150,#456,"486,652",47,16,8,"['Cook, Justin', 'Producer'], ['Ogura, Mitsutoshi', 'Producer'], ['Ueda, Shinya', 'Producer'], ['Kanemitsu, Kazuhiro', 'Producer']","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Oct 9, 2013 to Mar 26, 2014","Premiered, 
Fall 2013","Licensors, 
Funimation","Studios, 
8bit","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         RomanceRomance","Theme, 
SchoolSchool","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.421 (scored by 220624220,624 users)
      


1
          indicates a weighted score.","Ranked, 
  #21502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/23898/Tokyo_Ravens, Summary:: /anime/23405/Tokyo_Ravens__Kon_ga_Oshiete_Moshi_Agemasu_Maru_Wakari_Tokyo_Ravens"
17549,Yuru Camp△,Barakamon,Flying Witch,K-On!,Gochuumon wa Usagi desu ka?,Mitsuboshi Colors,Aria the Animation,Yuru Yuri,Tanaka-kun wa Itsumo Kedaruge,Tamayura: Hitotose,"Gou, Fumiyuki:Producer","Kisara, Youhei:Producer","Beniya, Yoshikazu:Producer","Yoshinuma, Oshi:Producer",Non Non Biyori,#709,#533,"425,309",117,8,2,"['Gou, Fumiyuki', 'Producer'], ['Kisara, Youhei', 'Producer'], ['Beniya, Yoshikazu', 'Producer'], ['Yoshinuma, Oshi', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Oct 8, 2013 to Dec 24, 2013","Premiered, 
Fall 2013","Licensors, 
Sentai Filmworks","Studios, 
SILVER LINK.","Source, 
  Manga","Genre, 
Slice of LifeSlice of Life","Themes, 
CGDCTCGDCT,         IyashikeiIyashikei,         SchoolSchool","Demographic, 
SeinenSeinen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.941 (scored by 175082175,082 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/17552/Non_Non_Biyori, Side story:: /anime/21667/Non_Non_Biyori__Okinawa_e_Ikukoto_ni_Natta, Sequel:: /anime/23623/Non_Non_Biyori_Repeat"
