index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
32182,One Punch Man,Saiki Kusuo no Ψ-nan,Cike Wu Liuqi,Hinamatsuri (TV),Boku no Hero Academia,Jujutsu Kaisen,Xian Wang de Richang Shenghuo,Mashle,FLCL,Akira,"Bezerra, Wendel:Producer","Matsuda, Akio:Producer","Ogisu, Hirotsugu:Producer","Fukuda, Jun:Producer",Mob Psycho 100,#135,#31,"2,060,014",224,17,9,"['Bezerra, Wendel', 'Producer'], ['Matsuda, Akio', 'Producer'], ['Ogisu, Hirotsugu', 'Producer'], ['Fukuda, Jun', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 11, 2016 to Sep 27, 2016","Producers, 
Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","Licensors, 
Funimation,       Crunchyroll","Studios, 
Bones","Source, 
  Web manga","Genres, 
ActionAction,         ComedyComedy,         SupernaturalSupernatural","Theme, 
Super PowerSuper Power","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.491 (scored by 12662271,266,227 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/60783/Mob_Psycho_100, Summary:: /anime/36616/Mob_Psycho_100__Reigen_-_Shirarezaru_Kiseki_no_Reinouryokusha, Side story:: /anime/37504/Mob_Psycho_Mini, Sequel:: /anime/37510/Mob_Psycho_100_II, Other:: /anime/52134/Mob_Psycho_100__Tankoubon_Hatsubai_Kinen_Anime"
32282,Ben-To,Boku no Hero Academia 2nd Season,Yakitate!! Japan,Dagashi Kashi,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Boku no Hero Academia,,,,,"Kawase, Kouhei:Producer","Kamei, Hiroshi:Producer","Maruyama, Hiroo:Producer","Matsukura, Yuuji:Producer",Shokugeki no Souma: Ni no Sara,#510,#126,"1,132,487",45,10,2,"['Kawase, Kouhei', 'Producer'], ['Kamei, Hiroshi', 'Producer'], ['Maruyama, Hiroo', 'Producer'], ['Matsukura, Yuuji', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jul 2, 2016 to Sep 24, 2016","Producers, 
Dentsu,       Lantis,       Mainichi Broadcasting System,       KlockWorx,       Showgate,       Shueisha","Licensors, 
Sentai Filmworks","Studios, 
J.C.Staff","Source, 
  Manga","Genres, 
GourmetGourmet,         EcchiEcchi","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/45757/Shokugeki_no_Souma, Prequel:: /anime/28171/Shokugeki_no_Souma, Sequel:: /anime/34480/Shokugeki_no_Souma__Ni_no_Sara_OVA"
33255,Mob Psycho 100,Gintama,One Punch Man,Sakamoto desu ga?,Xian Wang de Richang Shenghuo,Danshi Koukousei no Nichijou,Handa-kun,"Komi-san wa, Comyushou desu.",Uramichi Oniisan,Gekkan Shoujo Nozaki-kun,"Cook, Justin:Producer","Negishi, Tomoya:Producer","Fukuda, Jun:Producer","Herek, Samantha:Assistant Producer",Saiki Kusuo no Ψ-nan,#172,#136,"1,096,324",155,6,2,"['Cook, Justin', 'Producer'], ['Negishi, Tomoya', 'Producer'], ['Fukuda, Jun', 'Producer'], ['Herek, Samantha', 'Assistant Producer']","Type, 
TV","Episodes, 
  120","Status, 
  Finished Airing","Aired, 
  Jul 4, 2016 to Dec 26, 2016","Producers, 
TV Tokyo,       Shogakukan-Shueisha Productions,       Pony Canyon,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Bandai Namco Entertainment,       Shueisha,       Toy's Factory,       Dear Stage inc.","Licensors, 
Funimation","Studios, 
J.C.Staff,       Egg Firm","Source, 
  Manga","Genres, 
ComedyComedy,         SupernaturalSupernatural","Themes, 
Gag HumorGag Humor,         SchoolSchool,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  5 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/37755/Saiki_Kusuo_no_Ψ-nan, Other:: /anime/19469/Saiki_Kusuo_no_Ψ-nan_ONA, Sequel:: /anime/34612/Saiki_Kusuo_no_Ψ-nan_2"
30015,Bokutachi no Remake,Boku dake ga Inai Machi,NHK ni Youkoso!,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Orange,Kokoro Connect,Sakura-sou no Pet na Kanojo,Angel Beats!,Kimi ni Todoke,Golden Time,"Cook, Justin:Producer","Adachi, Kazuki:Producer","Kawanabe, Daisuke:Producer","Watanabe, Akihito:Producer",ReLIFE,#669,#149,"1,033,368",269,30,15,"['Cook, Justin', 'Producer'], ['Adachi, Kazuki', 'Producer'], ['Kawanabe, Daisuke', 'Producer'], ['Watanabe, Akihito', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jul 2, 2016 to Sep 24, 2016","Producers, 
Aniplex,       Half H.P Studio,       comico,       Hakuhodo DY Media Partners,       Lawson,       C & I entertainment,       TMS Music","Licensors, 
Funimation,       Crunchyroll","Studios, 
TMS Entertainment","Source, 
  Web manga","Genres, 
DramaDrama,         RomanceRomance","Theme, 
SchoolSchool","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.971 (scored by 578269578,269 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/78523/ReLIFE, Sequel:: /anime/35466/ReLIFE__Kanketsu-hen"
32729,Ao Haru Ride,Boku dake ga Inai Machi,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,ReLIFE,Shigatsu wa Kimi no Uso,Steins;Gate,Ushinawareta Mirai wo Motomete,Kimi no Na wa.,Koe no Katachi,Tokyo Revengers,"Cook, Justin:Producer","Yoshizawa, Takashi:Producer","Hayashi, Ikumi:Producer","Herek, Samantha:Assistant Producer",Orange,#1412,#217,"823,490",146,33,25,"['Cook, Justin', 'Producer'], ['Yoshizawa, Takashi', 'Producer'], ['Hayashi, Ikumi', 'Producer'], ['Herek, Samantha', 'Assistant Producer']","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jul 4, 2016 to Sep 26, 2016","Premiered, 
Summer 2016","Licensors, 
Funimation,       Crunchyroll","Studios, 
Telecom Animation Film","Source, 
  Manga","Genres, 
DramaDrama,         RomanceRomance,         Sci-FiSci-Fi","Themes, 
Love PolygonLove Polygon,         SchoolSchool,         Time TravelTime Travel","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.621 (scored by 397565397,565 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/35573/Orange, Sequel:: /anime/34136/Orange__Mirai"
32998,Baccano!,Banana Fish,Gangsta.,Vinland Saga,Gungrave,Joker Game,Phantom: Requiem for the Phantom,Code Geass: Hangyaku no Lelouch,Death Note,Gankutsuou,"Cook, Justin:Producer","Maeda, Toshihiro:Producer","Iizuka, Toshio:Producer","Wakabayashi, Yumi:Assistant Producer",91 Days,#895,#277,"720,458",164,22,11,"['Cook, Justin', 'Producer'], ['Maeda, Toshihiro', 'Producer'], ['Iizuka, Toshio', 'Producer'], ['Wakabayashi, Yumi', 'Assistant Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 9, 2016 to Oct 1, 2016","Premiered, 
Summer 2016","Licensors, 
Funimation,       Crunchyroll","Studios, 
Shuka","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         SuspenseSuspense","Themes, 
HistoricalHistorical,         Organized CrimeOrganized Crime","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
7.831 (scored by 329464329,464 users)
      


1
          indicates a weighted score.","Ranked, 
  #8952

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Summary:: /anime/33964/91_Days__Mijikai_Rousoku, Sequel:: /anime/34777/91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita, Spin-off:: /anime/36756/91_Daze"
31722,Fullmetal Alchemist: Brotherhood,86,,,,,,,,,"Kananiwa, Kozue:Producer","Kamei, Hiroshi:Producer","Uryuu, Kyouko:Producer","Tateishi, Kensuke:Producer",Nanatsu no Taizai: Seisen no Shirushi,#4405,#280,"714,620",11,5,7,"['Kananiwa, Kozue', 'Producer'], ['Kamei, Hiroshi', 'Producer'], ['Uryuu, Kyouko', 'Producer'], ['Tateishi, Kensuke', 'Producer']","Type, 
TV","Episodes, 
  4","Status, 
  Finished Airing","Aired, 
  Aug 28, 2016 to Sep 18, 2016","Producers, 
Aniplex,       Dentsu,       Mainichi Broadcasting System,       Kodansha,       Movic","Licensors, 
    None found, add some","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.961 (scored by 431369431,369 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/44485/Nanatsu_no_Taizai, Prequel:: /anime/23755/Nanatsu_no_Taizai, Sequel:: /anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu"
31953,Shirobako,Comic Girls,Stella no Mahou,Kobayashi-san Chi no Maid Dragon,Yuru Yuri,K-On!,Blend S,Saenai Heroine no Sodatekata,Senpai ga Uzai Kouhai no Hanashi,Gochuumon wa Usagi desu ka?,"Cook, Justin:Producer","Kananiwa, Kozue:Producer","Tanaka, Shou:Producer","Kamata, Hajime:Producer",New Game!,#1616,#526,"430,377",60,14,4,"['Cook, Justin', 'Producer'], ['Kananiwa, Kozue', 'Producer'], ['Tanaka, Shou', 'Producer'], ['Kamata, Hajime', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 4, 2016 to Sep 19, 2016","Premiered, 
Summer 2016","Licensors, 
Funimation,       Crunchyroll","Studios, 
Doga Kobo","Source, 
  4-koma manga","Genre, 
ComedyComedy","Themes, 
Adult CastAdult Cast,         CGDCTCGDCT,         Otaku CultureOtaku Culture,         WorkplaceWorkplace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.561 (scored by 204833204,833 users)
      


1
          indicates a weighted score.","Ranked, 
  #16162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/62509/New_Game, Sequel:: /anime/34277/New_Game_Watashi_Shain_Ryokou_tte_Hajimete_nanode"
32379,Claymore,Goblin Slayer,Vinland Saga,Gun-dou Musashi,Monster,Drifters,Black Clover,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,Bastard!! Ankoku no Hakaishin,Devil May Cry,"Maeda, Toshihiro:Producer","Satomi, Tetsurou:Producer","Harima, Yuu:Producer","Itagaki, Shin:Director",Berserk,#7924,#647,"360,734",38,29,64,"['Maeda, Toshihiro', 'Producer'], ['Satomi, Tetsurou', 'Producer'], ['Harima, Yuu', 'Producer'], ['Itagaki, Shin', 'Director']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 1, 2016 to Sep 16, 2016","Premiered, 
Summer 2016","Licensors, 
Funimation,       Crunchyroll","Studios, 
Millepensee,       GEMBA","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         HorrorHorror","Themes, 
GoreGore,         MilitaryMilitary","Demographic, 
SeinenSeinen","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.311 (scored by 179882179,882 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/2/Berserk, Prequel:: /anime/33/Kenpuu_Denki_Berserk, Sequel:: /anime/34055/Berserk_2nd_Season, Summary:: /anime/35009/Berserk_Recap"
32189,Mirai Nikki (TV),Ousama Game The Animation,Katekyou Hitman Reborn!,Devil Survivor 2 The Animation,Juuni Taisen,Mahou Shoujo Ikusei Keikaku,Another,Death Note,,,"Cook, Justin:Producer","Ueda, Yasuyuki:Producer","Higa, Yuuji:Producer","Andou, Seiji:Producer",Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,#3101,#658,"353,741",23,15,16,"['Cook, Justin', 'Producer'], ['Ueda, Yasuyuki', 'Producer'], ['Higa, Yuuji', 'Producer'], ['Andou, Seiji', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jul 11, 2016 to Sep 26, 2016","Producers, 
    None found, add some","Licensors, 
Funimation","Studios, 
Lerche","Source, 
  Visual novel","Genres, 
ActionAction,         HorrorHorror,         MysteryMystery,         SuspenseSuspense","Themes, 
High Stakes GameHigh Stakes Game,         PsychologicalPsychological,         SurvivalSurvival","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
7.221 (scored by 190139190,139 users)
      


1
          indicates a weighted score.","Prequel:: /anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation, Sequel:: /anime/34103/Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Kibou-hen, Other:: /anime/37103/Danganronpa_3__Monokuma_Gekijou"
