index,rec_1,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_2
51019,Katanagatari,,,,,,,,,"Miyake, Masanori:Producer","Takahashi, Yuuma:Producer","Fujio, Akifumi:Producer","Murakami, Maasa:Producer",Kimetsu no Yaiba: Katanakaji no Sato-hen,#303,#235,"797,296",54,62,32,"['Miyake, Masanori', 'Producer'], ['Takahashi, Yuuma', 'Producer'], ['Fujio, Akifumi', 'Producer'], ['Murakami, Maasa', 'Producer']","Episodes, 
  11","Status, 
  Finished Airing","Aired, 
  Apr 9, 2023 to Jun 18, 2023","Premiered, 
Spring 2023","Licensors, 
Aniplex of America","Studios, 
ufotable","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Theme, 
HistoricalHistorical","Demographic, 
ShounenShounen","Duration, 
  28 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.251 (scored by 453693453,693 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/96792/Kimetsu_no_Yaiba, Prequel:: /anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen, Sequel:: /anime/55701/Kimetsu_no_Yaiba__Hashira_Geiko-hen",
52034,Perfect Blue,Skip Beat!,Mushoku Tensei: Isekai Ittara Honki Dasu,Boku dake ga Inai Machi,IDOLiSH7,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Bocchi the Rock!,Paripi Koumei,Monster,"Yamashita, Shinpei:Producer","Kobayashi, Ryou:Producer","Aomura, Yousuke:Producer","Negishi, Genki:Producer","""Oshi no Ko""",#61,#247,"768,679",219,72,48,"['Yamashita, Shinpei', 'Producer'], ['Kobayashi, Ryou', 'Producer'], ['Aomura, Yousuke', 'Producer'], ['Negishi, Genki', 'Producer']","Type, 
TV","Episodes, 
  11","Status, 
  Finished Airing","Aired, 
  Apr 12, 2023 to Jun 28, 2023","Producers, 
Shueisha,       CyberAgent,       Kadokawa","Licensors, 
Sentai Filmworks","Studios, 
Doga Kobo","Source, 
  Manga","Genres, 
Award WinningAward Winning,         DramaDrama,         SupernaturalSupernatural","Themes, 
ReincarnationReincarnation,         ShowbizShowbiz","Demographic, 
SeinenSeinen","Duration, 
  30 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/126146/Oshi_no_Ko, Other:: /anime/55016/Idol, Sequel:: /anime/55791/Oshi_no_Ko_Season_2",Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
46569,Chainsaw Man,Dororo,Kami no Tou,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen,Hunter x Hunter (2011),Made in Abyss,Shingeki no Kyojin,Btooom!,"Kawagoe, Wataru:Producer","Ishii, Nozomi:Producer","Makita, Kaori:Director","Ebina, Yasunori:Sound Director",Jigokuraku,#476,#312,"658,259",90,42,33,"['Kawagoe, Wataru', 'Producer'], ['Ishii, Nozomi', 'Producer'], ['Makita, Kaori', 'Director'], ['Ebina, Yasunori', 'Sound Director']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Apr 1, 2023 to Jul 1, 2023","Producers, 
Twin Engine","Licensors, 
    None found, add some","Studios, 
MAPPA","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
GoreGore,         HistoricalHistorical,         SamuraiSamurai","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/112318/Jigokuraku, Sequel:: /anime/55825/Jigokuraku_2nd_Season",Kimetsu no Yaiba
52211,One Punch Man,Mob Psycho 100,Mairimashita! Iruma-kun,Nanatsu no Maken ga Shihai suru,Saiki Kusuo no Ψ-nan,Little Witch Academia (TV),Kenja no Mago,Beelzebub,Sakamoto desu ga?,"Lu, Xiana:Producer","Shimazaki, Takao:Producer","Furuhashi, Souta:Producer","Nakamura, Shouta:Producer",Mashle,#1450,#427,"516,928",63,25,18,"['Lu, Xiana', 'Producer'], ['Shimazaki, Takao', 'Producer'], ['Furuhashi, Souta', 'Producer'], ['Nakamura, Shouta', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Apr 8, 2023 to Jul 1, 2023","Premiered, 
Spring 2023","Licensors, 
Aniplex of America","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         FantasyFantasy","Themes, 
Gag HumorGag Humor,         ParodyParody,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.611 (scored by 275013275,013 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/124085/Mashle, Summary:: /anime/55339/Mashle__Mash_Burnedead_to_Fushigi_na_Tegami, Sequel:: /anime/55813/Mashle__Shinkakusha_Kouho_Senbatsu_Shiken-hen",Black Clover
53393,Shinsekai yori,Yakusoku no Neverland,Darling in the FranXX,Shoujo Shuumatsu Ryokou,Kimetsu no Yaiba,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Urasekai Picnic,Summertime Render,Nihon Chinbotsu 2020,"Morihiro, Fumi:Producer","Kamei, Hiroshi:Producer","Cao, Cong:Producer","Yonezawa, Akira:Producer",Tengoku Daimakyou,#336,#489,"458,662",112,45,23,"['Morihiro, Fumi', 'Producer'], ['Kamei, Hiroshi', 'Producer'], ['Cao, Cong', 'Producer'], ['Yonezawa, Akira', 'Producer']","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Apr 1, 2023 to Jun 24, 2023","Premiered, 
Spring 2023","Licensors, 
    None found, add some","Studios, 
Production I.G","Source, 
  Manga","Genres, 
AdventureAdventure,         MysteryMystery,         Sci-FiSci-Fi","Demographic, 
SeinenSeinen","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.221 (scored by 206933206,933 users)
      


1
          indicates a weighted score.","Ranked, 
  #3362

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/111745/Tengoku_Daimakyou,Made in Abyss
48549,,,,,,,,,,"Matsukuma, Hiroto:Producer","Satou, Souta:Producer","Hasegawa, Ryouta:Producer","Katagiri, Shuusuke:Producer",Dr. Stone: New World,#422,#503,"448,693",21,5,2,"['Matsukuma, Hiroto', 'Producer'], ['Satou, Souta', 'Producer'], ['Hasegawa, Ryouta', 'Producer'], ['Katagiri, Shuusuke', 'Producer']","Episodes, 
  11","Status, 
  Finished Airing","Aired, 
  Apr 6, 2023 to Jun 15, 2023","Premiered, 
Spring 2023","Licensors, 
    None found, add some","Studios, 
TMS Entertainment","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.151 (scored by 191698191,698 users)
      


1
          indicates a weighted score.","Ranked, 
  #4222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/103897/Dr_Stone, Prequel:: /anime/50612/Dr_Stone__Ryuusui, Sequel:: /anime/55644/Dr_Stone__New_World_Part_2",
53126,Wotaku ni Koi wa Muzukashii,Horimiya,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Netoge no Yome wa Onnanoko ja Nai to Omotta?,3D Kanojo: Real Girl,Yubisaki to Renren,Skip to Loafer,Koori Zokusei Danshi to Cool na Douryou Joshi,High Score Girl,"Uejima, Kazuki:Producer","Yoshida, Yuuki:Producer","Kuroi, Hitomi:Producer","Matsueda, Kazuya:Producer",Yamada-kun to Lv999 no Koi wo Suru,#951,#587,"390,619",53,18,7,"['Uejima, Kazuki', 'Producer'], ['Yoshida, Yuuki', 'Producer'], ['Kuroi, Hitomi', 'Producer'], ['Matsueda, Kazuya', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Apr 2, 2023 to Jun 25, 2023","Producers, 
Aniplex,       Movic,       Tokyo MX,       BS11,       Egg Firm,       Kadokawa,       COMICSMART","Licensors, 
Aniplex of America","Studios, 
Madhouse","Source, 
  Web manga","Genre, 
RomanceRomance","Theme, 
Video GameVideo Game","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.811 (scored by 197056197,056 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/125052/Yamada-kun_to_Lv999_no_Koi_wo_Suru,Net-juu no Susume
51958,Little Witch Academia (TV),,,,,,,,,"Ogura, Rie:Producer","Tokumura, Kenichi:Producer","Miyakoshi, Tooru:Producer","Momoda, Hideo:Producer",Kono Subarashii Sekai ni Bakuen wo!,#1891,#772,"307,453",31,26,15,"['Ogura, Rie', 'Producer'], ['Tokumura, Kenichi', 'Producer'], ['Miyakoshi, Tooru', 'Producer'], ['Momoda, Hideo', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Apr 6, 2023 to Jun 22, 2023","Premiered, 
Spring 2023","Licensors, 
    None found, add some","Studios, 
Drive","Source, 
  Light novel","Genres, 
ComedyComedy,         FantasyFantasy","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.481 (scored by 119566119,566 users)
      


1
          indicates a weighted score.","Ranked, 
  #18912

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #772","Adaptation:: /manga/89768/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Spin-off__Kono_Subarashii_Sekai_ni_Bakuen_wo, Parent story:: /anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo",
52830,Oemojisangjuui,Sasaki to Pii-chan,Kyou kara Maou!,Ore dake Haireru Kakushi Dungeon,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,Ore dake Level Up na Ken,Kage no Jitsuryokusha ni Naritakute!,Arifureta Shokugyou de Sekai Saikyou,100-man no Inochi no Ue ni Ore wa Tatteiru,"Motonaga, Satoshi:Producer","Shiraishi, Naoko:Producer","Kishida, Takuma:Producer","Itagaki, Shin:Director","Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",#7675,#849,"283,798",28,56,114,"['Motonaga, Satoshi', 'Producer'], ['Shiraishi, Naoko', 'Producer'], ['Kishida, Takuma', 'Producer'], ['Itagaki, Shin', 'Director']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Apr 7, 2023 to Jun 30, 2023","Producers, 
TMS Entertainment,       Tokyo MX,       BS11,       Kadokawa,       CTW","Licensors, 
    None found, add some","Studios, 
Millepensee","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
IsekaiIsekai,         SchoolSchool","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.351 (scored by 152033152,033 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/126908/Isekai_de_Cheat_Skill_wo_Te_ni_Shita_Ore_wa_Genjitsu_Sekai_wo_mo_Musou_Suru__Level_Up_wa_Jinsei_wo_Kaeta, Other:: /anime/56906/Isekai_de_Cheat_Skill_wo_Te_ni_Shita_Ore_wa_Genjitsu_Sekai_wo_mo_Musou_Suru__Level_Up_wa_Jinsei_wo_Kaeta_Shin_Anime",Isekai wa Smartphone to Tomo ni.
52578,Kubo-san wa Mob wo Yurusanai,Suki na Ko ga Megane wo Wasureta,Kaguya-sama wa Kokurasetai: Ultra Romantic,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,Sono Bisque Doll wa Koi wo Suru,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Ijiranaide, Nagatoro-san 2nd Attack",Chuunibyou demo Koi ga Shitai!,Gekkan Shoujo Nozaki-kun,"Matsui, Yuuko:Producer","Endou, Kazuki:Producer","Sotokawa, Akihiro:Producer","Lee, Sang-jun:Producer",Boku no Kokoro no Yabai Yatsu,#309,#865,"277,632",100,13,8,"['Matsui, Yuuko', 'Producer'], ['Endou, Kazuki', 'Producer'], ['Sotokawa, Akihiro', 'Producer'], ['Lee, Sang-jun', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Apr 2, 2023 to Jun 18, 2023","Producers, 
Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music","Licensors, 
Sentai Filmworks","Studios, 
Shin-Ei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/112807/Boku_no_Kokoro_no_Yabai_Yatsu, Other:: /anime/55277/Shayou_Music, Sequel:: /anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_Season_2, Side story:: /anime/56948/Boku_no_Kokoro_no_Yabai_Yatsu__Twi-Yaba",Karakai Jouzu no Takagi-san
