index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
52299,Sword Art Online,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su","Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Quanzhi Fashi,"Kumo desu ga, Nani ka?",Made in Abyss,Hai to Gensou no Grimgar,Terra Formars,Hametsu no Mars,"Takahashi, Kanako:Producer","Kaneko, Atsushi:Producer","Furuhashi, Souta:Producer","Nakashige, Shunsuke:Director",Ore dake Level Up na Ken,#199,#388,"556,454",79,36,59,"['Takahashi, Kanako', 'Producer'], ['Kaneko, Atsushi', 'Producer'], ['Furuhashi, Souta', 'Producer'], ['Nakashige, Shunsuke', 'Director']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jan 7, 2024 to Mar 31, 2024","Producers, 
Aniplex,       Crunchyroll,       Netmarble,       Kakao piccoma,       D&C Media","Licensors, 
    None found, add some","Studios, 
A-1 Pictures","Source, 
  Web manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Theme, 
Adult CastAdult Cast","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
8.371 (scored by 212503212,503 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/121496/Solo_Leveling, Summary:: /anime/58224/Ore_dake_Level_Up_na_Ken__How_to_Get_Stronger, Sequel:: /anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow"
51180,,,,,,,,,,,"Iizuka, Aya:Producer","Ogata, Mitsuhiro:Producer","Nemoto, Yuuka:Producer","Tokumura, Kenichi:Producer",Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,#614,#737,"323,802",23,12,6,"['Iizuka, Aya', 'Producer'], ['Ogata, Mitsuhiro', 'Producer'], ['Nemoto, Yuuka', 'Producer'], ['Tokumura, Kenichi', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jan 3, 2024 to Mar 27, 2024","Producers, 
Studio Hibari,       Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Music Live","Licensors, 
    None found, add some","Studios, 
Lerche","Source, 
  Light novel","Genres, 
DramaDrama,         SuspenseSuspense","Themes, 
PsychologicalPsychological,         SchoolSchool","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.011 (scored by 103605103,605 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e, Prequel:: /anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season"
55813,One Punch Man,,,,,,,,,,"Tanaka, Tomoya:Director","Motoyama, Satoshi:Sound Director","Enokido, Shun:Episode Director",Creepy Nuts:Theme Song Performance,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,#689,#907,"265,080",17,3,2,"['Tanaka, Tomoya', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Enokido, Shun', 'Episode Director'], ['Creepy Nuts', 'Theme Song Performance']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jan 6, 2024 to Mar 30, 2024","Producers, 
Aniplex,       Shueisha,       ADK,       INSPION Edge","Licensors, 
    None found, add some","Studios, 
A-1 Pictures","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy,         FantasyFantasy","Themes, 
Gag HumorGag Humor,         ParodyParody,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/124085/Mashle, Prequel:: /anime/52211/Mashle"
52701,Tondemo Skill de Isekai Hourou Meshi,Sousou no Frieren,Toriko,Emiya-san Chi no Kyou no Gohan,Isekai Shokudou,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,Made in Abyss,"Benriya Saitou-san, Isekai ni Iku","Ootsuka, Masahiko:Producer","Kikushima, Kazufumi:Producer","Usa, Yoshiki:Producer","Vig, Julien:Producer",Dungeon Meshi,#647,#1231,"192,609",27,3,8,"['Ootsuka, Masahiko', 'Producer'], ['Kikushima, Kazufumi', 'Producer'], ['Usa, Yoshiki', 'Producer'], ['Vig, Julien', 'Producer']","Type, 
TV","Episodes, 
  24","Status, 
  Currently Airing","Aired, 
  Jan 4, 2024 to ?","Producers, 
Ultra Super Pictures,       Good Smile Company,       Tencent Japan,       Kadokawa","Licensors, 
    None found, add some","Studios, 
Trigger","Source, 
  Manga","Genres, 
ComedyComedy,         FantasyFantasy,         GourmetGourmet","Demographic, 
SeinenSeinen","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.981 (scored by 3846738,467 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/85781/Dungeon_Meshi, Other:: /anime/36577/Dungeon_Meshi_PVs"
49889,,,,,,,,,,,"Cao, Cong:Producer","Ishihira, Shinji:Director","Hata, Shouji:Sound Director","Ihara, Kenta:Script",Tsuki ga Michibiku Isekai Douchuu 2nd Season,#1048,#1278,"185,318",7,3,1,"['Cao, Cong', 'Producer'], ['Ishihira, Shinji', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Ihara, Kenta', 'Script']","Episodes, 
  25","Status, 
  Currently Airing","Aired, 
  Jan 8, 2024 to ?","Premiered, 
Winter 2024","Licensors, 
    None found, add some","Studios, 
J.C.Staff","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","Theme, 
IsekaiIsekai","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.761 (scored by 2707827,078 users)
      


1
          indicates a weighted score.","Ranked, 
  #10482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/90118/Tsuki_ga_Michibiku_Isekai_Douchuu, Prequel:: /anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu"
55866,Koe no Katachi,Suki tte Ii na yo.,Kimi ni Todoke,"Komi-san wa, Comyushou desu.",Koori Zokusei Danshi to Cool na Douryou Joshi,Ousama Ranking,Natsume Yuujinchou,Yamada-kun to Lv999 no Koi wo Suru,Josee to Tora to Sakana-tachi,Ao Haru Ride,"Cao, Cong:Producer","Aoi, Hiroyuki:Producer","Kurosu, Nobuhiko:Producer","Tachibana, Kou:Producer",Yubisaki to Renren,#261,#1289,"184,465",37,9,16,"['Cao, Cong', 'Producer'], ['Aoi, Hiroyuki', 'Producer'], ['Kurosu, Nobuhiko', 'Producer'], ['Tachibana, Kou', 'Producer']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jan 6, 2024 to Mar 23, 2024","Premiered, 
Winter 2024","Licensors, 
    None found, add some","Studios, 
Ajia-do","Source, 
  Manga","Genre, 
RomanceRomance","Theme, 
Adult CastAdult Cast","Demographic, 
ShoujoShoujo","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
8.301 (scored by 6067860,678 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/121504/Yubisaki_to_Renren, Other:: /anime/57782/Yubisaki_to_Renren_Mini_Anime"
50392,Chainsaw Man,Darling in the FranXX,High School DxD,,,,,,,,"Watase, Shouta:Producer","Itou, Hirofumi:Producer","Watanabe, Yuuki:Producer","Huang, Jinglei:Producer",Mato Seihei no Slave,#5020,#1453,"159,836",16,12,12,"['Watase, Shouta', 'Producer'], ['Itou, Hirofumi', 'Producer'], ['Watanabe, Yuuki', 'Producer'], ['Huang, Jinglei', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jan 4, 2024 to Mar 21, 2024","Producers, 
Pony Canyon,       AT-X,       MAGNET,       Yostar","Licensors, 
Sentai Filmworks","Studios, 
Seven Arcs","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy,         EcchiEcchi","Theme, 
HaremHarem","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  R+ - Mild Nudity","Adaptation:: /manga/116880/Mato_Seihei_no_Slave, Sequel:: /anime/58505/Mato_Seihei_no_Slave_2nd_Season"
49613,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",Tsuki ga Michibiku Isekai Douchuu,,,,,,,,,"Oosuga, Shouji:Producer","Usui, Hisato:Producer","Kurosawa, Norihiro:Producer","Kawashima, Mai:Producer",Chiyu Mahou no Machigatta Tsukaikata,#1576,#1521,"150,697",28,11,6,"['Oosuga, Shouji', 'Producer'], ['Usui, Hisato', 'Producer'], ['Kurosawa, Norihiro', 'Producer'], ['Kawashima, Mai', 'Producer']","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jan 6, 2024 to Mar 30, 2024","Premiered, 
Winter 2024","Licensors, 
    None found, add some","Studios, 
Shin-Ei Animation,       Studio Add","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy","Theme, 
IsekaiIsekai","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.571 (scored by 5901459,014 users)
      


1
          indicates a weighted score.","Ranked, 
  #15762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/97090/Chiyu_Mahou_no_Machigatta_Tsukaikata__Senjou_wo_Kakeru_Kaifuku_Youin
55690,Suki na Ko ga Megane wo Wasureta,,,,,,,,,,"Matsui, Yuuko:Producer","Sotokawa, Akihiro:Producer","Endou, Kazuki:Producer","Tanaka, Kouta:Producer",Boku no Kokoro no Yabai Yatsu Season 2,#20,#1534,"149,041",49,7,2,"['Matsui, Yuuko', 'Producer'], ['Sotokawa, Akihiro', 'Producer'], ['Endou, Kazuki', 'Producer'], ['Tanaka, Kouta', 'Producer']","Type, 
TV","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Jan 7, 2024 to Mar 31, 2024","Producers, 
Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music","Licensors, 
Sentai Filmworks","Studios, 
Shin-Ei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/112807/Boku_no_Kokoro_no_Yabai_Yatsu, Prequel:: /anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu"
53421,Sono Bisque Doll wa Koi wo Suru,"Ijiranaide, Nagatoro-san",,,,,,,,,"Kaneko, Hayato:Producer","Matsumoto, Takuya:Producer","Yamakawa, Norio:Producer","Fukui, Norio:Producer",Dosanko Gal wa Namara Menkoi,#4053,#1725,"128,429",8,7,6,"['Kaneko, Hayato', 'Producer'], ['Matsumoto, Takuya', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Fukui, Norio', 'Producer']","Type, 
TV","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Jan 9, 2024 to Mar 26, 2024","Producers, 
TV Tokyo,       Pony Canyon,       DMM.com,       Bit grooove promotion,       Television Hokkaido Broadcasting","Licensors, 
    None found, add some","Studios, 
SILVER LINK.,       Blade","Source, 
  Manga","Genre, 
ComedyComedy","Themes, 
Romantic SubtextRomantic Subtext,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older",Adaptation:: /manga/121597/Dosanko_Gal_wa_Namara_Menkoi
